class	pattern	X_found	Y_found	pair	query	context_pre	costr	context_post
no	X and Y	small	personable	large - small	(\bsmall) and (?!large)(\b\w+)	 They keep the business 	small and personable	, and they keep their hands and heart in every stage of construction.
no	X or Y	dead	missing	alive - dead	(\bdead) or (?!alive)(\b\w+)	 @ @ @ @ @ @ @ @ @ @ a 	dead or missing	 battery is the same as having no smoke alarm at all.
no	X or Y	fast	light	heavy - light	(?!heavy)(\b\w+) or (\blight)	 He may not be as 	fast or light	 as he once was, but you ca n't teach experience and more importantly you ca n't teach or win without -- heart.
no	between X and Y	natural	urban	rural - urban	between (?!rural)(\b\w+) and (\burban)	 Therefore, further research is needed to examine the relationship 	between natural and urban	 settings and the moods and cognitive strategies of distance runners.
yes	X or Y	old	new	new - old	(old) or (new)	" Miguez-Bonino spoke of "" our rejection of a universal and unreformable doctrinal teaching which definitely blocks the path to pretending we can become the religious actor of "" Christendom, "" be it "	old or new	.
yes	X or Y	good	bad	bad - good	(good) or (bad)	 History - 	good or bad	 - ca n't enter their thinking.
yes	X or Y	low	high	high - low	(low) or (high)	 Varying ball paths, @ @ @ @ @ @ @ @ @ @ 	low or high	, can be simulated.
yes	X or Y	hot	cold	cold - hot	(hot) or (cold)	 A condition is 	hot or cold	, warm or cool, excessive or deficient, located on the exterior or the interior.
no	X or Y	large	larger	large - small	(\blarge) or (?!small)(\b\w+)	 After all, other presidents have created government programs every bit as 	large or larger	 than anything implemented by the current administration; they have created far higher taxes, and added much more to the deficit.
yes	X or Y	large	small	large - small	(large) or (small)	 Yet he is equally devoted to the direct encounter with a single object, 	large or small	.
yes	X and Y	large	small	large - small	(large) and (small)	 Approximately 63% of the institutions @ @ @ @ @ @ @ @ @ @ and private, those with 	large and small	 enrollment.
yes	X or Y	true	false	false - true	(true) or (false)	 It makes little difference whether these stories are 	true or false	, fiction as well as verifiable history provides us with identity.
yes	X and Y	happy	sad	happy - sad	(happy) and (sad)	 These responses most often included tears, feelings of despair, sobbing, and being simultaneously 	happy and sad	.
no	X and Y	low	disciplinary	high - low	(\blow) and (?!high)(\b\w+)	 Children move in and out of the community frequently, and parents and teachers say that before Roots and Wings arrived about 4 1/2 years ago, attendance was 	low and disciplinary	 referrals were high.
yes	X and Y	urban	rural	rural - urban	(urban) and (rural)	 Instead, a wide range of non-profit organizations, often with external aid, have carried out effective outreach and delivery to 	urban and rural	 areas.
yes	X and Y	good	bad	bad - good	(good) and (bad)	 Fireworks started going off in her head, and the 	good and bad	 cells went helter-skelter.
no	X and Y	terrifying	bad	bad - good	(?!good)(\b\w+) and (\bbad)	 As she did her rounds, her safety check of home sweet home, she ruminated about a new life, far away from Chapel Hill, far away from everything 	terrifying and bad	 that had happened here.
no	X and Y	firm	feminine	feminine - masculine	(?!masculine)(\b\w+) and (\bfeminine)	" She appealed to women to exert themselves "" with a patriotism at once "	firm and feminine	 for @ @ @ @ @ @ @ @ @ @.
no	X or Y	bad	harmful	bad - good	(\bbad) or (?!good)(\b\w+)	 What is good is not yin or yang but the dynamic balance between the two; what is 	bad or harmful	 is imbalance.
yes	X and Y	old	new	new - old	(old) and (new)	 Encounter groups, radical therapies, 	old and new	 combinations of theories and practice came rolling off the conveyor belt of techno-spirituality.
no	X or Y	poor	black	poor - rich	(\bpoor) or (?!rich)(\b\w+)	" He told Baum, "" Look, we understood we could n't make it illegal to be young or "	poor or black	 in the United States, but we could criminalize their common pleasure.
no	X as well as Y	good	loud	bad - good	(\bgood) as well as (?!bad)(\b\w+)	 Cris Dishman of Houston had a great first half and a good second half and Atlanta's Deion Sanders and Tim McKyer are 	good as well as loud	.
no	X and Y	major	vic	major - minor	(\bmajor) and (?!minor)(\b\w+)	 Many times calls come in for something minor that turns out to be 	major and vic	 versa; identifying the small subset of calls where life and @ @ @ @ @ @ @ @ @ @.
no	X and Y	corporate	public	private - public	(?!private)(\b\w+) and (\bpublic)	 Usually you're offered spaces that have ideological connotations, from parks to 	corporate and public	 buildings, and their extensions such as lawns and plazas.
no	X and Y	dry	defiant	dry - wet	(\bdry) and (?!wet)(\b\w+)	 Her eyes were 	dry and defiant	.
yes	X and Y	high	low	high - low	(high) and (low)	 What you need is a weightless workout, with rugged exercises that hit you 	high and low	.
yes	both X and Y	rural	urban	rural - urban	both (rural) and (urban)	 The two-loop development plan offers substantial benefits for 	both rural and urban	 interests.
yes	both X and Y	public	private	private - public	both (public) and (private)	 His biography vividly defines the, 	both public and private	.
yes	X and Y	hot	cold	cold - hot	(hot) and (cold)	 It was entirely self-service, with the cups, 	hot and cold	, left out for guests to take, fill and refill.
yes	X and Y	new	old	new - old	(new) and (old)	" "" In the aggregate, such behavior destroys public finances because "	new and old	 subsidies alike must be paid for (Weyland 1994).
yes	X or Y	good	bad	bad - good	(good) or (bad)	 He was n't interested in whether the work was 	good or bad	.
no	between X and Y	poor	middle	poor - rich	between (\bpoor) and (?!rich)(\b\w+)	 It makes little difference between rich and superrich, a big difference between rich and middle class, and a HUGE difference 	between poor and middle	 class.
no	either X or Y	good	evil	bad - good	either (\bgood) or (?!bad)(\b\w+)	 There's a duality to them, because they're 	either good or evil	 -- they lead Merida into more and more trouble, but in the end, they've led her exactly where she needs to go.
yes	X and Y	large	small	large - small	(large) and (small)	) A handsome display facing the entrance alternated 	large and small	 works in a manner that did great service to both.
yes	both X and Y	public	private	private - public	both (public) and (private)	 Instead, the new legislation required that most of the Title III funds be allocated to individual AAAs for final distribution to 	both public and private	 nonprofit agencies.
no	X or Y	scared	cold	cold - hot	(?!hot)(\b\w+) or (\bcold)	 He continued to shake (like he was 	scared or cold	) for a couple more min and he was walking around on the bed like he wanted to get off.
no	X and Y	easier	fast	fast - slow	(?!slow)(\b\w+) and (\bfast)	 People think getting a degree or moving from jod-to-job is the 	easier and fast	 way out.
no	X and Y	bad	disgusting	bad - good	(\bbad) and (?!good)(\b\w+)	 Something about me was so obviously 	bad and disgusting	, people did n't want to be with me.
yes	X and Y	high	low	high - low	(high) and (low)	" 3 LEGEND HAD IT that the commoners "" gift of magic came from the gods "" anger at the separation of people into "	high and low	.
no	X or Y	small	fragile	large - small	(\bsmall) or (?!large)(\b\w+)	 he's got so many trees around, all he needs is a branch too 	small or fragile	 to look clumsy and fall from.
no	whether X or Y	true	inaccurate	false - true	whether (\btrue) or (?!false)(\b\w+)	 Needless to say, navigating various assumed national identities when traveling, 	whether true or inaccurate	, was somewhat of a perplexing puzzle.
no	X and Y	quick	low	high - low	(?!high)(\b\w+) and (\blow)	" "" The constraint is whenever you use military forces, it has to be "	quick and low	" in casualties, "" said Rep."
no	X or Y	Civil	private	private - public	(?!public)(\b\w+) or (\bprivate)	" "" "	Civil or private	 actions seeking damages for breach of @ @ @ @ @ @ @ @ @ @ with dangers.
no	X and Y	agricultural	urban	rural - urban	(?!rural)(\b\w+) and (\burban)	" "" This loss is the result of alien plant invasion, uncontrolled fires, injudicious flower picking-as well as "	agricultural and urban	 expansion.
yes	X or Y	good	bad	bad - good	(good) or (bad)	 He is a constant, silent witness to everything that Dom Paulo does, 	good or bad	, wise or foolish.
no	X and Y	high	middle	high - low	(\bhigh) and (?!low)(\b\w+)	 Many 	high and middle	 ranking officers were @ @ @ @ @ @ @ @ @ @ Afzali, who was eventually executed in 1984.
yes	X and Y	private	public	private - public	(private) and (public)	 The sacred power of the dead individuals is gathered together and made part of a literally emblematic symbol that in its dispersed creation, and its concentrated display moves survivors through 	private and public	 resolution of their grief.
yes	X and Y	old	new	new - old	(old) and (new)	 For the first time in many decades, they were free to test their doctrines and to adopt/adapt 	old and new	 ideas.
yes	X and Y	short	long	long - short	(short) and (long)	 These include goal setting, 	short and long	 term planning, projecting and defining rewards.
yes	X and Y	old	new	new - old	(old) and (new)	 And we think that in Bill Clinton and Al Gore, we may finally have found the men who have the intellectual edge and moral intuition to put these 	old and new	 ideas into practice.
yes	X and Y	high	low	high - low	(high) and (low)	 Research on this latter possibility is needed to extend the current line of research to studies designed to increase our understanding of cultural differences in the implications of 	high and low	 CA.
yes	X or Y	rich	poor	poor - rich	(rich) or (poor)	" "" As recently as the mid-1990s, few people in Latin America, "	rich or poor	, owned a computer, and fewer than a million had access to the Web.
yes	X and Y	good	bad	bad - good	(good) and (bad)	 Without it there is no ending and we all know that life is full of endings (good and bad	).	
yes	X or Y	female	male	female - male	(female) or (male)	 2009/02/06 No Comments And find out if you're more 	female or male	 when surfing around the internet.
yes	both X and Y	public	private	private - public	both (public) and (private)	 In theory, information markets can address many gaps in our knowledge of 	both public and private	 decision making.
yes	between X and Y	optimistic	pessimistic	optimistic - pessimistic	between (optimistic) and (pessimistic)	 Consumers responding to the survey in the Albany area are right on the line 	between optimistic and pessimistic	, SRI reported, while New York City and Rochester consumers are optimistic.
no	X and Y	crisp	good	bad - good	(?!bad)(\b\w+) and (\bgood)	 She was a friendly and vivacious person and she served 	crisp and good	 Indonesian food, and tea in brilliant blue-bordered cups.
no	X and Y	rural	poor	rural - urban	(\brural) and (?!urban)(\b\w+)	 Given the shortage of funding and personnel, IEOS provincial offices encouraged the organization of water commissions in 	rural and poor	 urban neighborhoods as a low-cost way of expanding their coverage.
yes	X and Y	large	small	large - small	(large) and (small)	 businesses, 	large and small	, face certain advantages in expanding south of the border, as Mexicans regard American products as having great cachet.
yes	between X and Y	good	bad	bad - good	between (good) and (bad)	 Some had been 	between good and bad	, but most involved young men taking out their brethren over drug turf, women or just because.
no	X and Y	noisy	small	large - small	(?!large)(\b\w+) and (\bsmall)	 Prius was 	noisy and small	.
no	X and Y	feminine	wearable	feminine - masculine	(\bfeminine) and (?!masculine)(\b\w+)	 Her personal style tends toward the 	feminine and wearable	: Marc Jacobs, Marni.
yes	X or Y	good	bad	bad - good	(good) or (bad)	 I wondered whether it felt 	good or bad	 to be here.
no	X and Y	private	charitable	private - public	(\bprivate) and (?!public)(\b\w+)	 During the 1950s, the NHS lived off the capital of 	private and charitable	 hospital provision.
yes	both X and Y	large	small	large - small	both (large) and (small)	 But MongoDB was one of a few NoSQL databases designed to be used in 	both large and small	 projects.
no	X and Y	rich	childless	poor - rich	(\brich) and (?!poor)(\b\w+)	 Despite the meager salary, his uncle was 	rich and childless	 and might, he hoped, be looking not only for a Man Friday but for an heir.
no	X or Y	false	unverifiable	false - true	(\bfalse) or (?!true)(\b\w+)	 We reserve the right to remove comments that are obscene, racist or abusive and statements that are 	false or unverifiable	.
yes	X and Y	long	short	long - short	(long) and (short)	 that is the 	long and short	 of it.
yes	X and Y	urban	rural	rural - urban	(urban) and (rural)	 Suburbia does have its wealth and does spend much more money on education than do other regions such as the 	urban and rural	 areas in society.
no	X and Y	major	giant	major - minor	(\bmajor) and (?!minor)(\b\w+)	 The 1,311 known 	major and giant	 oil fields contain @ @ @ @ @ @ @ @ @ @ the most critical for future global oil supplies.
no	X and Y	right	challenging	right - wrong	(\bright) and (?!wrong)(\b\w+)	 the videogame's controls are just 	right and challenging	) satisfy their competence and autonomy needs, this would result in good enjoyment.
yes	X or Y	long	short	long - short	(long) or (short)	 I also do n't think anyone has an obligation to read my comments, whether they are 	long or short	, and I only expect those who are interested to read them.
yes	X and Y	old	new	new - old	(old) and (new)	 The present debate over the merits of a lower capital-gains tax puts the differences between the 	old and new	 economics in clear relief.
no	X or Y	petite	short	long - short	(?!long)(\b\w+) or (\bshort)	 If you're 	petite or short	 or stocky or have unusual feet, you can recite similar litanies of outfitting frustrations: bags too cavernous to heat; boots that raise blisters or strangle wide feet.
no	X, not Y	short	bad	bad - good	(?!good)(\b\w+), not (\bbad)	 Not too 	short, not bad	 short, not dwarfishly short, just short er than his two friends.
no	X and Y	delusional	true	false - true	(?!false)(\b\w+) and (\btrue)	 So they are still 	delusional and true	 believers.
no	X and Y	major	hopeful	major - minor	(\bmajor) and (?!minor)(\b\w+)	 India is a 	major and hopeful	 exception.
yes	more X than Y	female	male	female - male	more (female) than (male)	 For example, in Zusman and Olson's (1977) study, 	more female than male	 Hispanic respondents failed to answer questions regarding educational level of father and family income.
no	X and Y	new	urban	rural - urban	(?!rural)(\b\w+) and (\burban)	 Thus, Baghdad, the newly built seat of the Caliphate, reflected in planning and in population this 	new and urban	 society.
no	X or Y	private	commercial	private - public	(\bprivate) or (?!public)(\b\w+)	 More than 60 others, many of them badly damaged by time and the elements, are being restored for 	private or commercial	 use.
yes	X or Y	hot	cold	cold - hot	(hot) or (cold)	 Eat them 	hot or cold	, no further cooking necessary.
yes	X or Y	private	public	private - public	(private) or (public)	 The largest problem with 	private or public	 colleges is that they are too big to really personalize learning and help everyone.
no	X and Y	new	devastating	new - old	(\bnew) and (?!old)(\b\w+)	 But it is n't just people who stand to face 	new and devastating	 challenges as organisms break free of traditional limits.
yes	X and Y	urban	rural	rural - urban	(urban) and (rural)	 More than half of America's 	urban and rural	 roadways (59%) are in poor, mediocre, or fair condition, reports the Federal Highway Administration (FHwA).
yes	either X or Y	long	short	long - short	either (long) or (short)	 With the 1-bridle/ light and the 2-bridle/heavy treatments, trawl performance was consistent with 	either long or short	 scope.
no	X and Y	valuable	bad	bad - good	(?!good)(\b\w+) and (\bbad)	 Good experiences are more 	valuable and bad	 experiences linger more painfully.
no	X and Y	environmental	public	private - public	(?!private)(\b\w+) and (\bpublic)	 power plants will not result in large 	environmental and public	 health gains in comparison with gains from other high-priority environmental initiatives.
no	X and Y	plain	good	bad - good	(?!bad)(\b\w+) and (\bgood)	 The food brought by the maid was 	plain and good	.
no	X and Y	good	well	bad - good	(\bgood) and (?!bad)(\b\w+)	 But I have maintained I was a young boy during the Watergate hearings, and know 	good and well	 corruption can go to the top.
no	X or Y	sad	humorous	happy - sad	(\bsad) or (?!happy)(\b\w+)	 It could be a happy, 	sad or humorous	 tale.
no	X and Y	specific	major	major - minor	(?!minor)(\b\w+) and (\bmajor)	 Rice Xa3/Xa26 and XA21 mediate race-	specific and major	 disease resistance to Xoo 5, 6.
no	X or Y	false	fraudulent	false - true	(\bfalse) or (?!true)(\b\w+)	 These schemes take a similar approach, by disseminating 	false or fraudulent	 information in an effort to cause price decreases in a particular company's stock.
yes	both X and Y	urban	rural	rural - urban	both (urban) and (rural)	 It shows that the absolute numbers of unserved peoples in 	both urban and rural	 areas have increased over the past decade.
yes	X and Y	dead	alive	alive - dead	(dead) and (alive)	 After the Titanic sinks, you see countless people (dead and alive	) floating in the water.	
yes	X and Y	old	new	new - old	(old) and (new)	 Faced with remodeling a 1930s home containing a mix of 	old and new	 spaces, architectural designer Van-Martin Rowe used a carefully composed set of dramatic colors to unify the different rooms.
no	X and Y	low	unassuming	high - low	(\blow) and (?!high)(\b\w+)	 Breathing heavily, Casi glanced back at the assisted living residence, huddled 	low and unassuming	 beside the beach.
no	X and Y	personal	private	private - public	(?!public)(\b\w+) and (\bprivate)	 I do n't care if Wilson, in every other aspect of his 	personal and private	 life, has lied in every single statement to the press.
no	X or Y	elementary	high	high - low	(?!low)(\b\w+) or (\bhigh)	9 percent had 	elementary or high	 school education.
no	X and Y	new	disquieting	new - old	(\bnew) and (?!old)(\b\w+)	 Many of these infants developed into children who were more fearful than others-if their parents did n't expose them gradually to 	new and disquieting	 situations, through which the fear response was extinguished.
no	X and Y	female	young	female - male	(\bfemale) and (?!male)(\b\w+)	" "" The voice was "	female and young	, but it was n't Molly's.
yes	X and Y	female	male	female - male	(female) and (male)	 In close to 40 interviews with 	female and male	 veterans of the program, each endorsed it, although their responses ranged from the begrudging to the enthusiastic.
no	between X and Y	warm	cold	cold - hot	between (?!hot)(\b\w+) and (\bcold)	" "" "" There are eight degrees "	between warm and cold	 @ @ @ @ @ @ @ @ @ @.
no	X or Y	low	medium	high - low	(\blow) or (?!high)(\b\w+)	 Many people work hard in 	low or medium	 wage jobs that do not provide health insurance.
no	X or Y	free	low	high - low	(?!high)(\b\w+) or (\blow)	 Skim milk, fat free yogurt, fat 	free or low	 fat cheeses are all good sources.
yes	X and Y	public	private	private - public	(public) and (private)	 Can we eliminate those barriers that @ @ @ @ @ @ @ @ @ @ if it means altering 	public and private	 economic policies?
no	X or Y	private	viewable	private - public	(\bprivate) or (?!public)(\b\w+)	 But you ca n't selectively choose which photos are public or 	private or viewable	 to friends only, and this applies to the Web version as well.
yes	X or Y	good	bad	bad - good	(good) or (bad)	 It does n't mean they were n't 	good or bad	.
no	X and Y	distractible	low	high - low	(?!high)(\b\w+) and (\blow)	 In one study, Martin (1989) reported that children 	distractible and low	 in attention received more criticism from their teachers.
no	X and Y	high	oppressive	high - low	(\bhigh) and (?!low)(\b\w+)	 Unfortunately, the problem of unsustainably 	high and oppressive	 property taxes is not a local one.
no	X and Y	long	disappointing	long - short	(\blong) and (?!short)(\b\w+)	 2013 is going to be a 	long and disappointing	 year for them if that is the case.
no	X and Y	high	consistent	high - low	(\bhigh) and (?!low)(\b\w+)	 However, the rates obtained were relatively 	high and consistent	 with data capturing risk activity for the two months preceding the study.
yes	X and Y	public	private	private - public	(public) and (private)	 News &; World Report recently ranked BU 37th among public universities and colleges and 89th among all 	public and private	" universities in it's 2013 listing of "" America's Best Colleges."
yes	X and Y	urban	rural	rural - urban	(urban) and (rural)	 Students at both the 	urban and rural	 school completed the survey and returned them to the teacher during one class session.
no	X or Y	short	selective	long - short	(\bshort) or (?!long)(\b\w+)	 Plain and simple the Private Companies were @ @ @ @ @ @ @ @ @ @ 	short or selective	 memories go back and look at the real culprits.
no	X and Y	high	senior	high - low	(\bhigh) and (?!low)(\b\w+)	 The top ten activities preferred by junior 	high and senior	 high school students are shown in Table 2.
no	X and Y	low	predictable	high - low	(\blow) and (?!high)(\b\w+)	 If inflation is 	low and predictable	, @ @ @ @ @ @ @ @ @ @ interest rates, reducing its distortionary impact.
no	X and Y	anxious	low	high - low	(?!high)(\b\w+) and (\blow)	 They concluded that coaches should be more supportive and less negative with high 	anxious and low	" self-confident athletes "" (p."
yes	between X and Y	rich	poor	poor - rich	between (rich) and (poor)	 The first stems from the social divisions opened up by sanctions -- 	between rich and poor	, and between different regional and ethnic/religious components of the population.
yes	between X and Y	rich	poor	poor - rich	between (rich) and (poor)	 And the growing wage inequity 	between rich and poor	 has affected families'ability to finance college.
yes	X and Y	good	bad	bad - good	(good) and (bad)	 Part I containing the alphabet, spelling lessons, and short stories of 	good and bad	 boys or girls in words of one syllable only.
yes	X or Y	hot	cold	cold - hot	(hot) or (cold)	 How to use: Stir in juice or sprinkle on 	hot or cold	 cereal.
yes	X and Y	major	minor	major - minor	(major) and (minor)	 For the remainder of the'77 season as well as 1978-79, Donnie would be shuttled back and forth between the Cubs 	major and minor	 league teams.
no	X or Y	good	stressful	bad - good	(\bgood) or (?!bad)(\b\w+)	 Any situation, 	good or stressful	, is an excuse to celebrate with any food, the richer, the better.
no	X and Y	new	snazzy	new - old	(\bnew) and (?!old)(\b\w+)	 The Council loved to reinvent things, improve them, make them 	new and snazzy	.
yes	X or Y	dead	alive	alive - dead	(dead) or (alive)	 I am now ready to defend my homestead against any and all aliens 	dead or alive	!
no	X and Y	private	national	private - public	(\bprivate) and (?!public)(\b\w+)	 Once again, great quantities are shipped from the Northwest with the bulk being harvested from 	private and national	 forest lands in the southern Puget Sound region.
no	both X and Y	low	larger	high - low	both (\blow) and (?!high)(\b\w+)	 There are 	both low and larger	 capacity forklifts.
no	X and Y	urban	suburban	rural - urban	(\burban) and (?!rural)(\b\w+)	 A sample of adolescents from 16 schools in 	urban and suburban	 environments in Kingston and Montego Bay and in rural areas throughout Jamaica was obtained in 1994.
no	either X or Y	public	personal	private - public	either (\bpublic) or (?!private)(\b\w+)	 As long as people continue to exploit these big cats for entertainment - 	either public or personal	 - the situation will not change.
no	X and Y	new	lively	new - old	(\bnew) and (?!old)(\b\w+)	 You will open doors to a 	new and lively	 community that will spring up around your efforts.
yes	both X and Y	small	large	large - small	both (small) and (large)	 The Japanese are experts at tucking and skewering fillets and whole fish, 	both small and large	.
yes	X or Y	small	large	large - small	(small) or (large)	 were taught in 	small or large	 groups).
no	both X and Y	existing	new	new - old	both (?!old)(\b\w+) and (\bnew)	 (n805) Proposed rules for 	both existing and new	 MWCs were promulgated December 20, 1989.
yes	X or Y	hot	cold	cold - hot	(hot) or (cold)	 Nothing felt 	hot or cold	 or had any temperature effects at all that I was aware of.
no	X and Y	rich	lively	poor - rich	(\brich) and (?!poor)(\b\w+)	 THE ORTHODOX THEOLOGICAL ACADEMY So much for our seminar and the interviews and the 	rich and lively	 exchange of opinions it provoked.
no	X and Y	recent	old	new - old	(?!new)(\b\w+) and (\bold)	 These areas were associated with 	recent and old	 intra-alveolar hemorrhages with hemosiderosis.
yes	X and Y	right	wrong	right - wrong	(right) and (wrong)	 Myths employ metaphors that translate the beliefs and ideas that unite a people, sanctify their social order, and define 	right and wrong	.
no	X and Y	prominent	rich	poor - rich	(?!poor)(\b\w+) and (\brich)	 It is hard to imagine another country which would take so seriously the charge of a maid against a 	prominent and rich	 pol, and I am PROUD of that.
yes	X and Y	male	female	female - male	(male) and (female)	, target child gender: 	male and female	 peers).
no	X or Y	frightening	sad	happy - sad	(?!happy)(\b\w+) or (\bsad)	 These are complex, intense, sometimes 	frightening or sad	 movies (especially given Disney's propensity for killing off its young heroes'parents!
no	X or Y	bored	sad	happy - sad	(?!happy)(\b\w+) or (\bsad)	 Everything was fine, she did n't seem 	bored or sad	 or anything.
yes	X or Y	active	passive	active - passive	(active) or (passive)	" Consequently they are stated as "" shall "" or "" must "" rules, depending whether the verb is in the "	active or passive	 voice.
no	X, not Y	divided	happy	happy - sad	(?!sad)(\b\w+), not (\bhappy)	 The nation is obviously quite 	divided, not happy	 with Obama, but also not happy with what the Republicans put forth and articulated.
no	X or Y	moderate	low	high - low	(?!high)(\b\w+) or (\blow)	 The current study found that children participating in programs rated to be implemented with high fidelity demonstrated larger gains than students in schools with 	moderate or low	 implementation.
yes	from X to Y	good	bad	bad - good	from (good) to (bad)	 Several very compelling (yet anecdotal) accounts about people and animals health swinging 	from good to bad	 as their diet went back an forth between conventional and GMO feeds.
yes	both X and Y	old	new	new - old	both (old) and (new)	 Wrapped in a new package and graced with the talent of top photographers, Mother Earth News'sane, planet-saving, lifesaving, cost-saving how-to themes attracted 	both old and new	 readers and advertisers alike.
yes	X and Y	light	heavy	heavy - light	(light) and (heavy)	 I felt 	light and heavy	 at the same time, unsure if I was about to fall down or float to the ceiling.
