class	pattern	X_found	Y_found	pair	query	context_pre	costr	context_post
yes	X rather than Y	low	high	high - low	(low) rather than (high)	 Moreover, leader emergence of men was more pronounced for tasks that were 	low rather than high	 in social complexity.
no	more X than Y	effective	female	female - male	more (?!male)(\b\w+) than (\bfemale)	 The leadership effectiveness studies, on the other hand, indicated that male leaders were rated as 	more effective than female	 leaders; however, this difference was only found in laboratory settings.
yes	X and Y	low	high	high - low	(low) and (high)	 The majority of both the 	low and high	 CL's seem to have difficulty in formulating clinical impressions when faced with provocative or difficult client statements.
no	X or Y	provocative	difficult	difficult - easy	(?!easy)(\b\w+) or (\bdifficult)	 The majority of both the low and high CL's seem to have difficulty in formulating clinical impressions when faced with 	provocative or difficult	 client statements.
yes	X and Y	high	low	high - low	(high) and (low)	 It would seem that the majority of both the 	high and low	 CLs have difficulty in formulating responses to provocative client statements.
yes	between X and Y	high	low	high - low	between (high) and (low)	 The task must be presented in such a way that it assesses the use of more complex cognitive structures, thus allowing a true test of any differences 	between high and low	 CL participants.
yes	X and Y	optimistic	pessimistic	optimistic - pessimistic	(optimistic) and (pessimistic)	 Also, modest relationships were found between the themes of optimism contained within their metaphors and scores on an optimism scale of a questionnaire designed to evaluate the 	optimistic and pessimistic	 orientations.
yes	X and Y	optimistic	pessimistic	optimistic - pessimistic	(optimistic) and (pessimistic)	 Specifically, on the assumption that optimism and pessimism are pervasive personality characteristics, evidence of 	optimistic and pessimistic	 attitudes should be present in the metaphors subjects generate.
yes	X and Y	optimistic	pessimistic	optimistic - pessimistic	(optimistic) and (pessimistic)	 The judges were trained to the point where at least two of the three judges agreed with the experimenter's criteria for 	optimistic and pessimistic	 content 90% of the time.
yes	X or Y	optimistic	pessimistic	optimistic - pessimistic	(optimistic) or (pessimistic)	 Smaller variations appeared between the number of times metaphors generated for family and work were judged as 	optimistic or pessimistic	.
yes	X or Y	optimistic	pessimistic	optimistic - pessimistic	(optimistic) or (pessimistic)	 This analysis involved a correlation between an " 	optimistic or pessimistic	 metaphor category score " for each metaphor a subject produced and @ @ @ @ @ @ @ @ @ @.
yes	X and Y	optimistic	pessimistic	optimistic - pessimistic	(optimistic) and (pessimistic)	 Selecting individual descriptors, compared with making global categorical judgments, may have provided judges with a more sensitive vehicle for identifying 	optimistic and pessimistic	 themes in the metaphors.
yes	X or Y	optimistic	pessimistic	optimistic - pessimistic	(optimistic) or (pessimistic)	 For example, locus of control (LOC) and sensation seeking have been extensively researched constructs and might be present in many of the metaphors not classified as expressly 	optimistic or pessimistic	.
yes	X or Y	optimistic	pessimistic	optimistic - pessimistic	(optimistic) or (pessimistic)	 It was expected that metaphors that were independently judged to be 	optimistic or pessimistic	 would correlate with the O/P scale scores.
yes	either X or Y	optimistic	pessimistic	optimistic - pessimistic	either (optimistic) or (pessimistic)	 In the first experiment, by contrast, the degree to which participants were 	either optimistic or pessimistic	 about various scenarios was determined indirectly through the judgments of trained judges.
yes	X and Y	public	private	private - public	(public) and (private)	 Discussion centers on the distinction between experimentally manipulated 	public and private	 self-attention and standards that are adopted for behavioral self-regulation.
yes	X or Y	right	wrong	right - wrong	(right) or (wrong)	 Subjects were explicitly told that associations given could not be " 	right or wrong	.
no	X or Y	social	public	private - public	(?!private)(\b\w+) or (\bpublic)	 Social evaluation is now possible, and since it is possible, attention may more likely be directed toward 	social or public	 aspects of the self.
no	X and Y	elementary	high	high - low	(?!low)(\b\w+) and (\bhigh)	 A meta-analysis of the effects of divorce and separation on social adjustment and child-parent relations (Amato &; Keith, 1991) found significant impact on individuals during the 	elementary and high	 school periods.
no	X and Y	new	different	new - old	(\bnew) and (?!old)(\b\w+)	 These individuals use 	new and different	 standards in evaluating the child's behavior.
yes	X and Y	short	long	long - short	(short) and (long)	 Such an assessment could be helpful in tailoring 	short and long	 term career plans.
yes	X and Y	high	low	high - low	(high) and (low)	 Specific means of the 	high and low	 EFCAs under rejection and acceptance, respectively, on the various measures appear in Table 2.
yes	X and Y	masculine	feminine	feminine - masculine	(masculine) and (feminine)	 One set of answers was constructed to reflect stereotypical masculine activities and interests; the second set, to reflect stereotypical 	masculine and feminine	 activities and interests.
no	X and Y	masculine	androgynous	feminine - masculine	(\bmasculine) and (?!feminine)(\b\w+)	 Following this line of inquiry, our third goal was to estimate the relative contribution made by masculinity (M), femininity (F), and androgyny (M x F) to evaluations of 	masculine and androgynous	 males.
yes	X and Y	masculine	feminine	feminine - masculine	(masculine) and (feminine)	 One set of answers was constructed to reflect stereotypical masculine activities and interests, and the second set to reflect stereotypical 	masculine and feminine	 activities and interests.
no	X and Y	masculine	androgynous	feminine - masculine	(\bmasculine) and (?!feminine)(\b\w+)	 In each case, subjects evaluated SPs on the questionnaire described above after listening to or reading all the questions and corresponding 	masculine and androgynous	 answers.
no	X and Y	masculine	androgynous	feminine - masculine	(\bmasculine) and (?!feminine)(\b\w+)	 The method of transmitting information from 	masculine and androgynous	 SPs to the subject had no appreciable effect on masculinity and femininity ratings.
yes	X and Y	masculine	feminine	feminine - masculine	(masculine) and (feminine)	 182), males will find a challenge to find the " right " balance of 	masculine and feminine	 characteristics when attempting to elicit favorable impressions.
no	X and Y	governmental	private	private - public	(?!public)(\b\w+) and (\bprivate)	 Some controls now exist through 	governmental and private	 protection.
no	X or Y	bad	harmful	bad - good	(\bbad) or (?!good)(\b\w+)	 What is good is not yin or yang but the dynamic balance between the two; what is 	bad or harmful	 is imbalance.
yes	between X and Y	feminine	masculine	feminine - masculine	between (feminine) and (masculine)	 The personality of each man and each woman is not a static entity but a dynamic phenomenon resulting from the interplay 	between feminine and masculine	 elements.
yes	X and Y	passive	active	active - passive	(passive) and (active)	 Therefore the frequent Western association of yin and yang with 	passive and active	 behavior, respectively, does not seem to be consistent with Chinese thought.
yes	X and Y	masculine	feminine	feminine - masculine	(masculine) and (feminine)	 They all counteract the overemphasis on yang attitudes and values, and try to reestablish a balance between the 	masculine and feminine	 sides of human nature.
no	X and Y	balanced	happy	happy - sad	(?!sad)(\b\w+) and (\bhappy)	 Attunement to it is the key to a 	balanced and happy	 life.
no	X and Y	new	better	new - old	(\bnew) and (?!old)(\b\w+)	 America may be unique in that it was founded on ideas, and it has been committed to the conviction that the human being is the creator of 	new and better	 ideas.
yes	X and Y	high	low	high - low	(high) and (low)	 From its origin to the present, the diverse peoples of America have lived too comfortably with a double bifurcation of high and low ideals, as well as 	high and low	 practice.
no	X and Y	alive	well	alive - dead	(\balive) and (?!dead)(\b\w+)	 However, our egos are still 	alive and well	 and are very cunning as they struggle for survival.
no	X and Y	Simple	easy	difficult - easy	(?!difficult)(\b\w+) and (\beasy)	 	Simple and easy	 are not always synonymous.
no	X or Y	easy	reputable	difficult - easy	(\beasy) or (?!difficult)(\b\w+)	 It is not that they may be able to pass through life in an 	easy or reputable	 manner, but that their mental power may be cultivated and improved for the benefit of society.
no	X and Y	rich	complex	poor - rich	(\brich) and (?!poor)(\b\w+)	) Furthermore, Jews and Christians share a similar understanding of the 	rich and complex	 dimensions of the communities which are the essential medium of their life with God.
no	X and Y	good	sensible	bad - good	(\bgood) and (?!bad)(\b\w+)	 Worse still, many otherwise 	good and sensible	 university students and faculty repeatedly mouth opinions that are not really their own.
no	X and Y	good	decent	bad - good	(\bgood) and (?!bad)(\b\w+)	 Here again we claim as uniquely our own what belongs to 	good and decent	 people everywhere in our society.
no	more X than Y	active	average	active - passive	more (\bactive) than (?!passive)(\b\w+)	 By the 1980s they were probably a bit 	more active than average	.
no	X and Y	urban	black	rural - urban	(\burban) and (?!rural)(\b\w+)	 At the " Jewish Harvard " I majored in history, drawn especially to American 	urban and black	 history.
no	X and Y	new	revelatory	new - old	(\bnew) and (?!old)(\b\w+)	 To arrive at what is genuinely 	new and revelatory	, we must be willing to enter the chaos and abyss of rejected order and structure.
no	X and Y	extensive	rich	poor - rich	(?!poor)(\b\w+) and (\brich)	 " Who I am " is a far more 	extensive and rich	 story of experiences, feelings, insights, judgments, decisions, and religious commitments than " what I do.
yes	X and Y	masculine	feminine	feminine - masculine	(masculine) and (feminine)	 They can not be integrated, as can spirit and matter, or the 	masculine and feminine	 dimensions of the personality, which are not contradictories, but contraries.
yes	more X than Y	public	private	private - public	more (public) than (private)	 They are therefore 	more public than private	, and in them we as it were take the public world along with us into our solitude.
yes	both X and Y	old	new	new - old	both (old) and (new)	 Nothing " new " ever happens with God, who dwells in eternity outside 	both old and new	.
no	X or Y	real	active	active - passive	(?!passive)(\b\w+) or (\bactive)	 As an identifiable individual, the self is not substantively 	real or active	 in the causal and constitutive processes of the world -- whether that world is described in linguistic, psychological, social-historical, or materialistic terms.
yes	either X or Y	alive	dead	alive - dead	either (alive) or (dead)	 " Patients are 	either alive or dead	, and as long as they're alive, it's my obligation to give them hope and comfort.
yes	either X or Y	right	wrong	right - wrong	either (right) or (wrong)	 Preachers must resign themselves to being 	either right or wrong	; an essayist, when proved wrong, may claim to have been " just practicing.
no	X or Y	true	universal	false - true	(\btrue) or (?!false)(\b\w+)	 One is left to debate whether the text possesses one 	true or universal	 meaning or an indefinite number of individual meanings (in which case the thinker's interpretation will be true only to its own criteria of truth).
no	both X and Y	supreme	good	bad - good	both (?!bad)(\b\w+) and (\bgood)	 " It is essential that the providence which manages all be 	both supreme and good	.
no	X and Y	new	perfect	new - old	(\bnew) and (?!old)(\b\w+)	 The cross is @ @ @ @ @ @ @ @ @ @, but the beginning of an ontological victory of God's love over evil and the devil in a 	new and perfect	 creation.
no	X and Y	hard	fast	hard - soft	(\bhard) and (?!soft)(\b\w+)	 But even he seems to admit that such a distinction, while present, is not 	hard and fast	 (ibid.
yes	X or Y	good	bad	bad - good	(good) or (bad)	 But experience, suffered or perceived in the light of human nature and of the gospel, can be judged 	good or bad	.
yes	X and Y	old	new	new - old	(old) and (new)	 The kingdom of heaven, we are told, is like a householder who from his storeroom brings forth things 	old and new	 (Matt 13:52).
no	X and Y	public	Christian	private - public	(\bpublic) and (?!private)(\b\w+)	 108) encompasses 	public and Christian	 dimensions.
no	X and Y	Christian	public	private - public	(?!private)(\b\w+) and (\bpublic)	 Chapter 2 begins by including in this vision a 	Christian and public	 component.
no	X and Y	good	virtuous	bad - good	(\bgood) and (?!bad)(\b\w+)	 99 Robert of Flam-borough wants the confessor to go beyond asking about sins, and question the penitent also about 	good and virtuous	 things done.
no	X and Y	long	lasting	long - short	(\blong) and (?!short)(\b\w+)	 30 A 	long and lasting	 friendship developed between the two, extending far beyond the period of Schell's studies in Wurzburg.
no	X or Y	good	useful	bad - good	(\bgood) or (?!bad)(\b\w+)	 " That which might have been temporarily 	good or useful	 when in a defensive posture is not on that account appropriate for the period of a spiritual offensive!
no	X and Y	long	rich	poor - rich	(?!poor)(\b\w+) and (\brich)	 54 For Blondel, this weakness created a fundamental instability in Spinozism, yet one which permitted " the 	long and rich	 evolution of thought of which it was the point of departure.
no	X and Y	needy	poor	poor - rich	(?!rich)(\b\w+) and (\bpoor)	5 percent of their savings and other forms of property for the support of society, especially the 	needy and poor	.
yes	X or Y	right	wrong	right - wrong	(right) or (wrong)	 deserving, nay demanding, a loyalty to'my country, 	right or wrong	.
no	X and Y	active	constructive	active - passive	(\bactive) and (?!passive)(\b\w+)	 They were leaving high school ready to enter the workforce or continue with their studies, but they were not prepared to take an 	active and constructive	 role in the democratic process.
yes	X and Y	rich	poor	poor - rich	(rich) and (poor)	 Impressed by the interaction of black and white, 	rich and poor	 students during that time of desegregation tension, Ellender became a strong supporter of Close Up's community concept.
no	X and Y	new	younger	new - old	(\bnew) and (?!old)(\b\w+)	 " The same concerns that had given birth to the Close Up Foundation almost two decades earlier were now directed to a 	new and younger	 generation of students.
yes	X and Y	right	wrong	right - wrong	(right) and (wrong)	 Children come to school with their notions of what is 	right and wrong	 and their own conceptions of justice, honesty, cheating, and so on.
no	X and Y	new	unanticipated	new - old	(\bnew) and (?!old)(\b\w+)	 Freedom pursued for its own sake and exercised for ends other than the good seems to dissipate, devolving into some 	new and unanticipated	 form of thralldom.
no	X and Y	noble	good	bad - good	(?!bad)(\b\w+) and (\bgood)	 These exemplary men and women, from the Founders down to the present, were able to set aside their immediate self-interest and to give themselves to things 	noble and good	 and lasting.
no	X and Y	good	lasting	bad - good	(\bgood) and (?!bad)(\b\w+)	 These exemplary men and women, from the Founders down to the present, were able to set aside their immediate self-interest and to give themselves to things noble and 	good and lasting	.
no	X and Y	hard	important	hard - soft	(\bhard) and (?!soft)(\b\w+)	 Grilled in the modern talk-show host style, each guest answered 	hard and important	 questions.
yes	X or Y	rural	urban	rural - urban	(rural) or (urban)	 Was the area predominantly 	rural or urban	?
yes	from X to Y	rural	urban	rural - urban	from (rural) to (urban)	 Show the relationships between migrations from Mississippi to Chicago and the evolution of the blues 	from rural to urban	 themes or instrumentations.
no	X and Y	alive	well	alive - dead	(\balive) and (?!dead)(\b\w+)	 This was en francais what the key members of the EC had been saying throughout 1992 -- that the nation-state, far from ready to abdicate, was 	alive and well	 in Europe.
no	X and Y	Urban	rural	rural - urban	(?!urban)(\b\w+) and (\brural)	 	Urban and rural	 violence is growing, and it is often brutally suppressed in ways that ultimately fuel its further spread.
no	X and Y	shared	difficult	difficult - easy	(?!easy)(\b\w+) and (\bdifficult)	 The 	shared and difficult	 challenges now facing all Americans, North and South, make them advisable.
no	X and Y	stern	sober	drunk - sober	(?!drunk)(\b\w+) and (\bsober)	 Such harsh realities demand 	stern and sober	 judgments of accountability and the candid appraisal of international systems in need of drastic renovation.
yes	X and Y	old	new	new - old	(old) and (new)	 The continuance of committees in various forms in all three branches of government would represent a blend of 	old and new	.
no	X and Y	passive	imitative	active - passive	(\bpassive) and (?!active)(\b\w+)	 Initially, the work of such centers is likely to be 	passive and imitative	.
yes	both X and Y	rural	urban	rural - urban	both (rural) and (urban)	 " 41 These practical teachings gained considerable support among the impoverished masses in 	both rural and urban	 areas.
no	X and Y	long	painful	long - short	(\blong) and (?!short)(\b\w+)	 " 3 Attempts at democratic reform were branded a " universal failure " and officials predicted that steps toward a market-oriented economy would be " 	long and painful	.
yes	X or Y	good	bad	bad - good	(good) or (bad)	 " 22 Politics must be judged 	good or bad	 by whether it can promote economic development.
yes	X or Y	right	wrong	right - wrong	(right) or (wrong)	 Whether something is favorable or harmful for'four modernizations'should be the most basic standard for us to judge whether it is 	right or wrong	.
yes	between X and Y	new	old	new - old	between (new) and (old)	 The struggle 	between new and old	 groups is inevitable in modernization.
yes	between X and Y	old	new	new - old	between (old) and (new)	 The best way for the state is to constrain these old groups and support new forces as much as possible, and to attain a balance 	between old and new	 forces.
no	X and Y	empirical	pessimistic	optimistic - pessimistic	(?!optimistic)(\b\w+) and (\bpessimistic)	 For a more 	empirical and pessimistic	 account, see Samuel Decalo, " The Process, Prospects and Constraints of Democratization in Africa, " African Affairs, vol 91, (1992), pp.
yes	X or Y	urban	rural	rural - urban	(urban) or (rural)	 The absolute number of persons likely to seek 	urban or rural	 employment, land, schools, and health services is likely to continue to rapidly increase for at least two decades.
yes	X and Y	urban	rural	rural - urban	(urban) and (rural)	 While there are problems of definition of family and household, most 	urban and rural	 Africans continue to enjoy extensive affiliations with relatives and " others " who provide reciprocal material and psychological support.
yes	X and Y	female	male	female - male	(female) and (male)	 Key variables relating to the status of women include age of marriage @ @ @ @ @ @ @ @ @ @ women ever married, 	female and male	 life expectancy, polygamy, and non-farm employment.
yes	X and Y	urban	rural	rural - urban	(urban) and (rural)	 The increasing numbers of women in 	urban and rural	 female-headed households often represent dire poverty rather than status improvements.
yes	X and Y	urban	rural	rural - urban	(urban) and (rural)	 Instead, a wide range of non-profit organizations, often with external aid, have carried out effective outreach and delivery to 	urban and rural	 areas.
yes	X and Y	urban	rural	rural - urban	(urban) and (rural)	 These include 	urban and rural	 people in almost every part of the continent.
yes	X and Y	large	small	large - small	(large) and (small)	 Both 	large and small	, these plots stood as stark testimonials to the folly of widespread dependence on a single crop.
yes	X and Y	short	long	long - short	(short) and (long)	 Development cooperation should promote, in the 	short and long	 terms, the development of more integrative, community-based programs to benefit the local people and enhance their abilities to be self-reliant and productive.
yes	X and Y	urban	rural	rural - urban	(urban) and (rural)	 According to Madi Gray, family planning among the African populations is seen as " a cure for the high rate of illegitimacy, the misery in the 	urban and rural	 ghettos, the mounting crime and vagrancy rates.
no	X and Y	congressional	public	private - public	(?!private)(\b\w+) and (\bpublic)	 According to this viewpoint, the White House only began paying attention when rising 	congressional and public	 concerns threatened to make Somalia a campaign issue in the 1992 presidential elections.
no	X and Y	arduous	difficult	difficult - easy	(?!easy)(\b\w+) and (\bdifficult)	 For the victors there will be no spoils, but rather the 	arduous and difficult	 tasks of rehabilitation: comprehensively rebuilding the country from the bottom up.
no	X and Y	slow	cumbersome	fast - slow	(\bslow) and (?!fast)(\b\w+)	 Somalia's rehabilitation process will be a 	slow and cumbersome	 one; the most pressing issue at the moment is to determine who is capable of guiding the process.
no	X and Y	long	bitter	long - short	(\blong) and (?!short)(\b\w+)	 On the verge of ousting Barre after a 	long and bitter	 struggle, the opposition categorically rejected Italy's gradualist (and less certain) proposals.
no	X and Y	durable	permanent	permanent - temporary	(?!temporary)(\b\w+) and (\bpermanent)	 On the other hand, if broad sectors of Somali civil society are included in the process, reconciliation will be more 	durable and permanent	.
no	X and Y	long	arduous	long - short	(\blong) and (?!short)(\b\w+)	 The peace is a fragile one, however, and the road to reconciliation and rehabilitation will be 	long and arduous	.
no	both X and Y	new	positive	new - old	both (\bnew) and (?!old)(\b\w+)	 Might not such strategies result in highlighting the conditions of their construction and allow for evaluations 	both new and positive	?
no	X and Y	alive	well	alive - dead	(\balive) and (?!dead)(\b\w+)	 If Southern studies is " 	alive and well	 in the Antipodes " -and I believe it is-then to Duke University belongs a large sham of the credit.
no	X and Y	old	outdated	new - old	(\bold) and (?!new)(\b\w+)	 In addition, most libraries stock very 	old and outdated	 materials.
no	X and Y	liberal	optimistic	optimistic - pessimistic	(?!pessimistic)(\b\w+) and (\boptimistic)	, 1985), that the South moved in the 1820s from 	liberal and optimistic	 to conservative and defensive, overlooks the fundamental commitment made to slavery during the Revolution.
no	X and Y	heavy	sustained	heavy - light	(\bheavy) and (?!light)(\b\w+)	 Others, such as Cork, grew in importance throughout the nineteenth century becoming the major emigration port of the country during the years of 	heavy and sustained	 emigration in the late nineteenth and early twentieth century.
no	X and Y	free	happy	happy - sad	(?!sad)(\b\w+) and (\bhappy)	 People with a family advanced in life find great difficulties in emigration, but the young men of Ireland who wish to be 	free and happy	 should leave it and come here as quick as possible.
no	X and Y	large	airy	large - small	(\blarge) and (?!small)(\b\w+)	 Passengers were taken on the return journey to Canada, and the timber ships with their 	large and airy	 holds were more attractive to passengers than the smaller vessels.
no	X and Y	private	governmental	private - public	(\bprivate) and (?!public)(\b\w+)	 19 Thus 	private and governmental	 spheres were still combined in semicorporate fashion @ @ @ @ @ @ @ @ @ @ unencumbered by complex bureaucratic checks and impediments.
no	X and Y	friendly	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 He found Bremen " a 	friendly and active	 town ", but felt uneasy about his suitcase which arrived a day late.
no	X and Y	short	efficient	long - short	(\bshort) and (?!long)(\b\w+)	 @ @ @ @ @ @ @ @ @ @ No reports of difficulties along the route are included; the trip was 	short and efficient	.
no	X and Y	poor	stateless	poor - rich	(\bpoor) and (?!rich)(\b\w+)	 They were 	poor and stateless	 foreigners who had been allowed to enter Canada as an act of mercy, a symbol of compassion for the " starving Armenians.
no	X and Y	good	brave	bad - good	(\bgood) and (?!bad)(\b\w+)	 " These men were, to the Indians,'	good and brave	 men, "'Josephy asserts, " their Nathan Hales, George Washingtons, and Benjamin Franklins.
no	X and Y	personal	public	private - public	(?!private)(\b\w+) and (\bpublic)	 He now had to integrate 	personal and public	 responsibilities.
no	X and Y	rich	powerful	poor - rich	(\brich) and (?!poor)(\b\w+)	 In the past, these regions have experienced a very mixed relationship with their 	rich and powerful	 neighbors to the North and West.
yes	X and Y	urban	rural	rural - urban	(urban) and (rural)	 German companies, in particular, have been at the forefront of research on environmental protection, while Latin American industries will need to act quickly if continued degradation of 	urban and rural	 areas is to be halted or reversed.
no	X and Y	problematic	difficult	difficult - easy	(?!easy)(\b\w+) and (\bdifficult)	 Nevertheless, as long as Panama functions under its present authoritarian, and Executive-dominated, constitution, the transition to democracy will remain 	problematic and difficult	 to sustain.
no	X or Y	facile	temporary	permanent - temporary	(?!permanent)(\b\w+) or (\btemporary)	 Hunger, unemployment, and personal insecurity require more than just 	facile or temporary	 solutions.
no	both X and Y	simple	short	long - short	both (?!long)(\b\w+) and (\bshort)	 However, the 1992 referendum provided a relatively easy test because the ballot was 	both simple and short	 and, thus, easy to count.
no	X and Y	poor	typical	poor - rich	(\bpoor) and (?!rich)(\b\w+)	 For the most part, the soil is 	poor and typical	 of that found in tropical forests, of which perhaps only 3% may be suitable for agriculture (Jonas and Ponce, 1986).
yes	both X and Y	public	private	private - public	both (public) and (private)	 Nevertheless, this is the economic activity that has received the most stimulus from institutions, 	both public and private	, in order to incorporate the forest regions into the economy of the country.
no	X and Y	ambiguous	difficult	difficult - easy	(?!easy)(\b\w+) and (\bdifficult)	 @ @ @ @ @ @ @ @ @ @ being) ignored as too 	ambiguous and difficult	 -- or, perhaps, even irrelevant.
no	X and Y	rich	diverse	poor - rich	(\brich) and (?!poor)(\b\w+)	 However, LIC doctrine adds relatively little that is substantively new to Latin American military thought, which has produced its own 	rich and diverse	 analyses of revolutionary and counterrevolutionary warfare.
yes	X or Y	large	small	large - small	(large) or (small)	 Nearly all of the more than twelve thousand graves, 	large or small	, ornate or simple, are distinctly Chinese in style.
no	X and Y	small	compact	large - small	(\bsmall) and (?!large)(\b\w+)	 Most other Indonesian cities remained 	small and compact	 until well into the twentieth century.
no	X and Y	governmental	private	private - public	(?!public)(\b\w+) and (\bprivate)	 It remained the undisputed center for high-level financial and service activities, but other cities began to benefit from the long years of peace and the consequent decentralization of 	governmental and private	 employment.
no	X and Y	difficult	dangerous	difficult - easy	(\bdifficult) and (?!easy)(\b\w+)	 Similarly, few Khumbu Sherpas undertake the 	difficult and dangerous	 work of sirdar or high-altitude porter for mountaineering expeditions (Fisher 1990).
no	X or Y	good	hard	bad - good	(\bgood) or (?!bad)(\b\w+)	 They especially renounce the authority that implicitly or explicitly bolsters the claim to privilege one theory over another, as in: my science is 	good or hard	 @ @ @ @ @ @ @ @ @ @.
