class	pattern	X_found	Y_found	pair	query	context_pre	costr	context_post
no	X or Y	light	weighty	heavy - light	(\blight) or (?!heavy)(\b\w+)	 But this is so in great part because democracy has secured a culture that is eclectic, thriving on a diversity of moral and religious traditions; a culture endangered by homogeneity, whether unbearably 	light or weighty	.
no	X and Y	good	evil	bad - good	(\bgood) and (?!bad)(\b\w+)	 We see ourselves as part of their stories, which have left us with unforgettable visions of 	good and evil	 and have instructed us in how to make life a little more divine.
no	both X and Y	accidental	temporary	permanent - temporary	both (?!permanent)(\b\w+) and (\btemporary)	 If contention disproportionately surrounds questions of holdings in property, that might be 	both accidental and temporary	.
yes	X or Y	right	wrong	right - wrong	(right) or (wrong)	 But whether their actions are 	right or wrong	 is not really the point.
no	X or Y	good	efficient	bad - good	(\bgood) or (?!bad)(\b\w+)	 Allocating ownables by a criterion of best or efficient use may paradoxically imply less 	good or efficient	 uses because people may refrain from risky investments and improvements.
no	X and Y	large	faithful	large - small	(\blarge) and (?!small)(\b\w+)	 You have a bit of luck with your location and build a 	large and faithful	 clientele.
no	X or Y	public	common	private - public	(\bpublic) or (?!private)(\b\w+)	 Given this conception of property, the publication of scientific results makes them 	public or common	 property: the benefit and use of the theory become the right of anyone within the limits of plagiarism and copyright.
yes	X and Y	private	public	private - public	(private) and (public)	 This issue reduces to the question of how property rights ought to be distributed across 	private and public	 actors to best achieve a certain result.
yes	X and Y	active	passive	active - passive	(active) and (passive)	 The extent to which students learned 	active and passive	 facts was evaluated on paper posttests administered after the completion of each module.
yes	both X and Y	passive	active	active - passive	both (passive) and (active)	 Although the answer must be qualified, including 	both passive and active	 facts in training increased training efficiency.
no	X or Y	short	tall	long - short	(\bshort) or (?!long)(\b\w+)	 We can be 	short or tall	, broad or thin, but we share a common signature, a common sign inside our body in terms of our skeletal structure.
no	X and Y	new	valuable	new - old	(\bnew) and (?!old)(\b\w+)	 Gregory Bateson (1972) felt that an acute psychotic @ @ @ @ @ @ @ @ @ @ pathological situation and eventually returns to normal life with 	new and valuable	 insights.
no	X and Y	new	expanded	new - old	(\bnew) and (?!old)(\b\w+)	 The shaman's " calling " 2 to spiritual reality is a critical experience often leading to dramatic personality changes and 	new and expanded	 ways of being-in-the-world.
yes	X or Y	good	bad	bad - good	(good) or (bad)	 Whatever happens -- 	good or bad	, fortunate or unfortunate, success or failure -- is likely to be attributed to the spirits.
no	X and Y	long	tiring	long - short	(\blong) and (?!short)(\b\w+)	 As Eliade says of the initial training, " All this 	long and tiring	 ceremony has as its object transforming the apprentice magician's initial and momentary and ecstatic experience.
no	X and Y	new	higher	new - old	(\bnew) and (?!old)(\b\w+)	 The spiral-to-integration view, in contrast, holds that the transcendence of the ego involves a reversal, a going back before a going beyond, a return to origins before an ascent to 	new and higher	, transegoic levels.
yes	X rather than Y	old	new	new - old	(old) rather than (new)	 " The potentials met with are 	old rather than new	 because they are the very same potentials that, at the pre-egoic level, constituted the original environment of the ego's existence.
no	X and Y	full	true	false - true	(?!false)(\b\w+) and (\btrue)	 The unawareness is fundamentally a matter of ignorance, blindness to our 	full and true	 nature.
no	X and Y	new	surprising	new - old	(\bnew) and (?!old)(\b\w+)	 After a while, it became possible to make 	new and surprising	 alliances on different bases altogether.
no	X and Y	false	dangerous	false - true	(\bfalse) and (?!true)(\b\w+)	 The concept of enemy had been a 	false and dangerous	 premise, wasting my resources and diverting my nature, especially because @ @ @ @ @ @ @ @ @ @ the inner conflict.
yes	X and Y	masculine	feminine	feminine - masculine	(masculine) and (feminine)	 Each perspective, 	masculine and feminine	, is here both affirmed and yet also transcended, recognized as part of a larger @ @ @ @ @ @ @ @ @ @ fulfillment.
no	X or Y	living	dead	alive - dead	(?!alive)(\b\w+) or (\bdead)	 It is a presence of which it makes little sense to ask whether it is 	living or dead	, whether it is a person or a thing.
no	X and Y	small	temporary	permanent - temporary	(?!permanent)(\b\w+) and (\btemporary)	 But sometimes all this twisting and flailing around results -- we do not understand how -- in the creation of a 	small and temporary	 air space, a clearing, a pocket of pure mystery which God instantaneously fills.
no	X and Y	new	bewildering	new - old	(\bnew) and (?!old)(\b\w+)	 In adolescence, the pull of oneness will be felt again, with 	new and bewildering	 force, in the form of sexual passion, and a new ego-form will have to be arrived at.
no	X and Y	new	normative	new - old	(\bnew) and (?!old)(\b\w+)	 Jesus, by incarnating the 	new and normative	 humanity, could manifest this anticipatory quality to a unique degree.
no	X and Y	new	eternal	new - old	(\bnew) and (?!old)(\b\w+)	 It was out of this death, this ultimate shame of humanity, that he, come to his term and resolving the immemorial human impasse, lifted them up to a 	new and eternal	 life.
no	X and Y	new	free	new - old	(\bnew) and (?!old)(\b\w+)	 Not a flabby " making-nice " where there has been no struggle and no creation of a 	new and free	 identity.
yes	X and Y	private	public	private - public	(private) and (public)	 The majority of these branch campuses offer only English language instruction and represent partnerships between American institutions of higher education -- community colleges, private colleges, and 	private and public	 universities -- and private Japanese business partners.
no	X and Y	small	inconsiderable	large - small	(\bsmall) and (?!large)(\b\w+)	 Justice John Smith, whom the petitioners referred to as " a man of very 	small and inconsiderable	 estate, " neglected his sworn duty, they said.
yes	X or Y	rural	urban	rural - urban	(rural) or (urban)	 Currently, there are estimated to be sixty to eighty thousand of these groups in Brazil, located for the most part among the poor in 	rural or urban	, working-class areas.
no	X and Y	important	major	major - minor	(?!minor)(\b\w+) and (\bmajor)	 For this reason the crisis theology of Karl Barth and others who resisted the co-option of the church by the Adolf Hitler regime constitutes an 	important and major	 contribution to the history of theology.
no	X and Y	rich	powerful	poor - rich	(\brich) and (?!poor)(\b\w+)	 This is because the church, biblically understood, is obliged to counteract the bias in favor of the 	rich and powerful	 which undergirds most political societies.
no	X and Y	new	extraordinary	new - old	(\bnew) and (?!old)(\b\w+)	 And proponents of a church-over-state such as the Roman Catholic hierarchy approach to religion and politics have achieved 	new and extraordinary	 political power.
no	X and Y	large	complex	large - small	(\blarge) and (?!small)(\b\w+)	 Beyond this I can not yet go, hut the linkages are well @ @ @ @ @ @ @ @ @ @ presented here is only a piece in a 	large and complex	 mosaic.
yes	between X and Y	active	passive	active - passive	between (active) and (passive)	 The first distinction is 	between active and passive	 conception and is exemplified in De festis of Benedict XIV, in which the pope comments on the doctrine of the Immaculate Conception.
yes	X and Y	short	long	long - short	(short) and (long)	 It was generally believed that the economy would stabilize at a level consistent with full employment of these resources in both the 	short and long	 run; there would be little cyclical unemployment.
yes	X and Y	short	long	long - short	(short) and (long)	 They believed that the economy would stabilize at a level consistent with full employment of these resources in both the 	short and long	 run.
no	both X and Y	necessary	difficult	difficult - easy	both (?!easy)(\b\w+) and (\bdifficult)	 18 Such a demonstration was 	both necessary and difficult	 because faith (theologia) was now seen more as a set of intellectual affirmations than as a habitus that oriented Christian life in the world.
no	X and Y	sober	realistic	drunk - sober	(\bsober) and (?!drunk)(\b\w+)	 On this issue he detailed a more 	sober and realistic	 stand in his survey of temporal laws in the De libero arbitrio.
no	X and Y	good	evil	bad - good	(\bgood) and (?!bad)(\b\w+)	 people acted out of a mixture of 	good and evil	 motives.
yes	either X or Y	good	bad	bad - good	either (good) or (bad)	 Thus one and the same action could be 	either good or bad	, depending on its motivation.
no	X and Y	good	capable	bad - good	(\bgood) and (?!bad)(\b\w+)	 Even in his most ill-tempered later diatribes against Pelagius'brightest defender, Julian of Eclanum, he reasserted his conviction that human nature, though vitiated, remained basically 	good and capable	 of being healed.
yes	whether X or Y	good	bad	bad - good	whether (good) or (bad)	 For Augustine this condition was a quality hidden to human beings, so, 	whether good or bad	, it could have no effect on the recipients of baptism.
no	X or Y	good	wicked	bad - good	(\bgood) or (?!bad)(\b\w+)	 Their baptisms were then a @ @ @ @ @ @ @ @ @ @ 	good or wicked	.
no	X or Y	good	evil	bad - good	(\bgood) or (?!bad)(\b\w+)	 They have maintained that whatever the incidental specifics of the situation, the relationship between such classes of acts and the 	good or evil	 ends or effects is the real substance of moral experience and moral knowledge.
no	X and Y	active	influential	active - passive	(\bactive) and (?!passive)(\b\w+)	 To a very large extent, Nelson's analysis suggests that in the United States right-of-center forces have been more 	active and influential	 than ideological groups on the other side of the political spectrum.
no	X and Y	small	unrepresentative	large - small	(\bsmall) and (?!large)(\b\w+)	 Torney-Purta cautions readers to be wary of overly broad generalizations about national differences when the samples are 	small and unrepresentative	.
no	X and Y	stable	permanent	permanent - temporary	(?!temporary)(\b\w+) and (\bpermanent)	 Hertog supports this notion, in the case of human rights at least, when he points out that " it is helpful to think of rights talk as a relatively 	stable and permanent	 social condition " (p.
no	X and Y	informed	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 The product of public schooling in a democratic society was to be the 	informed and active	 participant in civic life.
yes	both X and Y	new	old	new - old	both (new) and (old)	 The lesson that freedom is not the license to exploit others nor is it without restraint is one most relevant to 	both new and old	 democracies.
yes	X or Y	good	bad	bad - good	(good) or (bad)	 " As educators, we do not pay enough attention to the ordinary student and notice the special, high or low, extraordinarily 	good or bad	.
yes	X or Y	high	low	high - low	(high) or (low)	 " As educators, we do not pay enough attention to the ordinary student and notice the special, 	high or low	, extraordinarily good or bad.
no	X and Y	immigrant	poor	poor - rich	(?!rich)(\b\w+) and (\bpoor)	 Our schools were designed for a different population at a time when 	immigrant and poor	 youths did not need to be literate or have basic skills to get jobs and to become self-supporting citizens.
no	X and Y	new	different	new - old	(\bnew) and (?!old)(\b\w+)	 history and culture from 	new and different	 perspectives, must acquire new knowledge about U.
no	X and Y	happy	carefree	happy - sad	(\bhappy) and (?!sad)(\b\w+)	 Important examples of such knowledge are the views of slaves as 	happy and carefree	, Indians as hostile, and the idea that the westward expansion of the United States civilized and brought salvation to the American Indians.
no	X and Y	cold	snowy	cold - hot	(\bcold) and (?!hot)(\b\w+)	 The Scott, Foresman text @ @ @ @ @ @ @ @ @ @ the northern part of the United States, where it is 	cold and snowy	 in winter.
yes	both X and Y	urban	rural	rural - urban	both (urban) and (rural)	 Throughout discussions of 	both urban and rural	 school programs, the commission reiterated three purposes for American education: personal development, vocational preparation, and civic responsibility and competence.
no	X or Y	static	passive	active - passive	(?!active)(\b\w+) or (\bpassive)	 Prior to 1788 however, it should not be assumed that the Aborigines lived in a 	static or passive	 relationship with the land during the many thousands of years when the Aboriginal vision predominated.
no	X and Y	close	large	large - small	(?!small)(\b\w+) and (\blarge)	 All these issues will be influenced by Latin America because the region is so 	close and large	, demonstrably capable of growth and tightly intertwined with the United States.
no	X or Y	difficult	impossible	difficult - easy	(\bdifficult) or (?!easy)(\b\w+)	 And once such disagreements have arisen among the regime's military commanders, any reversion to a policy of repression may be 	difficult or impossible	.
no	X and Y	new	developing	new - old	(\bnew) and (?!old)(\b\w+)	 Its attraction as a political or economic model or mentor for 	new and developing	 nations has vanished.
yes	X or Y	hot	cold	cold - hot	(hot) or (cold)	 But no war, 	hot or cold	, is in fact a useful model to meet the challenge of world trade competition.
yes	X and Y	private	public	private - public	(private) and (public)	 The 	private and public	 lives of Lithuanians were once again beginning to merge.
no	X and Y	small	medium	large - small	(\bsmall) and (?!large)(\b\w+)	 Employment tends to be in very large enterprises, to the almost complete exclusion of 	small and medium	 size firms.
yes	X and Y	masculine	feminine	feminine - masculine	(masculine) and (feminine)	 In the Islamic world view, male and female, 	masculine and feminine	, represent different, complementary " orders.
yes	X and Y	private	public	private - public	(private) and (public)	 decided that 	private and public	 financial aid for Arab development would be made on a commercial basis-on the nature of the projects and the ability of the country to repay the loan.
no	X and Y	congressional	public	private - public	(?!private)(\b\w+) and (\bpublic)	 On both occasions there was 	congressional and public	 pressure to back down; and in both cases Eisenhower refused to oblige @ @ @ @ @ @ @ @ @ @ two cases.
no	X and Y	large	influential	large - small	(\blarge) and (?!small)(\b\w+)	 was the unyielding and shortsighted pro-Israel attitude in 	large and influential	 segments of the American Jewish community, Congress, the media and in intellectual and cultural circles.
no	X and Y	slow	difficult	difficult - easy	(?!easy)(\b\w+) and (\bdifficult)	 11 Developing suitable institutions is a 	slow and difficult	 process.
no	X and Y	active	healthy	active - passive	(\bactive) and (?!passive)(\b\w+)	 A number of statistics are frequently cited: " More than 700 million people world-wide do not get enough food for an 	active and healthy	 life.
no	X and Y	bilateral	private	private - public	(?!public)(\b\w+) and (\bprivate)	 below market rate of interest and for a long periods of time) declined significantly, a decline attributed to harsher conditions imposed by 	bilateral and private	 creditors.
no	X and Y	bad	doubtful	bad - good	(\bbad) and (?!good)(\b\w+)	 in the interest of both debtors and creditors we can make as a first proposal that a portion of the debt should be declared " 	bad and doubtful	 " or " forgiven and forgotten.
no	X and Y	poor	vulnerable	poor - rich	(\bpoor) and (?!rich)(\b\w+)	 More importantly, this proposal may be justified on the grounds of the relatively harsher impact of the debt on the 	poor and vulnerable	.
yes	both X and Y	urban	rural	rural - urban	both (urban) and (rural)	 The incomes and consumption patterns of the middle income and poor households in 	both urban and rural	 areas will be of particular relevance.
yes	X and Y	rural	urban	rural - urban	(rural) and (urban)	 On the household side the 	rural and urban	 breakdown is helpful.
no	X and Y	landless	small	large - small	(?!large)(\b\w+) and (\bsmall)	 In the rural area a classification by landholding helps identify the 	landless and small	 farmers.
yes	both X and Y	urban	rural	rural - urban	both (urban) and (rural)	 There are five categories of government expenditures-public administration and defense, education, health, agricultural services and other services and 16 different types of households, including poor households in 	both urban and rural	 areas.
no	X and Y	poor	vulnerable	poor - rich	(\bpoor) and (?!rich)(\b\w+)	 Identifying the 	poor and vulnerable	 groups in the SAP countries should be a major priority.
no	X and Y	male	industrial	female - male	(\bmale) and (?!female)(\b\w+)	 They obviously have urban, 	male and industrial	 counterparts especially in states with a history of industrialization and urbanisation.
no	X or Y	public	political	private - public	(\bpublic) or (?!private)(\b\w+)	 25 of 1987 which prohibits'@ @ @ @ @ @ @ @ @ @ contesting elections or holding 	public or political	 party positions.
no	both X and Y	public	academic	private - public	both (\bpublic) and (?!private)(\b\w+)	 Dramatic developments in Washington and in the world have focused enormous attention, 	both public and academic	, on the office, its occupants, and the product of their efforts.
no	X and Y	new	crucial	new - old	(\bnew) and (?!old)(\b\w+)	 Through their focus on female experiences and female world views they add a 	new and crucial	 dimension to Chicano literature.
no	more X than Y	urban	other	rural - urban	more (\burban) than (?!rural)(\b\w+)	 But in the 1850-1870 period, the Irish-born were NOT comparatively 	more urban than other	 immigrants, even though dramatically more so than native born.
no	X and Y	rich	expressive	poor - rich	(\brich) and (?!poor)(\b\w+)	 This constellation of activities reflected the rise of a 	rich and expressive	 associational life among the city's Irish -- an organizational network that transcended traditional neighborhood loyalties.
no	X as well as Y	urban	academic	rural - urban	(\burban) as well as (?!rural)(\b\w+)	 As they participated in 	urban as well as academic	 life, minority status shaped their lives at every turn.
no	X and Y	long	distinguished	long - short	(\blong) and (?!short)(\b\w+)	 from Ohio State University, Orata returned to a 	long and distinguished	 career as a teacher and community college president in Pangasinan Province.
no	X and Y	young	old	new - old	(?!new)(\b\w+) and (\bold)	 Although men -- 	young and old	 -- could easily travel beyond New Braunfels on horseback, ordinary women had no form of transportation when husbands, fathers, or male employers were gone.
no	X and Y	alive	vigorous	alive - dead	(\balive) and (?!dead)(\b\w+)	 They select certain desirable elements from the dominant white @ @ @ @ @ @ @ @ @ @ it 	alive and vigorous	.
no	X and Y	heavy	burdensome	heavy - light	(\bheavy) and (?!light)(\b\w+)	 Much of their labor-was 	heavy and burdensome	, including collecting and hauling firewood and water.
no	X and Y	soft	supple	hard - soft	(\bsoft) and (?!hard)(\b\w+)	 The result was a 	soft and supple	 leather.
yes	both X and Y	good	bad	bad - good	both (good) and (bad)	 The annual exodus to the hop fields, which was a longstanding tradition in subsistence strategies of the Coast Salish Indians, had 	both good and bad	 consequences.
no	both X and Y	new	unique	new - old	both (\bnew) and (?!old)(\b\w+)	 This syndrome is 	both new and unique	, and is to some extent an epiphenomenon of the acknowledgment process established in 1978.
no	X and Y	active	cooperative	active - passive	(\bactive) and (?!passive)(\b\w+)	 This approach presumes much initiative coming from the region itself, with the United States playing an 	active and cooperative	 role.
yes	X and Y	urban	rural	rural - urban	(urban) and (rural)	 In the simple homes of many 	urban and rural	 laborers, images of a smiling Pope replaced those of the blonde, blue-eyed papa Stroessner.
no	X and Y	individual	small	large - small	(?!large)(\b\w+) and (\bsmall)	 In the Andean nations, the duties of these forces include providing training for police and military personnel in subjects such as 	individual and small	 unit tactics, leadership, and airmobile and riverine operations.
no	X and Y	important	difficult	difficult - easy	(?!easy)(\b\w+) and (\bdifficult)	 " President Bush has an able parmer and an historic chance to reshape our most 	important and difficult	 relationship; he should not dawdle.
no	both X and Y	agricultural	urban	rural - urban	both (?!rural)(\b\w+) and (\burban)	 12 The broad range of its demands strengthened the ability of the UASP to mobilize 	both agricultural and urban	 workers, Indians as well as Ladinos.
no	X and Y	high	growing	high - low	(\bhigh) and (?!low)(\b\w+)	 Although the retirement counties had very 	high and growing	 percentages of elderly, in-migration by this cohort was relatively modest.
no	X and Y	heavy	expensive	heavy - light	(\bheavy) and (?!light)(\b\w+)	 Furthermore, because automobiles are relatively 	heavy and expensive	 to transport over long distances, the proximity of the Canadian market renders American cars cost-competitive.
no	X and Y	short	intermediate	long - short	(\bshort) and (?!long)(\b\w+)	 Also rail-passenger travel is more important, especially for 	short and intermediate	 distances, than is air transportation.
no	X and Y	scientific	public	private - public	(?!private)(\b\w+) and (\bpublic)	 In the mid-1970s, the hypothesis that a rapidly growing population of subsistence farmers was stripping the steep Himalayan slopes of forest cover, and was thereby inducing catastrophic erosion and flooding, gained wide 	scientific and public	 acceptance.
no	X and Y	discrete	short	long - short	(?!long)(\b\w+) and (\bshort)	 The compartmentalization of time into many 	discrete and short	 segments, for example, has made it difficult to organize labor's reserve army.
no	X and Y	urban	regional	rural - urban	(\burban) and (?!rural)(\b\w+)	 The proliferation of boom towns in such a rural, resource-extractive milieu raises questions about the long-term prospects for 	urban and regional	 development.
no	X and Y	private	governmental	private - public	(\bprivate) and (?!public)(\b\w+)	 But far more common has been the spontaneous emergence of unplanned towns along the highways, close to natural resources, in agricultural areas, or near successful 	private and governmental	 projects.
yes	X and Y	good	bad	bad - good	(good) and (bad)	 They are used to extricate @ @ @ @ @ @ @ @ @ @, to make 	good and bad	 magic, to ward off evil eye, and to treat medical problems.
yes	X and Y	wet	dry	dry - wet	(wet) and (dry)	 Both regions sustain 	wet and dry	 tropical forests with similar physiognomies.
no	X and Y	urban	agricultural	rural - urban	(\burban) and (?!rural)(\b\w+)	 However, much of the physical landscape must have seemed familiar -- broadleaf evergreen forests interrupted by 	urban and agricultural	 areas.
yes	X and Y	high	low	high - low	(high) and (low)	 Maps of physician-population ratio in oblasts depict 	high and low	 physician availability in 1940 and 1985.
yes	X and Y	urban	rural	rural - urban	(urban) and (rural)	 In the Soviet health-care literature, the problem of maldistribution of physicians across 	urban and rural	 areas is often cited but has not been documented in detail below the republic level.
yes	X and Y	urban	rural	rural - urban	(urban) and (rural)	 There is also evidence that standards for physician availability may differ for 	urban and rural	 areas (Zhuk 1976, 230-233).
no	X and Y	rural	small	rural - urban	(\brural) and (?!urban)(\b\w+)	 Because the medical-care system is hierarchical, some services can not be expected in 	rural and small	 urban areas.
yes	both X and Y	public	private	private - public	both (public) and (private)	 Planning thus is important in 	both public and private	 activities.
no	X and Y	permanent	seasonal	permanent - temporary	(\bpermanent) and (?!temporary)(\b\w+)	 However, population pressures created by 	permanent and seasonal	 residents and the influx of tourists cause highway congestion, chronic air pollution, and strains on other infrastructural and social services.
no	X and Y	new	creative	new - old	(\bnew) and (?!old)(\b\w+)	 Contents of a scholarly journal should emphasize the 	new and creative	 and should be thought-provoking, not thought-obscuring; and they should serve as beacons for future research.
yes	X or Y	rural	urban	rural - urban	(rural) or (urban)	 Whether 	rural or urban	, a family was the primary unit of production.
no	X and Y	altered	new	new - old	(?!old)(\b\w+) and (\bnew)	 Furthermore the typology is adjustable, because any category may be expanded or 	altered and new	 ones may be devised to accommodate evidence.
no	X and Y	low	narrow	high - low	(\blow) and (?!high)(\b\w+)	 The value of property close to the water and the desire to view the water from shorefront structures argue for making the dune as 	low and narrow	 as possible while retaining some protective value.
no	X and Y	true	correct	false - true	(\btrue) and (?!false)(\b\w+)	 Thus, the research setting is very different from cases where " safer " biographies are composed, reading the life " backwards and filling in evidence that proves that the final verdict is the 	true and correct	 one.
no	X and Y	sad	lonely	happy - sad	(\bsad) and (?!happy)(\b\w+)	 Several, including some of those fortunate enough to have part of their family safe in the camps, reported feeling 	sad and lonely	, troubled by insomnia.
no	X and Y	new	different	new - old	(\bnew) and (?!old)(\b\w+)	 They quickly add, however, that politicos are a 	new and different	 breed of men of culture separate from the traditional elite.
no	X and Y	old	costly	new - old	(\bold) and (?!new)(\b\w+)	 " Separately and in different places, six young people of the catechism class each found 	old and costly	 Franciscan rosaries.
no	X and Y	looking	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 Good-	looking and active	 in the local football club, he was highly popular among the boys and girls of Medjugorje.
no	X and Y	public	hostile	private - public	(\bpublic) and (?!private)(\b\w+)	 First of all, why was the rivalry between the two types of religious elites so 	public and hostile	?
no	X and Y	small	powerless	large - small	(\bsmall) and (?!large)(\b\w+)	 Unlike the Tamils, the Veddas are now a very 	small and powerless	 minority who pose no imaginable threat to the Sinhalese nation.
no	X and Y	new	crucial	new - old	(\bnew) and (?!old)(\b\w+)	 Thus two 	new and crucial	 terrains, popular culture and native heritage, received considerable government attention from 1979 to 1984, as the Ecuadorean state attempted a hegemonic recoding of Indian traditions by giving them a national articulation (cf.
yes	X or Y	alive	dead	alive - dead	(alive) or (dead)	 Through Nampas, 	alive or dead	, the cargo cult messages of John Frum are mediated benefits to the people of Tanna.
no	X and Y	separate	new	new - old	(?!old)(\b\w+) and (\bnew)	 Lund already had a " full plate " and did not have any prior experience of initiating a 	separate and new	 business within the company.
no	X and Y	full	happy	happy - sad	(?!sad)(\b\w+) and (\bhappy)	 By analogy with the ways that banana beer use makes one feel 	full and happy	, banana beer offered to the ancestors or the king integrates the transcendent domain into the total social sphere making it whole.
yes	X and Y	wet	dry	dry - wet	(wet) and (dry)	 Yet even in the former districts availability of 	wet and dry	 season grazing could be so different for different groups that crude density numbers would have to weighted.
no	X and Y	long	arduous	long - short	(\blong) and (?!short)(\b\w+)	 My knowledge and personal experience of the 	long and arduous	 quest to avoid vengeance killing and further violence have made my reflections @ @ @ @ @ @ @ @ @ @ this report.
yes	X and Y	high	low	high - low	(high) and (low)	 The presence of @ @ @ @ @ @ @ @ @ @ figure expected if 	high and low	 traffic posts were allocated to migrants and life-residents by chance.
no	X and Y	active	ambitious	active - passive	(\bactive) and (?!passive)(\b\w+)	 He was certainly 	active and ambitious	, and in the 1940s, while he was still in his early thirties, convinced the kiaps to dismiss Arime, the Naregu luluai, for disobedience, and appoint him luluai.
no	X and Y	new	creative	new - old	(\bnew) and (?!old)(\b\w+)	 Sometimes our research efforts seem @ @ @ @ @ @ @ @ @ @ develop 	new and creative	 research problems; or, our designs/methodologies have so many weaknesses that outcomes are trivial.
yes	both X and Y	male	female	female - male	both (male) and (female)	 High school sports, which previously had only male teams, now afforded playing opportunities for 	both male and female	 squads.
yes	both X and Y	male	female	female - male	both (male) and (female)	 This data indicated that " value orientation toward coaching " cited by Hart, Hasbrook, and Mathes (1986) affected 	both male and female	 coaches.
yes	neither X nor Y	male	female	female - male	neither (male) nor (female)	 Ethics would dictate negative practices should be tolerated in 	neither male nor female	 sport domains, but reality is some practices are tolerated.
no	X and Y	active	fit	active - passive	(\bactive) and (?!passive)(\b\w+)	 Sometimes, one's focus becomes too narrow; those who work with 	active and fit	 populations need to be reminded of the need to educate the general population as to the benefits of activity.
no	X and Y	private	commercial	private - public	(\bprivate) and (?!public)(\b\w+)	 Programs conducted at community-owned and operated recreational facilities, as well as 	private and commercial	 clubs, provide numerous opportunities to supplement in-class learning.
yes	X and Y	male	female	female - male	(male) and (female)	 Participants included male and female college students, male and female adults, and 	male and female	 hemiplegics.
yes	X and Y	male	female	female - male	(male) and (female)	 Participants included male and female college students, male and female adults, elderly male and female adults, 	male and female	 adults with psychiatric disorders, female children, and male adults with myocardial infarction.
yes	X and Y	happy	sad	happy - sad	(happy) and (sad)	 Kavanagh and Hausfeld (1986) evaluated the effects of 	happy and sad	 moods on self-efficacy and performance.
yes	both X and Y	male	female	female - male	both (male) and (female)	 In general, the majority of 	both male and female	 athletes perceive moderate to strong parental pressure both to compete in and not to withdraw from the sport.
yes	both X and Y	male	female	female - male	both (male) and (female)	 Greendorfer and Lewko (1978) found that parents have more influence than siblings and that the lathers in particular have more influence on the sport participation of 	both male and female	 children.
no	more X than Y	active	female	female - male	more (?!male)(\b\w+) than (\bfemale)	 For example, male athletes were encouraged by their parents to be 	more active than female	 athletes who were encouraged to be more sedentary.
yes	both X and Y	male	female	female - male	both (male) and (female)	 " It appears, then, that 	both male and female	 athletes perceive considerable pressure to continue ski racing.
yes	both X and Y	female	male	female - male	both (female) and (male)	 They attribute their findings to the likelihood of 	both female and male	 coaches having similar physical education programs and experiences.
