sent_id	class	pattern	X_found	Y_found	pair	query	context_pre	costr	context_post	text
30492	no	X and Y	informed	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 Nevertheless, when he assumed the Presidency in 1901, he became the first Chief Executive to play an 	informed and active	 role in the conservation movement.	 Nevertheless, when he assumed the Presidency in 1901, he became the first Chief Executive to play an  informed and active  role in the conservation movement.
3153	no	X and Y	intelligent	active	active - passive	(?!passive)(\b\w+) and (\bactive)	" "" The intellectual potential of the nation is being washed away, as the most mobile, "	intelligent and active	 are leaving.	" "" The intellectual potential of the nation is being washed away, as the most mobile,  intelligent and active  are leaving."
13895	no	X and Y	passive	regurgitative	active - passive	(\bpassive) and (?!active)(\b\w+)	 Education has become too 	passive and regurgitative	.	 Education has become too  passive and regurgitative .
19546	no	X and Y	active	fun	active - passive	(\bactive) and (?!passive)(\b\w+)	 I also met with some pro-	active and fun	 interns who happened to party as hard as they worked.	 I also met with some pro- active and fun  interns who happened to party as hard as they worked.
24520	no	X and Y	speaking	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 Instead, the two relate to each other in such a way that allows for the creation of two 	speaking and active	 agents who are disengaged, however momentarily, from the practicalities and constraints of everyday life.	 Instead, the two relate to each other in such a way that allows for the creation of two  speaking and active  agents who are disengaged, however momentarily, from the practicalities and constraints of everyday life.
51902	no	X and Y	present	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 ensiter is 	present and active	 during daylight as well as darkness, often occurring in swarms, with more than 150 individuals visible in a single frame.	 ensiter is  present and active  during daylight as well as darkness, often occurring in swarms, with more than 150 individuals visible in a single frame.
31877	no	X and Y	active	retired	active - passive	(\bactive) and (?!passive)(\b\w+)	 One of the most treasured was fully paid health coverage for 	active and retired	 workers, considered one of Mr.	 One of the most treasured was fully paid health coverage for  active and retired  workers, considered one of Mr.
13234	no	X and Y	literate	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 Democracies need a free press, 	literate and active	 population, rule of law, a constitution, checks and balances, and even a functioning economy to help them remain stable.	 Democracies need a free press,  literate and active  population, rule of law, a constitution, checks and balances, and even a functioning economy to help them remain stable.
22797	no	X and Y	buff	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 If you're 	buff and active	, your body will use them fast, but if you're a couch potato, the triglycerides will go right to your hips, Bennett says.	 If you're  buff and active , your body will use them fast, but if you're a couch potato, the triglycerides will go right to your hips, Bennett says.
47686	no	X and Y	active	athletic	active - passive	(\bactive) and (?!passive)(\b\w+)	 Unlike Egyptian figures, which were meant to express an unchanging eternal, this @ @ @ @ @ @ @ @ @ @ harmonious of face and body, and above all 	active and athletic	.	 Unlike Egyptian figures, which were meant to express an unchanging eternal, this @ @ @ @ @ @ @ @ @ @ harmonious of face and body, and above all  active and athletic .
16546	no	X and Y	passive	aggressive	active - passive	(\bpassive) and (?!active)(\b\w+)	 He alternately assumes the 	passive and aggressive	" role with El Cardenal, turning on "" feminine "" charm when it appears to render him a better result."	" He alternately assumes the  passive and aggressive  role with El Cardenal, turning on "" feminine "" charm when it appears to render him a better result."
39259	no	X and Y	active	complete	active - passive	(\bactive) and (?!passive)(\b\w+)	 The credit reporting industry would have to sell its services to the public-presumably by promising more accurate, open reporting practices and by calling attention to the benefits of having an 	active and complete	 credit record.	 The credit reporting industry would have to sell its services to the public-presumably by promising more accurate, open reporting practices and by calling attention to the benefits of having an  active and complete  credit record.
12454	no	X and Y	active	positive	active - passive	(\bactive) and (?!passive)(\b\w+)	 China's Environmental Issues in an International Context In order to enhance its prestige in the international community, it is crucial that China pursue an 	active and positive	 role in promoting environmental protection.	 China's Environmental Issues in an International Context In order to enhance its prestige in the international community, it is crucial that China pursue an  active and positive  role in promoting environmental protection.
23686	no	X and Y	innovative	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 In other areas, notably Yellowstone and Prince William Sound, there are 	innovative and active	 programs being developed to move toward more integrated and cooperative management of the whole ecosystem.	 In other areas, notably Yellowstone and Prince William Sound, there are  innovative and active  programs being developed to move toward more integrated and cooperative management of the whole ecosystem.
49455	no	X and Y	active	deep	active - passive	(\bactive) and (?!passive)(\b\w+)	 When exhausted, kids actually sleep less well -- their 	active and deep	 sleep cycles are disturbed, with their body always trying to play catch - up.	 When exhausted, kids actually sleep less well -- their  active and deep  sleep cycles are disturbed, with their body always trying to play catch - up.
23460	no	X and Y	active	comfortable	active - passive	(\bactive) and (?!passive)(\b\w+)	 In fact, technology will allow us to look forward to 	active and comfortable	 retirements well into our 80s.	 In fact, technology will allow us to look forward to  active and comfortable  retirements well into our 80s.
47629	no	X and Y	active	creative	active - passive	(\bactive) and (?!passive)(\b\w+)	 Unfortunately many community colleges do not take such an 	active and creative	 approach to developing funding, and there are few examples of institution-based aid programs in operation today.	 Unfortunately many community colleges do not take such an  active and creative  approach to developing funding, and there are few examples of institution-based aid programs in operation today.
36132	no	X and Y	active	productive	active - passive	(\bactive) and (?!passive)(\b\w+)	 Some women have become 	active and productive	 traders, some sell only small amounts, and others only purchase goods from other traders without actually producing goods for trade.	 Some women have become  active and productive  traders, some sell only small amounts, and others only purchase goods from other traders without actually producing goods for trade.
8970	no	X and Y	active	effective	active - passive	(\bactive) and (?!passive)(\b\w+)	 As a result, the teachers are more likely themselves to become 	active and effective	 leaders within the education community.	 As a result, the teachers are more likely themselves to become  active and effective  leaders within the education community.
24198	no	X and Y	active	recent	active - passive	(\bactive) and (?!passive)(\b\w+)	 In this image from the Galileo spacecraft, the dark areas represent the areas of 	active and recent	 volcanism.	 In this image from the Galileo spacecraft, the dark areas represent the areas of  active and recent  volcanism.
42564	no	X and Y	dynamic	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 The two-year colleges of this country and the thousands of student-athletes attending those institutions have greatly benefitted from a 	dynamic and active	 organization, whose only purpose has been to serve and enhance its constituency.	 The two-year colleges of this country and the thousands of student-athletes attending those institutions have greatly benefitted from a  dynamic and active  organization, whose only purpose has been to serve and enhance its constituency.
4748	no	X and Y	active	restless	active - passive	(\bactive) and (?!passive)(\b\w+)	 12-24 hours before whelping occurs, the mother loses her appetite, becomes more 	active and restless	, and may dig in the garden or in the house.	 12-24 hours before whelping occurs, the mother loses her appetite, becomes more  active and restless , and may dig in the garden or in the house.
4611	no	X and Y	healthy	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 // IN 1997 we produced a thirty-page report on all the ways women can stay 	healthy and active	 throughout their lives.	 // IN 1997 we produced a thirty-page report on all the ways women can stay  healthy and active  throughout their lives.
45908	no	X and Y	active	reflective	active - passive	(\bactive) and (?!passive)(\b\w+)	 This is no passive withdrawal but an 	active and reflective	 cyclical process engaged in until the visual work, as well as the healing work, is completed.	 This is no passive withdrawal but an  active and reflective  cyclical process engaged in until the visual work, as well as the healing work, is completed.
9102	no	X and Y	active	engaged	active - passive	(\bactive) and (?!passive)(\b\w+)	 As long as health permits, Sue and I plan to be 	active and engaged	 philanthropists.	 As long as health permits, Sue and I plan to be  active and engaged  philanthropists.
2411	no	X and Y	exuberant	active	active - passive	(?!passive)(\b\w+) and (\bactive)	" "" Lass appeared to be an "	exuberant and active	 dog: as soon as she entered the exam room she began to literally bounce off the walls.	" "" Lass appeared to be an  exuberant and active  dog: as soon as she entered the exam room she began to literally bounce off the walls."
7448	no	X and Y	attractive	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 An 	attractive and active	 bachelor, the Colonel never married.	 An  attractive and active  bachelor, the Colonel never married.
13694	no	X and Y	active	visible	active - passive	(\bactive) and (?!passive)(\b\w+)	 Due to today's greater accessibility, they're an 	active and visible	 part of society.	 Due to today's greater accessibility, they're an  active and visible  part of society.
38123	no	X and Y	active	inappropriate	active - passive	(\bactive) and (?!passive)(\b\w+)	" The Internet Society, which represents the engineers around the world who keep the Internet functioning, says this proposal "" would require member states to take on a very "	active and inappropriate	" role in patrolling "" the Internet."	" The Internet Society, which represents the engineers around the world who keep the Internet functioning, says this proposal "" would require member states to take on a very  active and inappropriate  role in patrolling "" the Internet."
15776	no	X and Y	active	capable	active - passive	(\bactive) and (?!passive)(\b\w+)	 From my mid-life vantage point, I see my mother as remarkably 	active and capable	.	 From my mid-life vantage point, I see my mother as remarkably  active and capable .
33334	no	X and Y	interested	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 Professor May was a zoologist, and appears now to be mainly 	interested and active	 in the politics of science.	 Professor May was a zoologist, and appears now to be mainly  interested and active  in the politics of science.
13907	no	X and Y	active	protective	active - passive	(\bactive) and (?!passive)(\b\w+)	 Efforts have been made to isolate and purify the 	active and protective	 components of mushrooms.	 Efforts have been made to isolate and purify the  active and protective  components of mushrooms.
28938	no	X and Y	active	critical	active - passive	(\bactive) and (?!passive)(\b\w+)	 Maintaining responsibility at more local levels will require that the technology educator play an 	active and critical	 role in all phases of development, delivery, and assessment.	 Maintaining responsibility at more local levels will require that the technology educator play an  active and critical  role in all phases of development, delivery, and assessment.
4779	no	X and Y	personal	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 162 The contents of these cognitional activities are the 	personal and active	 products of the individual.	 162 The contents of these cognitional activities are the  personal and active  products of the individual.
46475	no	X and Y	interested	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 This will depend on the number of Chinese collectors 	interested and active	 in these fields in London, New York and Paris.	 This will depend on the number of Chinese collectors  interested and active  in these fields in London, New York and Paris.
36233	no	X and Y	active	cooperative	active - passive	(\bactive) and (?!passive)(\b\w+)	 Sometimes instructors who are effective lecturers get lower student ratings when they start using 	active and cooperative	 learning methods.	 Sometimes instructors who are effective lecturers get lower student ratings when they start using  active and cooperative  learning methods.
36809	no	X and Y	off	passive	active - passive	(?!active)(\b\w+) and (\bpassive)	 Sulky also comes in two modes, ticked-	off and passive	.	 Sulky also comes in two modes, ticked- off and passive .
44682	no	X and Y	passive	irresponsible	active - passive	(\bpassive) and (?!active)(\b\w+)	 They drew on this narrative to defend voluntary testing and to challenge the suggestion that HIV-positive women were being 	passive and irresponsible	.	 They drew on this narrative to defend voluntary testing and to challenge the suggestion that HIV-positive women were being  passive and irresponsible .
23190	no	X and Y	active	responsible	active - passive	(\bactive) and (?!passive)(\b\w+)	 In addition, Vatican II determined that the church's subjectivity is realized as a communio of subjects, all of whom, according to their calling and appointment, play an 	active and responsible	 part.	 In addition, Vatican II determined that the church's subjectivity is realized as a communio of subjects, all of whom, according to their calling and appointment, play an  active and responsible  part.
33890	no	X and Y	active	savvy	active - passive	(\bactive) and (?!passive)(\b\w+)	 Richard Lugar's wife, Charlene, are the most 	active and savvy	 political wives on the campaign trail, maintaining their own speaking schedules.	 Richard Lugar's wife, Charlene, are the most  active and savvy  political wives on the campaign trail, maintaining their own speaking schedules.
53145	no	X and Y	young	active	active - passive	(?!passive)(\b\w+) and (\bactive)	") "" Loulou was "	young and active	.	") "" Loulou was  young and active ."
30262	no	X and Y	passive	weak	active - passive	(\bpassive) and (?!active)(\b\w+)	 My only cristicism is that if you are a male, and you have those problems of being too 	passive and weak	" and "" nice "", you need more than this book."	" My only cristicism is that if you are a male, and you have those problems of being too  passive and weak  and "" nice "", you need more than this book."
38646	no	X and Y	passive	dependent	active - passive	(\bpassive) and (?!active)(\b\w+)	 The association of lower levels of traditional feminine behavior being associated with more sexual activity may also be a reflection of being less 	passive and dependent	 and more direct in sexual requests.	 The association of lower levels of traditional feminine behavior being associated with more sexual activity may also be a reflection of being less  passive and dependent  and more direct in sexual requests.
52974	no	X and Y	adequate	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 with any State which establishes and maintains an 	adequate and active	 program for the conservation of endangered species and threatened species.	 with any State which establishes and maintains an  adequate and active  program for the conservation of endangered species and threatened species.
51922	no	X and Y	positive	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 failing as it does to accord sorrow, pain, and death any 	positive and active	 attention whatever, is formally less complete than systems that try at least to include these elements in their scope.	 failing as it does to accord sorrow, pain, and death any  positive and active  attention whatever, is formally less complete than systems that try at least to include these elements in their scope.
54133	no	X and Y	open	active	active - passive	(?!passive)(\b\w+) and (\bactive)	com account was 	open and active	; but, despite having the same background as Bianca, I received no phone calls.	com account was  open and active ; but, despite having the same background as Bianca, I received no phone calls.
37301	no	X and Y	strong	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 That is because unions are 	strong and active	 - they regularly bring the whole of France to a halt.	 That is because unions are  strong and active  - they regularly bring the whole of France to a halt.
26048	no	X and Y	active	powerful	active - passive	(\bactive) and (?!passive)(\b\w+)	 It seems as much a difference of language and style as it is of substance, the culture shock caused by introducing an 	active and powerful	 leader to a world that never really wanted one.	 It seems as much a difference of language and style as it is of substance, the culture shock caused by introducing an  active and powerful  leader to a world that never really wanted one.
51422	no	X and Y	active	excited	active - passive	(\bactive) and (?!passive)(\b\w+)	 You've created A+, and it's already, even when it's still settling into its place, a fantastic and much needed thing that is making some people, me included, finally feel welcome and 	active and excited	.	 You've created A+, and it's already, even when it's still settling into its place, a fantastic and much needed thing that is making some people, me included, finally feel welcome and  active and excited .
17538	no	X and Y	active	insistent	active - passive	(\bactive) and (?!passive)(\b\w+)	 He was amazed that the most 	active and insistent	 member of the board, who supported making the investment and taking the risk, was a member of the Deutsche Bank.	 He was amazed that the most  active and insistent  member of the board, who supported making the investment and taking the risk, was a member of the Deutsche Bank.
34975	no	X and Y	numb	passive	active - passive	(?!active)(\b\w+) and (\bpassive)	 She was 	numb and passive	, sad and irritable.	 She was  numb and passive , sad and irritable.
45591	no	X and Y	active	inventive	active - passive	(\bactive) and (?!passive)(\b\w+)	 This difference may not only reflect differences in the media but also the quarter-century that separates them in time, a period in which camera work in all the relevant media became notably more 	active and inventive	.	 This difference may not only reflect differences in the media but also the quarter-century that separates them in time, a period in which camera work in all the relevant media became notably more  active and inventive .
5937	no	X and Y	active	healthy	active - passive	(\bactive) and (?!passive)(\b\w+)	" A number of statistics are frequently cited: "" More than 700 million people world-wide do not get enough food for an "	active and healthy	 life.	" A number of statistics are frequently cited: "" More than 700 million people world-wide do not get enough food for an  active and healthy  life."
25449	no	X and Y	active	productive	active - passive	(\bactive) and (?!passive)(\b\w+)	 It is another 	active and productive	 chapter, servicing the entire State of Oregon, plus these counties in Washington State: Clark, Cowlitz, Klickitat and Skamania.	 It is another  active and productive  chapter, servicing the entire State of Oregon, plus these counties in Washington State: Clark, Cowlitz, Klickitat and Skamania.
3660	no	X and Y	active	engaged	active - passive	(\bactive) and (?!passive)(\b\w+)	" "" We know him well as the leader of one of the most "	active and engaged	 Corporate Members of our Society, and know that he brings vision as well as valuable experience to the position.	" "" We know him well as the leader of one of the most  active and engaged  Corporate Members of our Society, and know that he brings vision as well as valuable experience to the position."
6612	no	X and Y	active	confident	active - passive	(\bactive) and (?!passive)(\b\w+)	 After four months, they were more 	active and confident	, with fewer limps and hobbles, says study author Kristin Baker, a researcher at Tufts University in Boston.	 After four months, they were more  active and confident , with fewer limps and hobbles, says study author Kristin Baker, a researcher at Tufts University in Boston.
51524	no	X and Y	curious	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 Your son's shin bruises may simply mean he's 	curious and active	, both of which are very good.	 Your son's shin bruises may simply mean he's  curious and active , both of which are very good.
44651	no	X and Y	healthy	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 They did make it, he is a very 	healthy and active	 15 year old and she even went on to have another perfect pregnancy that resulted in another perfect boy who is now 14 years old!	 They did make it, he is a very  healthy and active  15 year old and she even went on to have another perfect pregnancy that resulted in another perfect boy who is now 14 years old!
33564	no	X and Y	active	important	active - passive	(\bactive) and (?!passive)(\b\w+)	 Rather, readers are 	active and important	 participants in the meaning-making process.	 Rather, readers are  active and important  participants in the meaning-making process.
40885	no	X and Y	active	independent	active - passive	(\bactive) and (?!passive)(\b\w+)	 The national labor, youth, and women's organizations, not to mention the several nominal political parties, may well be encouraged to take a more 	active and independent	 tack.	 The national labor, youth, and women's organizations, not to mention the several nominal political parties, may well be encouraged to take a more  active and independent  tack.
54002	no	X and Y	honest	active	active - passive	(?!passive)(\b\w+) and (\bactive)	As nation we are looking forward to any 	honest and active	 politician in the state of Pakistan.	As nation we are looking forward to any  honest and active  politician in the state of Pakistan.
2761	no	X and Y	active	open	active - passive	(\bactive) and (?!passive)(\b\w+)	" "" Rock-and-roll services What is important is an "	active and open	 expression of faith through a dramatic service that features a rock band and singing.	" "" Rock-and-roll services What is important is an  active and open  expression of faith through a dramatic service that features a rock band and singing."
2744	no	X and Y	active	critical	active - passive	(\bactive) and (?!passive)(\b\w+)	" "" Relying on that suggestion is to view students as mere passive receptacles who are incapable of autonomous thought, rather than "	active and critical	 agents in the learning process.	" "" Relying on that suggestion is to view students as mere passive receptacles who are incapable of autonomous thought, rather than  active and critical  agents in the learning process."
54186	no	X and Y	healthy	active	active - passive	(?!passive)(\b\w+) and (\bactive)	html This Kids Health Web site tells kids what foods they should avoid, and what foods they should eat to stay 	healthy and active	.	html This Kids Health Web site tells kids what foods they should avoid, and what foods they should eat to stay  healthy and active .
33827	no	X and Y	active	engaged	active - passive	(\bactive) and (?!passive)(\b\w+)	 Responsible for choosing the nominee would be those most familiar with party goals and the complexities of the political process, campaign politics, and presidential responsibilities -- logically, 	active and engaged	 party leaders.	 Responsible for choosing the nominee would be those most familiar with party goals and the complexities of the political process, campaign politics, and presidential responsibilities -- logically,  active and engaged  party leaders.
23260	no	X and Y	active	healthy	active - passive	(\bactive) and (?!passive)(\b\w+)	 In all three cases, the longer-lived creatures are just as 	active and healthy	 throughout their lives as their ordinary counterparts.	 In all three cases, the longer-lived creatures are just as  active and healthy  throughout their lives as their ordinary counterparts.
19809	no	X and Y	active	healthy	active - passive	(\bactive) and (?!passive)(\b\w+)	 I bet you've got a family, friends and many other 	active and healthy	 relationships.	 I bet you've got a family, friends and many other  active and healthy  relationships.
20260	no	X and Y	active	athletic	active - passive	(\bactive) and (?!passive)(\b\w+)	 I found it to be rather interesting and amusing the perspective of an 	active and athletic	 teen.	 I found it to be rather interesting and amusing the perspective of an  active and athletic  teen.
31152	no	X and Y	active	free	active - passive	(\bactive) and (?!passive)(\b\w+)	 Now it's not possible to do that completely, but we really do de-emphasize those things in favor of 	active and free	 exchange of ideas.	 Now it's not possible to do that completely, but we really do de-emphasize those things in favor of  active and free  exchange of ideas.
28935	no	X and Y	current	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 Maintain 	current and active	 knowledge in the expertise area in order to bring examples and ideas to students.	 Maintain  current and active  knowledge in the expertise area in order to bring examples and ideas to students.
5267	no	X and Y	passive	stupid	active - passive	(\bpassive) and (?!active)(\b\w+)	 @ @ @ @ @ @ @ @ @ @ I'm a woman I'm too 	passive and stupid	 to do something about it?	 @ @ @ @ @ @ @ @ @ @ I'm a woman I'm too  passive and stupid  to do something about it?
5906	no	X and Y	active	confrontational	active - passive	(\bactive) and (?!passive)(\b\w+)	 A more 	active and confrontational	 style of working became more common in the practice of the clinics.	 A more  active and confrontational  style of working became more common in the practice of the clinics.
50166	no	X and Y	active	helpful	active - passive	(\bactive) and (?!passive)(\b\w+)	 While you ca n't use points to buy or redeem anything, they do allow everyone to recognize how 	active and helpful	 you've been.	 While you ca n't use points to buy or redeem anything, they do allow everyone to recognize how  active and helpful  you've been.
35937	no	X and Y	active	independent	active - passive	(\bactive) and (?!passive)(\b\w+)	 Some adults at the age of eighty have very 	active and independent	 lives, while others need assisted care.	 Some adults at the age of eighty have very  active and independent  lives, while others need assisted care.
24034	no	X and Y	infrared	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 In the long term, stopping cruise missiles will require a new generation of passive 	infrared and active	 radar detection equipment.	 In the long term, stopping cruise missiles will require a new generation of passive  infrared and active  radar detection equipment.
39712	no	X and Y	active	dynamic	active - passive	(\bactive) and (?!passive)(\b\w+)	 The fetus is not an inert being, but an 	active and dynamic	 creature, responding and adapting as it readies itself for life in the particular world it will enter.	 The fetus is not an inert being, but an  active and dynamic  creature, responding and adapting as it readies itself for life in the particular world it will enter.
25141	no	X and Y	active	variable	active - passive	(\bactive) and (?!passive)(\b\w+)	 It has changed the way I read, which I should point out is an 	active and variable	 process.	 It has changed the way I read, which I should point out is an  active and variable  process.
31645	no	X and Y	passive	unassertive	active - passive	(\bpassive) and (?!active)(\b\w+)	 On the other hand, if he continues to be 	passive and unassertive	 as a result of self-doubt, he is not dynamic enough.	 On the other hand, if he continues to be  passive and unassertive  as a result of self-doubt, he is not dynamic enough.
41681	no	X and Y	widespread	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 The rest of his book is an attempt to paint a picture alleging a 	widespread and active	 Satanic underground.	 The rest of his book is an attempt to paint a picture alleging a  widespread and active  Satanic underground.
23984	no	X and Y	aware	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 In the end, the ethical organization must be a socially and politically 	aware and active	 organization as well.	 In the end, the ethical organization must be a socially and politically  aware and active  organization as well.
21225	no	X and Y	healthy	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 I think that expecting to save $100 per month on health costs from being 	healthy and active	, compared to being sedentary and possibly in the obese category is a very conservative estimate.	 I think that expecting to save $100 per month on health costs from being  healthy and active , compared to being sedentary and possibly in the obese category is a very conservative estimate.
9887	no	X and Y	active	competing	active - passive	(\bactive) and (?!passive)(\b\w+)	 Because both of a bilingual person's language systems are always 	active and competing	, that person uses these control mechanisms every time she or he speaks or listens.	 Because both of a bilingual person's language systems are always  active and competing , that person uses these control mechanisms every time she or he speaks or listens.
42394	no	X and Y	passive	unassuming	active - passive	(\bpassive) and (?!active)(\b\w+)	 The television is still the idiot box, but a 	passive and unassuming	 one at that.	 The television is still the idiot box, but a  passive and unassuming  one at that.
22019	no	X and Y	humble	passive	active - passive	(?!active)(\b\w+) and (\bpassive)	 I've always been a very 	humble and passive	 person but this is the ONLY person I've ever met that can make me this angry.	 I've always been a very  humble and passive  person but this is the ONLY person I've ever met that can make me this angry.
17696	no	X and Y	active	athletic	active - passive	(\bactive) and (?!passive)(\b\w+)	 He'd gone from being my very 	active and athletic	 dad to being a man who had problems thinking, and he spent all of his time lying in our living room because he could n't walk.	 He'd gone from being my very  active and athletic  dad to being a man who had problems thinking, and he spent all of his time lying in our living room because he could n't walk.
42989	no	X and Y	active	healthy	active - passive	(\bactive) and (?!passive)(\b\w+)	 Their girls are now 9 and 	active and healthy	.	 Their girls are now 9 and  active and healthy .
51119	no	X and Y	active	playful	active - passive	(\bactive) and (?!passive)(\b\w+)	 You encouraged children's 	active and playful	 hands.	 You encouraged children's  active and playful  hands.
986	no	X and Y	open	active	active - passive	(?!passive)(\b\w+) and (\bactive)	" "" Also, many "	open and active	 atheists have developed thick skins because of insults they have endured from theocrats.	" "" Also, many  open and active  atheists have developed thick skins because of insults they have endured from theocrats."
3972	no	X and Y	healthy	active	active - passive	(?!passive)(\b\w+) and (\bactive)	" "" promoting health and wellness with activities that encourage children to lead "	healthy and active	 lives and follow the First Lady's'Let's Move!	" "" promoting health and wellness with activities that encourage children to lead  healthy and active  lives and follow the First Lady's'Let's Move!"
51164	no	X and Y	active	precise	active - passive	(\bactive) and (?!passive)(\b\w+)	 You have to be all 	active and precise	 while making a decision for your future business plan.	 You have to be all  active and precise  while making a decision for your future business plan.
34462	no	X and Y	squirmy	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 She also finds that it helps to teach @ @ @ @ @ @ @ @ @ @ once the baby becomes more 	squirmy and active	.	 She also finds that it helps to teach @ @ @ @ @ @ @ @ @ @ once the baby becomes more  squirmy and active .
17690	no	X and Y	active	dangerous	active - passive	(\bactive) and (?!passive)(\b\w+)	 He'd acquired jowls and put on about thirty pounds since Delehanty had last seen him, but he still looked 	active and dangerous	.	 He'd acquired jowls and put on about thirty pounds since Delehanty had last seen him, but he still looked  active and dangerous .
