class	pattern	X_found	Y_found	pair	query	context_pre	costr	context_post
no	X, not Y	old	young	new - old	(\bold), not (?!new)(\b\w+)	 This woman is 	old, not young	; her family does not coerce her, but is itself torn between her resolve and official orders to prevent the suttee; Sleeman becomes flustered and frustrated, but not indignant.
no	X and Y	good	proper	bad - good	(\bgood) and (?!bad)(\b\w+)	 But if you are planning on writing and they have n't fucked you up, well you've got nothing to go on, so then they've fucked you up 	good and proper	.
no	X and Y	wounded	dead	alive - dead	(?!alive)(\b\w+) and (\bdead)	 A trove of Pergamene-influenced statues, depicting various 	wounded and dead	 warriors, was unearthed in September of 1514.
no	X and Y	nice	easy	difficult - easy	(?!difficult)(\b\w+) and (\beasy)	 She has finished her margarita and the words come 	nice and easy	 now.
no	X and Y	large	clearest	large - small	(\blarge) and (?!small)(\b\w+)	 Burk was held by the look of her eyes: 	large and clearest	 blue.
no	X and Y	absurd	easy	difficult - easy	(?!difficult)(\b\w+) and (\beasy)	 He did not find the sentiments of William Cory 	absurd and easy	 to expose, as he found those of John Buchan to be.
yes	X or Y	true	false	false - true	(true) or (false)	 This is not the same as saying that they are all equally 	true or false	.
no	X and Y	energetic	difficult	difficult - easy	(?!easy)(\b\w+) and (\bdifficult)	 All great art, in Poirier's early formulation, can be understood as 	energetic and difficult	 resistance to constraints, forever unfinished incitements to further performance.
no	X and Y	young	old	new - old	(?!new)(\b\w+) and (\bold)	 > living and dead and the waking and the sleeping and 	young and old	.
no	X and Y	rational	good	bad - good	(?!bad)(\b\w+) and (\bgood)	 36, 77) and at its most 	rational and good	 when dry (fr.
no	X and Y	sure	true	false - true	(?!false)(\b\w+) and (\btrue)	 @ @ @ @ @ @ @ @ @ @ world of sense, discourse on its part invariably involving " judgments and beliefs that are 	sure and true	 " (3768).
no	X or Y	low	monstrous	high - low	(\blow) or (?!high)(\b\w+)	 Only fish and sea-monsters can live in it, and they are 	low or monstrous	 forms of life.
yes	between X and Y	true	false	false - true	between (true) and (false)	 108, we have a contrast between Heraclitus himself who can distinguish 	between true and false	 logoi and the stupid person who enthusiastically accepts them all without discrimination.
no	neither X nor Y	easy	unimportant	difficult - easy	neither (\beasy) nor (?!difficult)(\b\w+)	 Right thinking can lead to a grasping of the logos, but the task is 	neither easy nor unimportant	.
yes	X and Y	hot	cold	cold - hot	(hot) and (cold)	 Is his point about sameness and difference, 	hot and cold	, etc.
no	X and Y	pleasant	good	bad - good	(?!bad)(\b\w+) and (\bgood)	 In each case the first has a negative valuation and the second @ @ @ @ @ @ @ @ @ @ each case the second term is called 	pleasant and good	.
no	X and Y	hot	fiery	cold - hot	(\bhot) and (?!cold)(\b\w+)	 They are to be blamed because in them the wrong opposite is ascendent; what is watery and moist sates its desire by consuming what is 	hot and fiery	 in the soul.
no	both X and Y	godlike	good	bad - good	both (?!bad)(\b\w+) and (\bgood)	 This of course runs counter to Heraclitus'account, according to which fire itself is 	both godlike and good	.
no	X and Y	hard	slippery	hard - soft	(\bhard) and (?!soft)(\b\w+)	 " -- And this perfectly expresses the feeling we had when we were thinking about the problems of logic; that is to say, their immense difficulty, their 	hard and slippery	 nature.
yes	between X and Y	true	false	false - true	between (true) and (false)	 No: it is the inherited background against which I distinguish 	between true and false	.
no	X or Y	new	modified	new - old	(\bnew) or (?!old)(\b\w+)	 A detailed defense of 	new or modified	 intepretations of the witness sayings of Heraclitus, as warranted by the neglected legal evidence, must await another occasion; it will not be found here.
yes	X and Y	low	high	high - low	(low) and (high)	's (1984; 1986) descriptions of 	low and high	 self-monitors'relationship orientations appear similar to stereotypical conceptions of feminine and masculine approaches to intimacy, respectively.
yes	X and Y	feminine	masculine	feminine - masculine	(feminine) and (masculine)	's (1984; 1986) descriptions of low and high self-monitors'relationship orientations appear similar to stereotypical conceptions of 	feminine and masculine	 approaches to intimacy, respectively.
yes	either X or Y	masculine	feminine	feminine - masculine	either (masculine) or (feminine)	29% of respondents could be correctly classified as 	either masculine or feminine	 based on their scores on variables defining the discriminant function.
yes	X and Y	low	high	high - low	(low) and (high)	 While it appears that 	low and high	 self-monitors may differ in achieved levels of intimacy, do they differ in their capacity for intimacy?
yes	either X or Y	happy	sad	happy - sad	either (happy) or (sad)	 Subjects were told to re-live a previous affective experience (either happy or sad	), which was immediately followed by learning or recall of lists of affective words.
no	X or Y	dyed	female	female - male	(?!male)(\b\w+) or (\bfemale)	 Forty-six pairs of subjects were run in a 2 (favorable or unfavorable impression) x 2 (male 	dyed or female	 dyed) factorial design.
no	X and Y	bad	depressing	bad - good	(\bbad) and (?!good)(\b\w+)	 It was suggested that the subject might do this by trying to imagine him or herself on a particularly good and successful (especially 	bad and depressing	) day.
no	X and Y	good	successful	bad - good	(\bgood) and (?!bad)(\b\w+)	 It was suggested that the subject might do this by trying to imagine him or herself on a particularly 	good and successful	 (especially bad and depressing) day.
no	X and Y	lovely	rich	poor - rich	(?!poor)(\b\w+) and (\brich)	 The interesting thing is that that experience, although 	lovely and rich	, was so disconnected from life in a modern, technocratic society that I soon forgot all about it.
no	X and Y	present	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 Steiner's whole position was oriented around the belief that a divine reality is 	present and active	 in our experience and, in fact, in every aspect of the universe, making it teleological through and through.
no	X and Y	rich	nourishing	poor - rich	(\brich) and (?!poor)(\b\w+)	 It suggests the importance of a socially, an aesthetically, and a morally 	rich and nourishing	 " field of experience.
no	X and Y	rich	detailed	poor - rich	(\brich) and (?!poor)(\b\w+)	 That he did do so enabled him to underscore the primacy of experience, and to give a 	rich and detailed	 account of it.
yes	X or Y	true	false	false - true	(true) or (false)	 Whether it is 	true or false	, we have here a teleological situation which brings the thought of the moment into contact with a type of consciousness which is not the merely human type.
no	X and Y	cunning	high	high - low	(?!low)(\b\w+) and (\bhigh)	 " The wisest thing -- so the fairy tale taught mankind in olden times, and teaches children to this day -- is to meet the forces of the mythical world with 	cunning and high	 spirits.
no	X and Y	difficult	dangerous	difficult - easy	(\bdifficult) and (?!easy)(\b\w+)	 They sought it in the Hebrew language (especially at the beginning, it was 	difficult and dangerous	 to get instruction).
no	X and Y	good	beautiful	bad - good	(\bgood) and (?!bad)(\b\w+)	 Everything that is 	good and beautiful	 from various cultures will be purified from all evil and preserved in the New Jerusalem (see Rev.
yes	X and Y	public	private	private - public	(public) and (private)	 While the Court has not precisely defined public and private figures and 	public and private	 speech, it has applied these standards to the four factors set out above.
no	X and Y	great	small	large - small	(?!large)(\b\w+) and (\bsmall)	 Oni, as the Communist power holders, 	great and small	 @ @ @ @ @ @ @ @ @ @ the people had chanted, " We are not like them.
no	X or Y	weak	bad	bad - good	(?!good)(\b\w+) or (\bbad)	 The plaintiffs'tactic was to show that creation-science is less than 	weak or bad	 science.
no	X and Y	private	parochial	private - public	(\bprivate) and (?!public)(\b\w+)	 Allen (1983) in which the Supreme Court ruled constitutional a Minnesota law allowing parents to deduct 	private and parochial	 school tuition from their state income tax.
no	X and Y	religious	public	private - public	(?!private)(\b\w+) and (\bpublic)	 Circuit Court of Appeals held in May 1991 that the " off the top " allocation scheme is constitutional even if it results in a disparity between the funding of 	religious and public	 schools.
no	X and Y	hard	fast	hard - soft	(\bhard) and (?!soft)(\b\w+)	 25 The Court there announced its unwillingness to be bound by any 	hard and fast	 guidelines; rather, the line between the permissible and the prohibited would depend upon all of the circumstances.
no	X and Y	right	proper	right - wrong	(\bright) and (?!wrong)(\b\w+)	 He or she will thus, other things equal, tend to perceive the existing order to be 	right and proper	 and perhaps carry a sanction of natural law about it.
no	X and Y	right	proper	right - wrong	(\bright) and (?!wrong)(\b\w+)	 The Lynch opinion is a perfect example of conditioning which perceives the established (Christian religious) order as 	right and proper	 and thus a religious symbol which closely resembles established practices as also proper.
no	X and Y	good	beautiful	bad - good	(\bgood) and (?!bad)(\b\w+)	 once again then we are confronted with mystery, the ultimate horizon of purpose and value, the supremely 	good and beautiful	.
no	X and Y	useful	happy	happy - sad	(?!sad)(\b\w+) and (\bhappy)	 Philosophy reasons that some purposes are only intermediate and point to goals beyond themselves, as when a person wills to get an education so as to lead a 	useful and happy	 life.
no	X and Y	alive	well	alive - dead	(\balive) and (?!dead)(\b\w+)	 56 Laudan's network model is 	alive and well	 in the psychology of religion.
no	X and Y	private	inward	private - public	(\bprivate) and (?!public)(\b\w+)	 " 76 This echoes Lindbeck's assertion that the 	private and inward	 religion of liberal " experimental expressivism " fosters an which leads to relativism.
no	X or Y	private	prereflective	private - public	(\bprivate) or (?!public)(\b\w+)	 Both claim that Lindbeck has drawn a caricature of liberalism83 according to which doctrines are only public thematizations of 	private or prereflective	 experience (Batson's " quest " orientation) and not " accounts of a particular community's faith.
yes	either X or Y	true	false	false - true	either (true) or (false)	 " 89 For Lindbeck doctrines need @ @ @ @ @ @ @ @ @ @ affirm nothing 	either true or false	 regarding the world in which language is used.
no	X and Y	long	pervasive	long - short	(\blong) and (?!short)(\b\w+)	 This 	long and pervasive	 tradition is the context for the works we consider in this section, all of which, interestingly, are rooted in the Roman Catholic tradition.
no	X and Y	free	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 For women, the sacrificial love of Jesus on the cross requires reinterpretation in which Jesus'act is clearly seen as a 	free and active	 choice in the face of an evil that has been resisted.
no	X and Y	integral	true	false - true	(?!false)(\b\w+) and (\btrue)	 Each of the two full and distinct, 	integral and true	 natures united hypostatically in the person of the Word possesses a principle of operation distinct from the other.
no	X and Y	older	rural	rural - urban	(?!urban)(\b\w+) and (\brural)	 Although they admittedly have little or no experience in public office, FIDESZ leaders have been steadily building their following not only among their natural youthful, urban constituents but also, surprisingly, among the 	older and rural	 people.
yes	both X and Y	old	new	new - old	both (old) and (new)	 The list below is far from comprehensive and represents a sampling of 	both old and new	 items that are available to classroom teachers, interested in the Bill of Rights.
no	X and Y	alive	memorable	alive - dead	(\balive) and (?!dead)(\b\w+)	 Caught up in another time and place, readers unwittingly become @ @ @ @ @ @ @ @ @ @ so 	alive and memorable	.
yes	between X and Y	hard	soft	hard - soft	between (hard) and (soft)	 Lovins (1977) described it as a choice 	between hard and soft	 energy paths.
yes	X and Y	new	old	new - old	(new) and (old)	 For example, Morris Lawing, one of the suppliers noted at the end of the article, will provide a packet of fifty banknotes (a mixture of 	new and old	) for under seventeen dollars.
yes	both X and Y	public	private	private - public	both (public) and (private)	 This was equally true in 	both public and private	 schools.
no	X and Y	active	participative	active - passive	(\bactive) and (?!passive)(\b\w+)	 It is an 	active and participative	 mode of learning; it develops the skills and attitudes associated with lifelong learning; and it is social, so students, especially adolescents, enjoy it.
no	X and Y	diverse	rich	poor - rich	(?!poor)(\b\w+) and (\brich)	 This information is 	diverse and rich	 in meaning, but it is intended only as a starter.
yes	X rather than Y	active	passive	active - passive	(active) rather than (passive)	 Their discoveries about their response to the study of history resulted from their efforts at informal writing, which forced them to be 	active rather than passive	 learners.
yes	X rather than Y	passive	active	active - passive	(passive) rather than (active)	 Most students in a survey class usually expect to be 	passive rather than active	 participants.
no	X and Y	large	growing	large - small	(\blarge) and (?!small)(\b\w+)	 We also have 	large and growing	 interests in the human and material development of the region, as well as in its security.
no	X and Y	new	exciting	new - old	(\bnew) and (?!old)(\b\w+)	 (This was true despite the attention paid by the American public and certain senior officials to the 	new and exciting	 relationship with China during the 1970s.
no	X and Y	short	inconclusive	long - short	(\bshort) and (?!long)(\b\w+)	 China retaliated by invading Vietnam, provoking a 	short and inconclusive	 war.
no	X and Y	sad	bloody	happy - sad	(\bsad) and (?!happy)(\b\w+)	 The first 	sad and bloody	 hour was over.
no	X and Y	new	wider	new - old	(\bnew) and (?!old)(\b\w+)	 American troop withdrawal should be viewed not as a symptom of isolationism but as consistent with the gradual emergence on the world scene of 	new and wider	 security structures based on regional self-reliance.
yes	X or Y	passive	active	active - passive	(passive) or (active)	 And how the Middle East evolves depends very heavily on the degree to which America chooses to play a 	passive or active	 role.
no	X and Y	old	familiar	new - old	(\bold) and (?!new)(\b\w+)	 The material for rebuilding is at hand, but whether the architecture will be the 	old and familiar	 or new and original remains to be seen.
no	X or Y	familiar	new	new - old	(?!old)(\b\w+) or (\bnew)	 The material for rebuilding is at hand, but whether the architecture will be the old and 	familiar or new	 and original remains to be seen.
no	X and Y	new	original	new - old	(\bnew) and (?!old)(\b\w+)	 The result is a 	new and original	 story, as fascinating and powerful as any of those presented by the narrator in the course of the fictional three years of story-telling.
no	X and Y	wounded	dead	alive - dead	(?!alive)(\b\w+) and (\bdead)	 The 	wounded and dead	 were taken to Maqassed and Augusta Victoria hospitals on the Mount of Olives.
no	X and Y	large	unparalleled	large - small	(\blarge) and (?!small)(\b\w+)	 Why does Israel play so 	large and unparalleled	?
yes	X or Y	right	wrong	right - wrong	(right) or (wrong)	 It is not a question of whether a decision is 	right or wrong	.
no	X and Y	new	sinister	new - old	(\bnew) and (?!old)(\b\w+)	 The old romantic stereotype of a horse-riding, desert-wandering, good-looking Arab popularized by Hollywood during the Valentino era, gradually gave way to a 	new and sinister	 stereotype of a dark, scheming, camel-riding woman-collecting coward.
no	X and Y	private	real	private - public	(\bprivate) and (?!public)(\b\w+)	 Thus, while the public positions of the Arab regimes was traditionally one of commitment to a struggle to liberate Palestine, the 	private and real	 positions differed substantially.
no	X and Y	good	patient	bad - good	(\bgood) and (?!bad)(\b\w+)	 the 	good and patient	 one - for an Arafat isolated in another camp.
yes	between X and Y	rural	urban	rural - urban	between (rural) and (urban)	 Initially, the Palestinians held a distinct edge in this category, and the gap 	between rural and urban	 literacy rates was subtantial.
no	X and Y	complex	difficult	difficult - easy	(?!easy)(\b\w+) and (\bdifficult)	 The link between Palestine's independence and the Arab State system turned out to be more 	complex and difficult	 to pursue.
no	X and Y	fast	sustained	fast - slow	(\bfast) and (?!slow)(\b\w+)	 In sharp contrast, the period from 1950 to 1972 will be remembered as the period of great prosperity because the world's economic growth has never been as 	fast and sustained	 as during this time.
no	X or Y	small	moderate	large - small	(\bsmall) or (?!large)(\b\w+)	 Although this trade is rising at a faster rate than the total trade of either the mainland or Taiwan, the above ratios will remain relatively 	small or moderate	.
no	X and Y	small	vulnerable	large - small	(\bsmall) and (?!large)(\b\w+)	 But because Kuwait is 	small and vulnerable	, Kuwaitis will be reluctant, as they have in the past, to be identified with having the United States as their protector.
yes	X and Y	large	small	large - small	(large) and (small)	 2 In bipolarity, wherein two superpowers are perpetually deadlocked, nearly all other states, 	large and small	, are aligned with one or the other bloc.
no	X and Y	thorough	long	long - short	(?!short)(\b\w+) and (\blong)	 The PNDC's political monopoly has been too 	thorough and long	 and has frozen " alternative " political leaders out of action.
no	more X than Y	important	private	private - public	more (?!public)(\b\w+) than (\bprivate)	 9 Total liberalization of foreign exchange fails to maintain that Ghana has priority rehabilitation needs 	more important than private	 ones (the early auction system gave preferences to bids in the industrial and agricultural sector).
yes	X and Y	rural	urban	rural - urban	(rural) and (urban)	 Low growth in Ghanaian non-cocoa agriculture has been a major source of low growth generally, of high inflation, and of 	rural and urban	 poverty.
no	X and Y	old	inefficient	new - old	(\bold) and (?!new)(\b\w+)	 Some of these were pursued rigidly with remarkable insensitivity to the problems of Ghanaian industries suffering from long recessions, 	old and inefficient	 equipment, low demand and creditworthiness, and depleted capital.
no	X and Y	urban	educated	rural - urban	(\burban) and (?!rural)(\b\w+)	 With the growing influx of 	urban and educated	 Christian highlanders, a fifth zone was created in 1966.
no	X and Y	young	old	new - old	(?!new)(\b\w+) and (\bold)	 Every member (male and female, 	young and old	) goes through one year of military training.
yes	X and Y	public	private	private - public	(public) and (private)	 Fourthly, all 	public and private	 credit should be frozen and lastly, in order to prevent mass deprivation, cross-border emergency relief and rehabilitation operations to Ethiopia, Sudan and Somalia should stepped up.
no	X and Y	solemn	heavy	heavy - light	(?!light)(\b\w+) and (\bheavy)	 They should also examine their own structures and reasons for their failures, for in the end, the destiny of the peoples of the Horn lie in their hands -- it is a 	solemn and heavy	 burden.
no	X and Y	urban	commercial	rural - urban	(\burban) and (?!rural)(\b\w+)	 The Jacksonian's attempt to structure postal policy to foster the development of a @ @ @ @ @ @ @ @ @ @ easy transmission of 	urban and commercial	 values.
no	X and Y	corporate	urban	rural - urban	(?!rural)(\b\w+) and (\burban)	 Amidst these dramatic changes, however, smaller, more specialized publications challenged the 	corporate and urban	 system.
yes	X and Y	good	bad	bad - good	(good) and (bad)	, 1984), looks at the relationship of advertising to American culture, concluding that advertising is a manifestation of American life -- 	good and bad	.
no	X or Y	false	distorted	false - true	(\bfalse) or (?!true)(\b\w+)	 Films of this type when exported are harmful by presenting 	false or distorted	 impressions of American life as a whole.
yes	X and Y	rural	urban	rural - urban	(rural) and (urban)	 Over these five decades they were elected in seventeen states, representing almost equally 	rural and urban	 districts and spread across the continent from Staten Island to San Francisco.
no	X or Y	new	renewed	new - old	(\bnew) or (?!old)(\b\w+)	 There is no simple explanation for this 	new or renewed	 interest in the subject in the 1970s or 1980s.
no	X and Y	new	large	large - small	(?!small)(\b\w+) and (\blarge)	 Like Richard Hofstadter, Guttmann's originality lies less in narrow archival research than in his ability to pose 	new and large	 questions.
no	X and Y	long	active	long - short	(\blong) and (?!short)(\b\w+)	 During his 	long and active	 nautical career, he built and owned more than 100 steamboats and ships, and never lost one in an accident.
yes	X and Y	old	new	new - old	(old) and (new)	 Consequently, the modern success stories that American business @ @ @ @ @ @ @ @ @ @ an ambiguous message; they juxtaposed indiscriminately 	old and new	 elements at the center of the plot.
yes	from X to Y	rural	urban	rural - urban	from (rural) to (urban)	 The basic units of capitalistic structure were in a process of transition 	from rural to urban	 environments, from agricultural to industrial production, from self-financing to stock-market financing, from small firms to big corporations.
no	X and Y	big	small	large - small	(?!large)(\b\w+) and (\bsmall)	 The revolution, however, was by no means complete in the Progressive era: American people participated in a dual economy of 	big and small	 business, bureaucratic and independent enterprises, " regulated " and " competitive " markets.
no	X and Y	humble	rural	rural - urban	(?!urban)(\b\w+) and (\brural)	 (n29) Yet spokesmen for business leaders at the time stressed the 	humble and rural	 origins of business elites and adhered to the traditional pattern of the " rags to riches " stories.
no	X and Y	pure	old	new - old	(?!new)(\b\w+) and (\bold)	 Such a description appealed to various conservative and fundamentalist groups in the 1920s that rejected urban manners and morals, and opposed urban ethnic diversity, in the name of 	pure and old	 fashioned American values.
no	X and Y	humble	rural	rural - urban	(?!urban)(\b\w+) and (\brural)	 The idea of a 	humble and rural	 childhood which appeared in business success stories served as a source of legitimation because it was skill a powerful cultural component of the American experience.
no	X or Y	rural	poor	rural - urban	(\brural) or (?!urban)(\b\w+)	 The significance of such a theme is that it prevailed almost unchanged in an era in which most business leaders were not of 	rural or poor	 origins.
no	X and Y	small	big	large - small	(\bsmall) and (?!large)(\b\w+)	 Thus, 	small and big	 business have their own dialectical relationship.
no	X and Y	poor	miserable	poor - rich	(\bpoor) and (?!rich)(\b\w+)	 According to such a world view, the rich and wealthy deserve their status, and the 	poor and miserable	 had only themselves to blame in a free society.
no	X and Y	rich	wealthy	poor - rich	(\brich) and (?!poor)(\b\w+)	 According to such a world view, the 	rich and wealthy	 deserve their status, and the poor and miserable had only themselves to blame in a free society.
no	X and Y	large	successful	large - small	(\blarge) and (?!small)(\b\w+)	 The Knights of Columbus, the pre-eminent Catholic fraternal organization, mounted a 	large and successful	 campaign fund for establishing recreational facilities both in this country and in Europe to serve the needs of service men.
yes	X and Y	large	small	large - small	(large) and (small)	 The battles took on highly symbolic meaning for both sides, as victories, 	large and small	, were viewed as determining who were the rightful representatives of American culture and institutions.
no	X or Y	female	private	private - public	(?!public)(\b\w+) or (\bprivate)	 The reason is obvious: uniquely 	female or private	 familial events are assumed to have no direct impact on community life, which is the focus of these studies.
yes	X and Y	old	new	new - old	(old) and (new)	 It was " also a matter of prevention of exploitation, of good housing, of clean milk for babies, of adequate wages, of satisfactory industrial conditions, of the spirit of neighborliness between Americans, 	old and new	.
no	X or Y	affiliated	large	large - small	(?!small)(\b\w+) or (\blarge)	 The best hospitals, either medical-school 	affiliated or large	 private hospitals like Hartford, provided the most sophisticated post-medical school education.
yes	X and Y	right	wrong	right - wrong	(right) and (wrong)	 4 Terms such as good and evil, 	right and wrong	, benefit and harm, risk and hope, virtue and vice are then applied in precise and formal ways to characterize the making of choices.
no	X and Y	new	corrective	new - old	(\bnew) and (?!old)(\b\w+)	 The book was advertised as a 	new and corrective	 version of Sioux culture that undid the wrongs done by scholars.
no	between X and Y	young	old	new - old	between (?!new)(\b\w+) and (\bold)	 That is, I am using synchronic variability 	between young and old	 families to approximate the actual dynamic change of a polygynous family as it grows and matures.
no	X and Y	underdeveloped	difficult	difficult - easy	(?!easy)(\b\w+) and (\bdifficult)	 Following Mao's dictum of " circle the city from the countryside, " Sendero has attempted to gain hegemony in the 	underdeveloped and difficult	 terrain of the highlands.
yes	both X and Y	old	new	new - old	both (old) and (new)	 2 As the military confronted insurgencies in the 1980s, 	both old and new	 conflicts emerged that seriously challenged efforts to maintain unity.
no	X and Y	new	dangerous	new - old	(\bnew) and (?!old)(\b\w+)	 The emergence of the CRF signalled a 	new and dangerous	 period of counter-insurgency in Peru.
yes	X and Y	poor	rich	poor - rich	(poor) and (rich)	 In his scheme, it becomes the responsibility of all those with incomes greater than subsistence -- the rich in both the 	poor and rich	 states -- to assist those whose condition falls below subsistence.
yes	X and Y alike	poor	rich	poor - rich	(poor) and (rich) alike	 The wealthy of each country, 	poor and rich alike	, certainly are more fully qualified to identify and finance their own poor without going through the state and the international bureaucracies.
no	X or Y	cold	hard	hard - soft	(?!soft)(\b\w+) or (\bhard)	 In children it is attributed to eating 	cold or hard	 foods (Salala; Itole).
no	X and Y	rural	nonmetropolitan	rural - urban	(\brural) and (?!urban)(\b\w+)	 Yet, although 	rural and nonmetropolitan	 areas on the @ @ @ @ @ @ @ @ @ @ rapid as in urban and metropolitan areas.
no	X and Y	urban	metropolitan	rural - urban	(\burban) and (?!rural)(\b\w+)	 Yet, although rural and nonmetropolitan areas on the @ @ @ @ @ @ @ @ @ @ rapid as in 	urban and metropolitan	 areas.
no	X and Y	corporate	private	private - public	(?!public)(\b\w+) and (\bprivate)	 Whereas the East Coast Project prescribed afforestation principally for landslide and erosion control, 	corporate and private	 forestry considers plantation establishment in terms of eventual timber profitability.
no	X and Y	small	isolated	large - small	(\bsmall) and (?!large)(\b\w+)	 Although prostitution and sex shows flourish in the forty bars and motels of the zone, it remains a relatively 	small and isolated	 vestige of the inglorious past of Tijuana.
no	X and Y	long	irregular	long - short	(\blong) and (?!short)(\b\w+)	 The mass flowering at 	long and irregular	 intervals, followed by death, that is so characteristic of many Asiatic bamboos, seems not to occur in this American species.
yes	X and Y	urban	rural	rural - urban	(urban) and (rural)	 Herbal knowledge fell into obscurity as 	urban and rural	 people turned to patent medicines.
no	X and Y	large	medium	large - small	(\blarge) and (?!small)(\b\w+)	 Government pensions support government employees and employees of 	large and medium	 companies along with their dependent wives far better than the self-employed in small businesses and agriculture whose wives are assumed to be independently working.
no	X and Y	agricultural	small	large - small	(?!large)(\b\w+) and (\bsmall)	 With the lower " national pension " for the self-employed, the LDP has wooed the votes of the 	agricultural and small	 business communities.
no	X and Y	large	medium	large - small	(\blarge) and (?!small)(\b\w+)	 The higher " employee pension " has kept full-time workers in 	large and medium	 firms committed to cooperation with LDP-led economic measures.
no	X and Y	old	young	new - old	(\bold) and (?!new)(\b\w+)	 Japanese welfare policies naturalize divisions between men and women, employed and unemployed, 	old and young	, salaried employees and the self-employed.
no	X and Y	employed	small	large - small	(?!large)(\b\w+) and (\bsmall)	 As I will show below, salarymen's benefits are only slightly lower than those of government employees, but much higher than those of the next group, the self-	employed and small	 business people.
no	X and Y	employed	small	large - small	(?!large)(\b\w+) and (\bsmall)	 As I mentioned above, the public pension plans included the wives of the self-	employed and small	 business people through Compulsory membership in the national pension system from 1961.
no	X and Y	employed	small	large - small	(?!large)(\b\w+) and (\bsmall)	 Even at this rate the widows of the self-	employed and small	 business people can not survive without significant savings, working, or family aid.
no	X or Y	simple	easy	difficult - easy	(?!difficult)(\b\w+) or (\beasy)	 And this is no 	simple or easy	 task.
no	X or Y	time	temporary	permanent - temporary	(?!permanent)(\b\w+) or (\btemporary)	 Few mothers at the school my son attended could afford to work in even part-	time or temporary	 jobs.
no	X and Y	pleasant	happy	happy - sad	(?!sad)(\b\w+) and (\bhappy)	 That's an incentive and you hear it over and over again, market forces -- which are n't always 	pleasant and happy	.
no	X and Y	complex	rich	poor - rich	(?!poor)(\b\w+) and (\brich)	 America's narratives of itself among its highest level corporate leadership can offer us a 	complex and rich	 story of nation-based notions of the possibilities or impossibilities of collective enterprise.
no	X and Y	public	conspicuous	private - public	(\bpublic) and (?!private)(\b\w+)	 She retaliated by continual fainting-fits, in the most 	public and conspicuous	 circumstances " (p.
no	X and Y	difficult	laborious	difficult - easy	(\bdifficult) and (?!easy)(\b\w+)	 Having an active sex life at night does not necessarily make a man or a woman less productive on the job, yet even sex can become 	difficult and laborious	 or be overdone.
no	X and Y	clever	good	bad - good	(?!bad)(\b\w+) and (\bgood)	 " Teacher: " Orli is now really a big, and 	clever and good	 girl; and I'm sure she'll keep on growing and learning more new things.
