class	pattern	X_found	Y_found	pair	query	context_pre	costr	context_post
no	X and Y	good	just	bad - good	(\bgood) and (?!bad)(\b\w+)	 But it seems as if, in general, we are being presented with a fairly " natural " or " spontaneous " series of images and ideas selected precisely to depict the 	good and just	 society.
yes	between X and Y	rich	poor	poor - rich	between (rich) and (poor)	 75 The gap 	between rich and poor	 has widened considerably during the 1980s.
no	X and Y	available	small	large - small	(?!large)(\b\w+) and (\bsmall)	 A variety of manipulatives should be 	available and small	 group activities should be planned.
yes	between X and Y	poor	rich	poor - rich	between (poor) and (rich)	 Study the characteristics of the logistic function and investigate its implications for the future of relationships 	between poor and rich	 nations.
yes	X or Y	right	wrong	right - wrong	(right) or (wrong)	 Although I did not emphasize 	right or wrong	 answers, students and teachers were interested in the test results as either a teaching tool or springboard for discussion.
no	X and Y	small	homogeneous	large - small	(\bsmall) and (?!large)(\b\w+)	 The sample is 	small and homogeneous	.
no	X or Y	difficult	complex	difficult - easy	(\bdifficult) or (?!easy)(\b\w+)	 Producing a recording does not have to be a 	difficult or complex	 process requiring specialized training.
no	X or Y	national	private	private - public	(?!public)(\b\w+) or (\bprivate)	 The results, a ten-year show-and-tell for developers who had captured 	national or private	 foundation funds, had limited impact beyond the field-test schools.
no	X and Y	elementary	high	high - low	(?!low)(\b\w+) and (\bhigh)	 In Georgia the typical integration movement was for blacks to move to white 	elementary and high	 schools, and for white and black middle graders to move to former black high schools, converted to middle schools (Barr 1992).
no	X or Y	happy	unhappy	happy - sad	(\bhappy) or (?!sad)(\b\w+)	 Was the government 	happy or unhappy	 about these deflationary conditions?
no	X and Y	short	simple	long - short	(\bshort) and (?!long)(\b\w+)	 This task can be more manageable if teachers remember to KISS when designing writing activities, that is, to " keep it 	short and simple	.
no	X and Y	short	simple	long - short	(\bshort) and (?!long)(\b\w+)	 Having students write frequently in and out of class with 	short and simple	 activities can help students step up to a higher level of performance without taxing the time and energy of faculty.
no	X or Y	unmotivated	poor	poor - rich	(?!rich)(\b\w+) or (\bpoor)	 Students are all too often seen as being deficient, being 	unmotivated or poor	 students, if they do not resonate to the same intellectual interests as the teacher.
no	X and Y	new	expanded	new - old	(\bnew) and (?!old)(\b\w+)	 Expenses are likely to rise even higher with 	new and expanded	 operations that could be launched in the coming months.
yes	X and Y	large	small	large - small	(large) and (small)	 Preserving the world authority of the United Nations requires the fullest consultation, participation and engagement of all states, 	large and small	.
yes	between X and Y	rich	poor	poor - rich	between (rich) and (poor)	 But neither is the peace of a world community (like that of a local community) harshly divided 	between rich and poor	 likely to be sustained.
no	X and Y	new	comprehensive	new - old	(\bnew) and (?!old)(\b\w+)	 In the meantime the new Soviet leadership, increasingly consolidated under Khrushchev, gradually regained self-confidence and began to craft a 	new and comprehensive	 strategy, designed to break out of the Eurasian containment that the West had fashioned.
no	X and Y	timely	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 If so, do American and west European interests call for more 	timely and active	 Western engagement aimed not only at preventing the proliferation of small wars but moderating the region's growing instability as well?
no	X and Y	old	deteriorating	new - old	(\bold) and (?!new)(\b\w+)	 Public hospitals fell into abysmal squalor; standards of sanitation were appalling, quality nursing almost absent, and equipment 	old and deteriorating	.
no	X and Y	small	inconsequential	large - small	(\bsmall) and (?!large)(\b\w+)	 The clandestine parties that persisted were 	small and inconsequential	, and the one half-hearted attempt by the al-Iryani regime to create something like a national political party in 1973 was stillborn.
yes	X and Y	old	new	new - old	(old) and (new)	 Singly or together, what would their relationship be to the many 	old and new	 political parties that had already surfaced by early 1990?
no	X and Y	swift	easy	difficult - easy	(?!difficult)(\b\w+) and (\beasy)	 The 	swift and easy	 appointment of ministers, their deputies, and other top officials in the first weeks after unification masked problems and concerns that were out in the open by early fall.
yes	from X to Y	rural	urban	rural - urban	from (rural) to (urban)	 Telephone, radio and television, too, eased the transition 	from rural to urban	 life.
no	X and Y	high	special	high - low	(\bhigh) and (?!low)(\b\w+)	 It is clear that the repetition rates in several Arab states are extremely 	high and special	 efforts could be made to cut down on this wasteful duplication.
no	X and Y	entrepreneurial	private	private - public	(?!public)(\b\w+) and (\bprivate)	 The program condemns state planning in industry as the cause of the Algerian economic failure, and encourages the development of 	entrepreneurial and private	 initiatives as sources of wealth in society.
no	X and Y	long	tedious	long - short	(\blong) and (?!short)(\b\w+)	 This was evident in the 	long and tedious	 negotiations that the two countries undertook to sign a new trade and transit treaty after the 1960 treaty expired in 1971.
yes	X and Y	old	new	new - old	(old) and (new)	 Second, the leadership group is a transitional one between the 	old and new	 generations, but more like the old guard than different from it.
no	X and Y	poor	high	high - low	(?!low)(\b\w+) and (\bhigh)	 Moreover, his vice-president, Joseph Estrada, though not on his ticket is a committed " populist, " meaning he favors subsidies for the 	poor and high	 tariffs to protect Filipino industry.
no	X and Y	small	vulnerable	large - small	(\bsmall) and (?!large)(\b\w+)	 For a country as 	small and vulnerable	 as Singapore and highly dependent on international economic links, it is important that our antenna is kept sharply tuned.
no	X and Y	heavy	chemical	heavy - light	(\bheavy) and (?!light)(\b\w+)	 This development was unforeseen; Park had been immersed in an inward-oriented 	heavy and chemical	 industrialization strategy.
no	X and Y	passive	indirect	active - passive	(\bpassive) and (?!active)(\b\w+)	 The world economy and economic performance in Korea helped to bring changes in a 	passive and indirect	 sense; each showed the Korean political leadership that export promotion was economically possible and viable.
no	X and Y	heavy	chemical	heavy - light	(\bheavy) and (?!light)(\b\w+)	 corporations invested in the 	heavy and chemical	 industries, despite inauspicious market conditions for such industries.
no	X and Y	heavy	chemical	heavy - light	(\bheavy) and (?!light)(\b\w+)	 A large share of their investment has been in the 	heavy and chemical	 industries, which are by nature capital- and technology-intensive and thus usually require rather large-scale production facilities.
yes	X and Y	small	large	large - small	(small) and (large)	 The growing number of workers were organized into an equally expanding number of unions, 	small and large	, an increase of over 600 from 1981 to 1986.
yes	X and Y	female	male	female - male	(female) and (male)	 Consequently 	female and male	 students are often deprived of female role models.
yes	X and Y	rural	urban	rural - urban	(rural) and (urban)	 The 	rural and urban	 populist opposition of the 1960s was ultimately repressed by Kenyatta.
no	X and Y	urban	middle	rural - urban	(\burban) and (?!rural)(\b\w+)	 The new opposition is primarily 	urban and middle	 class, reflecting both expanding professional cadres and increasing state employment.
no	X and Y	active	popular	active - passive	(\bactive) and (?!passive)(\b\w+)	 At " Wits, " an 	active and popular	 Mondlane was elected by his fellow students (predominantly white) to represent them on the Student Representative Council and at the National Student Conference.
no	X and Y	active	devout	active - passive	(\bactive) and (?!passive)(\b\w+)	 They were 	active and devout	 churchgoers, constantly involved in church affairs -- socials, subscriptions, Sunday school, fundraising for special church projects.
yes	X and Y	short	long	long - short	(short) and (long)	 A proper collection development policy is crucial to its success both in the 	short and long	 term.
no	X and Y	secondary	high	high - low	(?!low)(\b\w+) and (\bhigh)	 Until 1977 the final exams for graduating 	secondary and high	 school students in Anglophone Cameroon were formulated and graded in London.
no	X and Y	educational	rural	rural - urban	(?!urban)(\b\w+) and (\brural)	 Although the young Americans who appeared in Africa in the 1960s were very effective catalysts of agricultural, 	educational and rural	 development, they were not the best representatives of the American educated class.
no	X and Y	unhappy	happy	happy - sad	(?!sad)(\b\w+) and (\bhappy)	 Radio Days uses the same technique of capturing the rhythm of life by interweaving 	unhappy and happy	 scenes.
no	X and Y	rapid	easy	difficult - easy	(?!difficult)(\b\w+) and (\beasy)	 The dominant interpretation both in American historiography and nationalist ideology had been one of 	rapid and easy	 assimilation.
yes	X as well as Y	private	public	private - public	(private) as well as (public)	 36 Nineteenth-century inmates of 	private as well as public	 institutions were usually destitute, but conditions may have changed by the late 1920s.
yes	X and Y	rich	poor	poor - rich	(rich) and (poor)	 As in the past, people needing services are a diverse population characterized by 	rich and poor	, and multi-ethnic groups.
no	X and Y	small	privileged	large - small	(\bsmall) and (?!large)(\b\w+)	 It is incumbent upon scholars using sources of this nature to remember that @ @ @ @ @ @ @ @ @ @, a very 	small and privileged	 segment of Chinese society.
no	more X than Y	significant	female	female - male	more (?!male)(\b\w+) than (\bfemale)	 All societies have recognized differences between gender roles and have treated male activities as 	more significant than female	 ones.
yes	X and Y	public	private	private - public	(public) and (private)	 For example, Lamphere followed Collier's lead by integrating 	public and private	 aspects of women's lives to explain changes in women's patterns of paid labor.
no	X and Y	bad	inadequate	bad - good	(\bbad) and (?!good)(\b\w+)	) European immigrant women were transformed from symbols of immodesty or 	bad and inadequate	 mothering (in the Progressive Era) to symbols of smother love and backward or anti-feminist domesticity (in the late twentieth).
no	X and Y	sober	industrious	drunk - sober	(\bsober) and (?!drunk)(\b\w+)	 Newspapers lauded the delegation and instead of questioning the desirability of pacifists who had once been known as seditionists, they depicted the newcomers as 	sober and industrious	 settlers who would provide a boon to local merchants.
no	X and Y	Grave	sober	drunk - sober	(?!drunk)(\b\w+) and (\bsober)	 14 	Grave and sober	 listening and careful consideration of the speaker's words were major values in Indian behavior.
yes	X and Y	passive	active	active - passive	(passive) and (active)	 There were also increasing incidents of 	passive and active	 resistance in the missions, large-scale flight, and armed conflict.
yes	X or Y	true	false	false - true	(true) or (false)	 The Navajo victims did not cooperate because they knew that any information, 	true or false	, spread quickly on the Navajo reservation.
no	X and Y	long	frustrating	long - short	(\blong) and (?!short)(\b\w+)	 The investigation was 	long and frustrating	 but resulted in the arrest and conviction of the teacher.
no	X and Y	cold	swift	cold - hot	(\bcold) and (?!hot)(\b\w+)	 Working alone in the 	cold and swift	 Yukon is clearly dangerous, and many lives have been taken from these villages in this manner.
no	X and Y	long	queer	long - short	(\blong) and (?!short)(\b\w+)	 He has told us a 	long and queer	 story.
yes	X or Y	drunk	sober	drunk - sober	(drunk) or (sober)	 Elsewhere in the History he remarks, " I do not now recollect that I was ever insulted by an Indian, 	drunk or sober	, during all the time I was with them.
no	X and Y	inefficient	small	large - small	(?!large)(\b\w+) and (\bsmall)	 According to Bailey (and others), both of these industries in Mexico are 	inefficient and small	 in scale.
yes	between X and Y	urban	rural	rural - urban	between (urban) and (rural)	 According to some measures, this disparity 	between urban and rural	 areas in levels of educational attainment, once thought to be converging, now appears to be widening.
no	X and Y	Urban	rural	rural - urban	(?!urban)(\b\w+) and (\brural)	 	Urban and rural	 areas in these five states alone account for 69% of total US textile employment.
no	X and Y	small	undiversified	large - small	(\bsmall) and (?!large)(\b\w+)	 In the end, the preamble noted only that the economies of the sub-region were " 	small and undiversified	 " and agreed to look at " measures to improve the operation of the CBI.
no	X and Y	medium	small	large - small	(?!large)(\b\w+) and (\bsmall)	 Both appointments held out the promise of @ @ @ @ @ @ @ @ @ @ only the capitalists but also 	medium and small	 businessmen and others in the opposition.
no	X and Y	active	important	active - passive	(\bactive) and (?!passive)(\b\w+)	 Increasingly 	active and important	 roles are being performed by the Justice Department, the Treasury Department, and the intelligence agencies.
yes	X and Y	private	public	private - public	(private) and (public)	 Corruption in both the 	private and public	 sectors increased.
yes	X and Y	rural	urban	rural - urban	(rural) and (urban)	, teachers, mayors, birth records, development workers) with the country's 	rural and urban	 grassroots.
no	X and Y	large	dense	large - small	(\blarge) and (?!small)(\b\w+)	 Effective spraying or injection was virtually impossible in very 	large and dense	 infestations, and there was no guarantee against reinfestation of lands cleared by chemicals.
no	X and Y	dead	dying	alive - dead	(\bdead) and (?!alive)(\b\w+)	 Their progress was marked by huge areas of 	dead and dying	 pear (Queensland Department of Public Lands c.
no	X and Y	urban	suburban	rural - urban	(\burban) and (?!rural)(\b\w+)	 Since 1945, strips have become an increasingly dominant feature of the 	urban and suburban	 scene and epitomize the rapid change that continues to reshape the American landscape (Hart 1982; Jakle 1990).
no	X or Y	municipal	private	private - public	(?!public)(\b\w+) or (\bprivate)	 Although tourism was a growing industry, most visitors still stayed at one of the downtown hotels or in one of the city's new 	municipal or private	 campgrounds (Noel 1987).
no	X and Y	large	diverse	large - small	(\blarge) and (?!small)(\b\w+)	 This article focuses on two very 	large and diverse	 countries, the People's Republic of China and the Republic of Indonesia.
yes	between X and Y	rural	urban	rural - urban	between (rural) and (urban)	 In both countries, health care is organized by the central government, but wide disparities exist in the provision of health care among the provinces, especially 	between rural and urban	 areas.
yes	between X and Y	rich	poor	poor - rich	between (rich) and (poor)	 Authorities were also concerned that uneven economic growth, especially a conspicuous gap 	between rich and poor	, would provoke jealousy, envy, and social disorder.
yes	X or Y	true	false	false - true	(true) or (false)	 " The liberal use of Texas place-names on product labels, whether they be 	true or false	 associations, put Texas far in the lead for both double names and false associations.
no	X and Y	long	tortuous	long - short	(\blong) and (?!short)(\b\w+)	 Their efforts were 	long and tortuous	 but ultimately rewarded with a measure of success.
no	X and Y	nonofficial	rural	rural - urban	(?!urban)(\b\w+) and (\brural)	 Invoking health concerns and labor control, the authorities ordered removal of all 	nonofficial and rural	 inhabitants from the zone.
no	X and Y	old	foolish	new - old	(\bold) and (?!new)(\b\w+)	 Hazel described how she once told Royce he was " 	old and foolish	 " when he used excessive language to reprimand her, and how she threatened to " lay him out " if he tried that again.
no	X and Y	happy	unremarkable	happy - sad	(\bhappy) and (?!sad)(\b\w+)	 " At the time I -- as, it seemed, did others -- found this to be simply a 	happy and unremarkable	 start to the day.
yes	X or Y	rural	urban	rural - urban	(rural) or (urban)	 East central Kentuckians can be considered 	rural or urban	, depending on whether one is identified, for example, by one's residence or place of work.
yes	both X and Y	male	female	female - male	both (male) and (female)	 " The go-get'er was a common " joke " among 	both male and female	 insiders, while his hard working wife, often the sole support of her husband and children, was admired, pitied, and sometimes blamed.
yes	X and Y	good	bad	bad - good	(good) and (bad)	 College students are primarily guided by their own definitions of 	good and bad	 food and concerned with being in control of their eating.
yes	X or Y	good	bad	bad - good	(good) or (bad)	 For them, eating is not a simple act of fueling the body, it is moral behavior through which they construct themselves as 	good or bad	 human beings.
no	X and Y	high	stable	high - low	(\bhigh) and (?!low)(\b\w+)	 3 The technocrats'relatively 	high and stable	 incomes allow women to play an important role in their families and communities and to fulfill the community ethic of " collectivism " (Mooney 1979).
no	X and Y	stable	large	large - small	(?!small)(\b\w+) and (\blarge)	 Consequently, the relatively 	stable and large	 incomes of female technocrats are important in an otherwise poor community, and there is no large source of male income to offset this, as at Lummi.
yes	both X and Y	high	low	high - low	both (high) and (low)	 The help of 	both high and low	 gods was sought at the start of the nighttime demon exorcism ceremonies that were held with increasing frequency.
yes	X and Y	male	female	female - male	(male) and (female)	 elective are fe	male and female	 P.
no	X and Y	female	female	female - male	(\bfemale) and (?!male)(\b\w+)	 elective are 	female and female	 P.
no	X or Y	suburban	urban	rural - urban	(?!rural)(\b\w+) or (\burban)	 All these student teachers completed their 16 week teaching practice in rural, 	suburban or urban	 school settings situated in southwest @ @ @ @ @ @ @ @ @ @ of two teaching practice settings.
no	X and Y	important	difficult	difficult - easy	(?!easy)(\b\w+) and (\bdifficult)	 Actually, it makes it more 	important and difficult	 as the teacher becomes the facilitator of @ @ @ @ @ @ @ @ @ @ motivating learners, structuring both physical and psychological environments, providing needed resources.
yes	X and Y	male	female	female - male	(male) and (female)	 No significant differences existed between experienced and inexperienced coaches or 	male and female	 coaches.
no	X or Y	moderate	light	heavy - light	(?!heavy)(\b\w+) or (\blight)	 Recent epidemiological studies indicate that even 	moderate or light	 physical activity can lead to improved health (Leon, Connet, Jacobs &; Rauramaa, 1987).
no	X or Y	large	relevant	large - small	(\blarge) or (?!small)(\b\w+)	05), but also that the magnitude (size) of these differences were 	large or relevant	 for practical purposes (Thomas, Salazar &; Landers, 1991).
no	X and Y	slow	inefficient	fast - slow	(\bslow) and (?!fast)(\b\w+)	 Such a barrier would cause learning to throw a runner out at first to be 	slow and inefficient	, which would indicate that readiness to participate in organized sport has not occurred.
yes	X and Y	large	small	large - small	(large) and (small)	 Comparisons of selected characteristics of faculty in 	large and small	 black colleges.
no	X and Y	urban	suburban	rural - urban	(\burban) and (?!rural)(\b\w+)	 A program such as Scranton's " Project Walks " could be adapted for large 	urban and suburban	 areas as well as for small cities.
no	X or Y	urban	suburban	rural - urban	(\burban) or (?!rural)(\b\w+)	 Walking may not be an acceptable nor accessible activity in more 	urban or suburban	 communities (which are often linked as well as divided by super highways unsuited for both foot or bicycle travel).
no	X and Y	middle	high	high - low	(?!low)(\b\w+) and (\bhigh)	 Subjects were selected using a stratified random sample technique such that 15% of the actual population was represented at each of the following levels: elementary, 	middle and high	 school.
no	X and Y	urban	suburban	rural - urban	(\burban) and (?!rural)(\b\w+)	 This is to be expected since many BS institutions are located in smaller cities with fewer 	urban and suburban	 schools, thus necessitating the need to use rural sites (O'Sullivan, 1990).
yes	both X and Y	private	public	private - public	both (private) and (public)	 We need to understand how moonlighting shapes 	both private and public	 perspectives of teachers.
no	X and Y	middle	high	high - low	(?!low)(\b\w+) and (\bhigh)	 The authors felt there was a close correlation between the dislike of dance by these 	middle and high	 school students and the lack of exposure in dance education of the physical educators during their undergraduate preparation.
yes	X and Y	male	female	female - male	(male) and (female)	 The swimming study, conducted in a simulated competitive environment, involved 	male and female	 subjects (N=84) possessing low, moderate, and high skill.
no	X and Y	heavy	helpless	heavy - light	(\bheavy) and (?!light)(\b\w+)	 You lie there on your back -- spread-eagle and 	heavy and helpless	 -- and if you look up you can see those spinning fingers of turbulence reaching down to get you.
no	X and Y	left	right	right - wrong	(?!wrong)(\b\w+) and (\bright)	 Each subject performed a total of 36 trials without feedback with control for, equal numbers of, and random assignment of: (a) light approaching from 	left and right	 sides; and (b) speeds of 2, 3, and 4 mph.
no	X and Y	low	middle	high - low	(\blow) and (?!high)(\b\w+)	 One significant finding of he present study lies in the fact that children from families of 	low and middle	 socioeconomic levels have fewer open task competitive sport experiences than the children from upper class families.
no	X and Y	large	noisy	large - small	(\blarge) and (?!small)(\b\w+)	 Basketball is a semi-contact sport, the officials work in close proximity to both players and spectators, and crowds are typically 	large and noisy	.
no	more X than Y	effective	passive	active - passive	more (?!active)(\b\w+) than (\bpassive)	 Since Johnson and Siegel (1987) found that active attention was 	more effective than passive	 @ @ @ @ @ @ @ @ @ @ have the subject talk as much as possible.
yes	X or Y	active	passive	active - passive	(active) or (passive)	 Whether the attentional manipulation is generated internally or externally, or is 	active or passive	, does not appear to be a factor.
yes	X and Y	high	low	high - low	(high) and (low)	 Subjects were placed in 	high and low	 general efficacy groups on the basis of their scores on the Perceived Physical Ability subscale.
yes	X or Y	high	low	high - low	(high) or (low)	 Responses were scored and used to identify volunteers who were 	high or low	 in general self-efficacy.
yes	X and Y	low	high	high - low	(low) and (high)	 That is, there was no significant difference in the rotary pursuit performance of subjects in the 	low and high	 general groups.
no	X and Y	easy	complex	difficult - easy	(\beasy) and (?!difficult)(\b\w+)	 Descriptive statistics are located in Tables 1 and 2 for the 	easy and complex	 tasks, respectively.
no	X and Y	new	unfamiliar	new - old	(\bnew) and (?!old)(\b\w+)	 Exiting sport in this manner not only forced athletes to assume a 	new and unfamiliar	 role in life (i.
no	X and Y	old	young	new - old	(\bold) and (?!new)(\b\w+)	 Between 	old and young	 groups, statistical significance was obtained (p <.
