class	pattern	X_found	Y_found	pair	query	sent_id	context_pre	costr	context_post	text
yes	X as well as Y	wet	dry	dry - wet	(wet) as well as (dry)	41432	 This habitat, called the Florida scrub, is a series of sand ridges, which drain water so quickly and thoroughly that they foster a dry-land habitat during 	wet as well as dry	 eras.	 This habitat, called the Florida scrub, is a series of sand ridges, which drain water so quickly and thoroughly that they foster a dry-land habitat during  wet as well as dry  eras.
yes	X and Y	permanent	temporary	permanent - temporary	(permanent) and (temporary)	13332	 Evoking a wise ethnocentrism,'he cheerily imagines a world in which the glorious hodgepodge of inequalities of ethnic groups -- genetic and environmental, 	permanent and temporary	 -- can be not only accepted but celebrated.	 Evoking a wise ethnocentrism,'he cheerily imagines a world in which the glorious hodgepodge of inequalities of ethnic groups -- genetic and environmental,  permanent and temporary  -- can be not only accepted but celebrated.
yes	between X and Y	private	public	private - public	between (private) and (public)	42505	 Thus immutably bound up with others and the material world through which he moves, Komunyakaa closes his dialogue 	between private and public	 history.	 Thus immutably bound up with others and the material world through which he moves, Komunyakaa closes his dialogue  between private and public  history.
yes	X and Y alike	rural	urban	rural - urban	(rural) and (urban) alike	41529	 This is a city of transplants, 	rural and urban alike	.	 This is a city of transplants,  rural and urban alike .
yes	how X or Y	large	small	large - small	how (large) or (small)	1769	" "" It did not matter "	how large or small	 the business, it should be good for society as a whole.	" "" It did not matter  how large or small  the business, it should be good for society as a whole."
yes	from X to Y	hard	soft	hard - soft	from (hard) to (soft)	15684	 He looked at her, his eyes immediately going 	from hard to soft	 as a slight smile raised his lips.	 He looked at her, his eyes immediately going  from hard to soft  as a slight smile raised his lips.
yes	X and Y	happy	sad	happy - sad	(happy) and (sad)	33415	 Suddenly 	happy and sad	 at the same time, she brings her arm back and throws it, throws it just as far as she can.	 Suddenly  happy and sad  at the same time, she brings her arm back and throws it, throws it just as far as she can.
yes	X rather than Y	old	new	new - old	(old) rather than (new)	2730	" "" The potentials met with are "	old rather than new	 because they are the very same potentials that, at the pre-egoic level, constituted the original environment of the ego's existence.	" "" The potentials met with are  old rather than new  because they are the very same potentials that, at the pre-egoic level, constituted the original environment of the ego's existence."
yes	between X and Y	dry	wet	dry - wet	between (dry) and (wet)	27039	 Moshe Feinstein 2 which differentiates 	between dry and wet	 items.	 Moshe Feinstein 2 which differentiates  between dry and wet  items.
yes	either X or Y	urban	rural	rural - urban	either (urban) or (rural)	6656	 American Jewish history suggests not; @ @ @ @ @ @ @ @ @ @ the paramount goal of 	either urban or rural	 dwellers.	 American Jewish history suggests not; @ @ @ @ @ @ @ @ @ @ the paramount goal of  either urban or rural  dwellers.
yes	both X and Y	alive	dead	alive - dead	both (alive) and (dead)	16740	 Here's a list, including speakers 	both alive and dead	.	 Here's a list, including speakers  both alive and dead .
yes	neither X nor Y	long	short	long - short	neither (long) nor (short)	16437	 Her coat, 	neither long nor short	, was a pleasant honey-brown color, tipped with black, pied with white irregularly on her legs, throat, chest, and a stripe down the middle of her face.	 Her coat,  neither long nor short , was a pleasant honey-brown color, tipped with black, pied with white irregularly on her legs, throat, chest, and a stripe down the middle of her face.
yes	X and Y alike	male	female	female - male	(male) and (female) alike	5426	 A superb gene pool, 	male and female alike	, maybe the best gene pool in the world when it came to physical appearance.	 A superb gene pool,  male and female alike , maybe the best gene pool in the world when it came to physical appearance.
yes	X or Y	temporary	permanent	permanent - temporary	(temporary) or (permanent)	36095	 The first is the extent to which the civil liberties abuses are 	temporary or permanent	.	 The first is the extent to which the civil liberties abuses are  temporary or permanent .
yes	X and Y	optimistic	pessimistic	optimistic - pessimistic	(optimistic) and (pessimistic)	15583	 He is both troubled and enlightened, dramatic and comedic, and 	optimistic and pessimistic	.	 He is both troubled and enlightened, dramatic and comedic, and  optimistic and pessimistic .
yes	both X and Y	old	new	new - old	both (old) and (new)	18947	 I love to make reviews and share some records, 	both old and new	.	 I love to make reviews and share some records,  both old and new .
yes	between X and Y	masculine	feminine	feminine - masculine	between (masculine) and (feminine)	44553	 What can be analyzed, nonetheless, is how cultural codes of the period interpret imagination, categorizing it within different schemata, such as the distinctions 	between masculine and feminine	 ways of imagining.	 What can be analyzed, nonetheless, is how cultural codes of the period interpret imagination, categorizing it within different schemata, such as the distinctions  between masculine and feminine  ways of imagining.
yes	more X than Y	true	false	false - true	more (true) than (false)	27027	 Morgan calls him weird, which may be 	more true than false	, and Rumsfeld informed him that Jefferson used the same type of desk.	 Morgan calls him weird, which may be  more true than false , and Rumsfeld informed him that Jefferson used the same type of desk.
yes	either X or Y	dry	wet	dry - wet	either (dry) or (wet)	26748	 Metal deposition uses 	either dry or wet	 methods, and, as with the other processes, involves multiple layers of different metals.	 Metal deposition uses  either dry or wet  methods, and, as with the other processes, involves multiple layers of different metals.
yes	whether X or Y	public	private	private - public	whether (public) or (private)	7106	 And in whatever way opened, 	whether public or private	, he gave testimony for his faith and the lordship of his Master.	 And in whatever way opened,  whether public or private , he gave testimony for his faith and the lordship of his Master.
yes	X rather than Y	rural	urban	rural - urban	(rural) rather than (urban)	27123	 Most of the improvement came in 	rural rather than urban	 areas, however, while the number of people living in poverty in urban areas actually increased (see Korzeniewicz 1997, table 5; Morley 1995, 134-50).	 Most of the improvement came in  rural rather than urban  areas, however, while the number of people living in poverty in urban areas actually increased (see Korzeniewicz 1997, table 5; Morley 1995, 134-50).
yes	both X and Y	male	female	female - male	both (male) and (female)	37121	 The negative automatic thought score ranges for 	both male and female	 versions are presented in the factor analysis and domain score section.	 The negative automatic thought score ranges for  both male and female  versions are presented in the factor analysis and domain score section.
yes	both X and Y	good	bad	bad - good	both (good) and (bad)	11007	 By doing so, he's gored any number of sacred cows, but he's likewise given us a far more realistic sense of what's possible in cyberspace -- 	both good and bad	 -- in the years ahead.	 By doing so, he's gored any number of sacred cows, but he's likewise given us a far more realistic sense of what's possible in cyberspace --  both good and bad  -- in the years ahead.
yes	X and Y	minor	major	major - minor	(minor) and (major)	33275	 Students of 	minor and major	 seminaries are aspirants to the priesthood.	 Students of  minor and major  seminaries are aspirants to the priesthood.
yes	more X than Y	cold	hot	cold - hot	more (cold) than (hot)	40172	 These rules are that military operations be confined to Shebaa Farms and that the war remains 	more cold than hot	.	 These rules are that military operations be confined to Shebaa Farms and that the war remains  more cold than hot .
yes	X rather than Y	bad	good	bad - good	(bad) rather than (good)	33881	 That is true, but that only takes away from its perfection if its over-all state is 	bad rather than good	.	 That is true, but that only takes away from its perfection if its over-all state is  bad rather than good .
yes	whether X or Y	good	bad	bad - good	whether (good) or (bad)	1152	" "" For we must all appear before the judgment seat of Christ, that each one may be recompensed for his deeds in the body, according to what he has done, "	whether good or bad	.	" "" For we must all appear before the judgment seat of Christ, that each one may be recompensed for his deeds in the body, according to what he has done,  whether good or bad ."
yes	X as well as Y	private	public	private - public	(private) as well as (public)	27176	 Most states have imposed minimum academic standards on 	private as well as public	 schools.	 Most states have imposed minimum academic standards on  private as well as public  schools.
yes	how X or Y	good	bad	bad - good	how (good) or (bad)	23408	 It is much easier to say 	how good or bad	 Tony Romo is or babble incessantly about Tim Tebow.	 It is much easier to say  how good or bad  Tony Romo is or babble incessantly about Tim Tebow.
yes	both X and Y	true	false	false - true	both (true) and (false)	46810	 Your brain is responsible for most of your feelings, 	both true and false	.	 Your brain is responsible for most of your feelings,  both true and false .
yes	neither X nor Y	dead	alive	alive - dead	neither (dead) nor (alive)	31095	 Schrdinger's cat is 	neither dead nor alive	 unless we obtain information about her state.	 Schrdinger's cat is  neither dead nor alive  unless we obtain information about her state.
yes	neither X nor Y	old	new	new - old	neither (old) nor (new)	38520	 The term annoys me, for to us who lived then't was 	neither old nor new	, but simply the world-our world.	 The term annoys me, for to us who lived then't was  neither old nor new , but simply the world-our world.
yes	both X and Y	urban	rural	rural - urban	both (urban) and (rural)	20931	 In 	both urban and rural	 spheres, Kiwis seem truly nice.	 In  both urban and rural  spheres, Kiwis seem truly nice.
yes	X, not Y	new	old	new - old	(new), not (old)	28978	 One should note, though, that McNealy's other sport is hockey, and computer money is 	new, not old	.	 One should note, though, that McNealy's other sport is hockey, and computer money is  new, not old .
yes	X or Y	large	small	large - small	(large) or (small)	33046	 Spider webs may be 	large or small	; single-line or muitiline; sheets, funnels, orbs, and many other shapes; sticky or nonsticky -- a kaleidoscope of different designs for catching insects.	 Spider webs may be  large or small ; single-line or muitiline; sheets, funnels, orbs, and many other shapes; sticky or nonsticky -- a kaleidoscope of different designs for catching insects.
yes	X, not Y	public	private	private - public	(public), not (private)	10408	 But radio and television in west Germany - which is the system the east Germans must adopt - are primarily 	public, not private	, and have a structure all their own.	 But radio and television in west Germany - which is the system the east Germans must adopt - are primarily  public, not private , and have a structure all their own.
yes	either too X or too Y	large	small	large - small	either too (large) or too (small)	5618	 According to the 2010 census, there are 5912 people over 18 in San Miguel (which is 	either too large or too small	 today).	 According to the 2010 census, there are 5912 people over 18 in San Miguel (which is  either too large or too small  today).
yes	from X to Y	poor	rich	poor - rich	from (poor) to (rich)	22886	 It did not address many key issues, such as the world economic system and the problem of financial flows 	from poor to rich	 countries.	 It did not address many key issues, such as the world economic system and the problem of financial flows  from poor to rich  countries.
yes	either X or Y	permanent	temporary	permanent - temporary	either (permanent) or (temporary)	8158	 As an orthopedic surgeon, I see patients on a daily basis whose livelihood and quality of life depend upon receiving an implanted orthopedic device, 	either permanent or temporary	.	 As an orthopedic surgeon, I see patients on a daily basis whose livelihood and quality of life depend upon receiving an implanted orthopedic device,  either permanent or temporary .
yes	whether X or Y	hot	cold	cold - hot	whether (hot) or (cold)	36979	 The military/security complex makes billions of dollars in profits from wars, 	whether hot or cold	.	 The military/security complex makes billions of dollars in profits from wars,  whether hot or cold .
yes	either X or Y	right	wrong	right - wrong	either (right) or (wrong)	22009	 In the first grade there is little room for divergent thinking, so life boils down to being 	either right or wrong	.	 In the first grade there is little room for divergent thinking, so life boils down to being  either right or wrong .
yes	between X and Y	happy	sad	happy - sad	between (happy) and (sad)	1059	" "" Dyszuk urges parents and kids to explore words like frustrated, nervous and uncomfortable -- after all, there is a wide range of emotions "	between happy and sad	.	" "" Dyszuk urges parents and kids to explore words like frustrated, nervous and uncomfortable -- after all, there is a wide range of emotions  between happy and sad ."
yes	either X or Y	male	female	female - male	either (male) or (female)	11585	 Colonies are composed entirely of 	either male or female	 polyps.	 Colonies are composed entirely of  either male or female  polyps.
yes	more X than Y	passive	active	active - passive	more (passive) than (active)	14884	 Goodlad (1983) and Sizer (1984) reported that typical classes in all middle school subjects emphasized 	more passive than active	 learning and more attention to teaching strategies than to learning strategies.	 Goodlad (1983) and Sizer (1984) reported that typical classes in all middle school subjects emphasized  more passive than active  learning and more attention to teaching strategies than to learning strategies.
yes	X rather than Y	hot	cold	cold - hot	(hot) rather than (cold)	749	" "" And they are dead wrong about the idea that favoring "	hot rather than cold	 stations will introduce a warm bias into the global temperature anomaly record.	" "" And they are dead wrong about the idea that favoring  hot rather than cold  stations will introduce a warm bias into the global temperature anomaly record."
yes	both X and Y	sad	happy	happy - sad	both (sad) and (happy)	9091	 Because she looks nice, the p2 4 collar part makes me 	both sad and happy	, the way I feel when a timid fat girl tries on a new skirt and smooths out her hips.	 Because she looks nice, the p2 4 collar part makes me  both sad and happy , the way I feel when a timid fat girl tries on a new skirt and smooths out her hips.
yes	X rather than Y	false	true	false - true	(false) rather than (true)	26365	 Many desires are only for a seeming good and some goods of order, when looked at from a larger purview are a source of disorder, and some values are 	false rather than true	.	 Many desires are only for a seeming good and some goods of order, when looked at from a larger purview are a source of disorder, and some values are  false rather than true .
yes	either X or Y	public	private	private - public	either (public) or (private)	22275	 Incentives are important, but well run systems in 	either public or private	 channels are critical to deliver the correct medicine to the patient that needs it.	 Incentives are important, but well run systems in  either public or private  channels are critical to deliver the correct medicine to the patient that needs it.
yes	more X than Y	good	bad	bad - good	more (good) than (bad)	20751	 If you look at Howard County for the past several years, there is a lot 	more good than bad	.	 If you look at Howard County for the past several years, there is a lot  more good than bad .
yes	between X and Y	old	new	new - old	between (old) and (new)	20288	 If for Gehry there is no conflict 	between old and new	, there is some conflict for the Basques trying to recast Basque cultural identity in terms of industries of art and communication.	 If for Gehry there is no conflict  between old and new , there is some conflict for the Basques trying to recast Basque cultural identity in terms of industries of art and communication.
yes	between X and Y	urban	rural	rural - urban	between (urban) and (rural)	17672	 However, there is a large variation 	between urban and rural	 areas, where health services are particularly poor.	 However, there is a large variation  between urban and rural  areas, where health services are particularly poor.
yes	whether X or Y	long	short	long - short	whether (long) or (short)	25203	 Its waves, 	whether long or short	, can shift to be longer or shorter.	 Its waves,  whether long or short , can shift to be longer or shorter.
yes	X, not Y	cold	hot	cold - hot	(cold), not (hot)	2351	" "" She felt the hand holding hers, and it was smooth like a piece of marble, not "	cold, not hot	, not sweaty, but perfect.	" "" She felt the hand holding hers, and it was smooth like a piece of marble, not  cold, not hot , not sweaty, but perfect."
yes	X and Y alike	poor	rich	poor - rich	(poor) and (rich) alike	41456	 This heightened sense of the security dilemma prompted the Middle Eastern countries, 	poor and rich alike	, to borrow money to satisfy their growing appetite for advanced weapons.	 This heightened sense of the security dilemma prompted the Middle Eastern countries,  poor and rich alike , to borrow money to satisfy their growing appetite for advanced weapons.
yes	both X and Y	soft	hard	hard - soft	both (soft) and (hard)	33901	 That is, Mary's messages contain 	both soft and hard	 aspects.	 That is, Mary's messages contain  both soft and hard  aspects.
yes	both X and Y	wet	dry	dry - wet	both (wet) and (dry)	6526	 Although mercury deposition can occur in 	both wet and dry	 forms, EPA has concluded that deposition through precipitation is the primary means of transport between the atmosphere and the Earth's surface.	 Although mercury deposition can occur in  both wet and dry  forms, EPA has concluded that deposition through precipitation is the primary means of transport between the atmosphere and the Earth's surface.
yes	from X to Y	rural	urban	rural - urban	from (rural) to (urban)	30629	 Regardless of the abundance of imported cheap rice, the sprawling slums continue to be tied to a history of food vulnerability and population movements 	from rural to urban	 areas in search of survival.	 Regardless of the abundance of imported cheap rice, the sprawling slums continue to be tied to a history of food vulnerability and population movements  from rural to urban  areas in search of survival.
yes	X and Y	wet	dry	dry - wet	(wet) and (dry)	34373	 The @ @ @ @ @ @ @ @ @ @ 	wet and dry	.	 The @ @ @ @ @ @ @ @ @ @  wet and dry .
yes	X or Y	short	long	long - short	(short) or (long)	4182	 1895), having lost his father at an early age, consequently followed his mother as @ @ @ @ @ @ @ @ @ @ lent elsewhere as a hired hand for 	short or long	 periods of time.	 1895), having lost his father at an early age, consequently followed his mother as @ @ @ @ @ @ @ @ @ @ lent elsewhere as a hired hand for  short or long  periods of time.
yes	both X and Y	short	long	long - short	both (short) and (long)	35526	 The company has been performing poorly 	both short and long	" term but year after year the CEO "" -- W."	" The company has been performing poorly  both short and long  term but year after year the CEO "" -- W."
yes	either X or Y	long	short	long - short	either (long) or (short)	12153	 Depending upon the length of time and resources available, this disciplined study period might be 	either long or short	.	 Depending upon the length of time and resources available, this disciplined study period might be  either long or short .
yes	the very X and the very Y	rich	poor	poor - rich	the very (rich) and the very (poor)	36224	 The gap between 	the very rich and the very poor	 is growing.	 The gap between  the very rich and the very poor  is growing.
yes	X rather than Y	active	passive	active - passive	(active) rather than (passive)	11469	 Citizens are positioned in governmental discourses, therefore, as 	active rather than passive	 subjects of governance.	 Citizens are positioned in governmental discourses, therefore, as  active rather than passive  subjects of governance.
yes	from X to Y	easy	difficult	difficult - easy	from (easy) to (difficult)	22805	 It can be beneficial for organizing reading materials 	from easy to difficult	 with a gradual increase of word and sentence length.	 It can be beneficial for organizing reading materials  from easy to difficult  with a gradual increase of word and sentence length.
yes	neither X nor Y	passive	active	active - passive	neither (passive) nor (active)	14324	 For whatever reason 	neither passive nor active	 distributed energy systems have taken off in the U.	 For whatever reason  neither passive nor active  distributed energy systems have taken off in the U.
yes	either X or Y	hard	soft	hard - soft	either (hard) or (soft)	19009	 I never tried it but from the picture, it is 	either hard or soft	 candy and the flavor is probably chocolate, black sesame or coffee.	 I never tried it but from the picture, it is  either hard or soft  candy and the flavor is probably chocolate, black sesame or coffee.
yes	X as opposed to Y	good	bad	bad - good	(good) as opposed to (bad)	20606	 If we assume that routine visits to the doctor and dentist are indicators of 	good as opposed to bad	 health, the results show black children to be in good health.	 If we assume that routine visits to the doctor and dentist are indicators of  good as opposed to bad  health, the results show black children to be in good health.
yes	X and Y	light	heavy	heavy - light	(light) and (heavy)	4053	 // There were 	light and heavy	 rifles standing upright behind glass in the mahogany gun cabinet, and an empty slot where a double-barreled shotgun had fitted.	 // There were  light and heavy  rifles standing upright behind glass in the mahogany gun cabinet, and an empty slot where a double-barreled shotgun had fitted.
yes	X as well as Y	small	large	large - small	(small) as well as (large)	8225	 As he did so it struck him that he had begun to imitate the behavior of his wife in 	small as well as large	 matters.	 As he did so it struck him that he had begun to imitate the behavior of his wife in  small as well as large  matters.
yes	X and Y alike	new	old	new - old	(new) and (old) alike	48660	0 software for use on all iPhones, an incredible amount of new functionality is introduced to the millions of users 	new and old alike	.	0 software for use on all iPhones, an incredible amount of new functionality is introduced to the millions of users  new and old alike .
yes	X or Y	good	bad	bad - good	(good) or (bad)	6362	 Also like you and I what is posted can and normally will get its own response back 	good or bad	.	 Also like you and I what is posted can and normally will get its own response back  good or bad .
yes	between X and Y	small	large	large - small	between (small) and (large)	6530	 Although national and district level plans suggest slight differences in building densities 	between small and large	 Arab localities, nevertheless local outline plans apply the same building densities, which effectively convert the villages into urban localities.	 Although national and district level plans suggest slight differences in building densities  between small and large  Arab localities, nevertheless local outline plans apply the same building densities, which effectively convert the villages into urban localities.
yes	both X and Y	major	minor	major - minor	both (major) and (minor)	33529	 Symptom scores for 	both major and minor	 symptoms indicated that nine patients had improved following antileukotriene therapy; three other patients reported some overall benefit from therapy, despite no improvement in their symptom scores.	 Symptom scores for  both major and minor  symptoms indicated that nine patients had improved following antileukotriene therapy; three other patients reported some overall benefit from therapy, despite no improvement in their symptom scores.
yes	either too X or too Y	long	short	long - short	either too (long) or too (short)	29984	 Photograph // If a shade you like seems 	either too long or too short	, a few tricks can change where it falls on the base.	 Photograph // If a shade you like seems  either too long or too short , a few tricks can change where it falls on the base.
yes	X or Y	happy	sad	happy - sad	(happy) or (sad)	22909	 It does n't matter if the ending is 	happy or sad	.	 It does n't matter if the ending is  happy or sad .
yes	between X and Y	fast	slow	fast - slow	between (fast) and (slow)	45169	 When you introduce this new movement, it helps him distinguish 	between fast and slow	.	 When you introduce this new movement, it helps him distinguish  between fast and slow .
yes	either X or Y	true	false	false - true	either (true) or (false)	551	" "" 89 For Lindbeck doctrines need @ @ @ @ @ @ @ @ @ @ affirm nothing "	either true or false	 regarding the world in which language is used.	" "" 89 For Lindbeck doctrines need @ @ @ @ @ @ @ @ @ @ affirm nothing  either true or false  regarding the world in which language is used."
yes	neither X nor Y	high	low	high - low	neither (high) nor (low)	4437	" <br> "" Sato Kenji, "" he said, his voice "	neither high nor low	, but cultured, clipped, quiet.	" <br> "" Sato Kenji, "" he said, his voice  neither high nor low , but cultured, clipped, quiet."
yes	X, not Y	active	passive	active - passive	(active), not (passive)	9826	 But I think it also has to be deliberate; something that's 	active, not passive	.	 But I think it also has to be deliberate; something that's  active, not passive .
yes	X or Y	dead	alive	alive - dead	(dead) or (alive)	32104	 Since Grandpa is n't coming home, send the young man to Germany to find him -- 	dead or alive	.	 Since Grandpa is n't coming home, send the young man to Germany to find him --  dead or alive .
