sent_id;class;pattern;X_found;Y_found;pair;context_pre;costr;context_post;antonymous_value
20028;yes;X or Y;right;wrong;right - wrong; I do n't know if it's morally ;right or wrong; that whole towns get so soaked up in the success or failure of their teams.;
15602;yes;neither X nor Y;passive;active;active - passive; For whatever reason ;neither passive nor active; distributed energy systems have taken off in the U.;
31433;yes;either X or Y;dead;alive;alive - dead; Of those, 316 have been found ;either dead or alive;, while 25 cases remain open.;
34197;yes;neither X nor Y;dead;alive;alive - dead; Schrdinger's cat is ;neither dead nor alive; unless we obtain information about her state.;
53389;yes;either X or Y;light;heavy;heavy - light;), which may be ;either light or heavy;.;
45772;yes;X and Y alike;rural;urban;rural - urban; This is a city of transplants, ;rural and urban alike;.;
44435;yes;X and Y;hard;soft;hard - soft; They are complex divas and simple homegirls, ;hard and soft;, all at the same time.;
38147;yes;X as well as Y;female;male;female - male; The Jewish people had ;female as well as male; prophets.;
13863;yes;X and Y alike;large;small;large - small; Early stage money is critical to any new project -- ;large and small alike;.;
4564;yes;X or Y;active;passive;active - passive;" // "" I'm fairly sure, "" said Phil Hoskins, director of the Department of Community Affairs, "" there's no county in the metro area more committed to acquiring parkland for ";active or passive; parks.;
24824;yes;from X to Y;passive;active;active - passive; It begins with the shift ;from passive to active; learning, from observing to experiencing, through creative acts.;
48281;yes;X and Y;private;public;private - public; We can encourage the ;private and public; sectors to recognize the role of parents.;
19413;yes;between X and Y;difficult;easy;difficult - easy;" However, they did not differentiate between the "" what "" - and the "" when "" - or "" where "" -aspect, and did not differentiate ";between difficult and easy; goals.;
19825;yes;how X or Y;right;wrong;right - wrong; I ca n't judge even after a four days trip, ;how right or wrong; is this event.;
39915;yes;the very X and the very Y;rich;poor;poor - rich; The gap between ;the very rich and the very poor; is growing.;
25790;yes;X or Y;male;female;female - male; It just seems like the entertainment industry has pushed two things- sex crazed lesbians and stereotypical gay men all because society is threatened by the idea that someone can be ;male or female; and still be gay.;
29798;yes;between X and Y;dry;wet;dry - wet; Moshe Feinstein 2 which differentiates ;between dry and wet; items.;
