sent_id,class,pattern,X_found,Y_found,pair,context_pre,costr,context_post,antonymous_value_GG,antonymous_value_LS,antonymous_value_LP,majority_vote
13365,no,whether X or Y,governmental,private,private - public," Existing funding sources, ",whether governmental or private,", are unlikely to expand, but the entry of Medicare as a funder of visual rehabilitation services represents a path around this barrier.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
26615,no,"not X, but Y",countable,short,long - short, Maybe: Long term chronic diseases are ,"not countable, but short", term diseases are?,NOT_ANTONYM,NOT_ANTONYM,ERROR,NOT_ANTONYM
5805,no,"X, not Y",ethnographic,urban,rural - urban, African culture is ,"ethnographic, not urban",", and African art is sculpture, not two-dimensional representation -- at least these appear to, be the messages in many of our exhibitions, articles, and books.",NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
39162,no,X or Y,sharp,heavy,heavy - light," Then he summarized: "" You should n't play rough games such as dunking others, running around a pool, or throwing ",sharp or heavy, objects.,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
10418,no,how X or Y,warm,cold,cold - hot, But scientists still do n't agree on exactly how dinosaurs exchanged heat with their surroundings and ,how warm or cold, they might have been inside.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
45383,no,X as well as Y,fresh,old,new - old, Which I find immediately; ,fresh as well as old," deer sign, and also the slightly aged scat of a bear.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
44367,no,X or Y,gay,female,female - male," We're starting to see that we're all subject to the same hostile indifference, whether we're ",gay or female, or ethnic or some combination of the three.,NOT_ANTONYM,NOT_ANTONYM,IDIOSYNCRATIC,NOT_ANTONYM
10905,no,whether X or Y,blithe,sad,happy - sad," But, ",whether blithe or sad,",'t is my belief His absent Brother still was at his heart.",ANTONYM,ANTONYM,NOT_ANTONYM,ANTONYM
36921,no,between X and Y,masculine,neutral,feminine - masculine, The means of action sports indicated that these were seen as in ,between masculine and neutral, sports identified in this study and in previous studies.,NOT_ANTONYM,ANTONYM,NOT_ANTONYM,NOT_ANTONYM
9473,no,X or Y,floppy,hard,hard - soft, Boot sector virus Affects the section of a ,floppy or hard, disk that contains operating system and file information.,ERROR,NOT_ANTONYM,ERROR,ERROR
40109,no,either X or Y,great,small,large - small, These movements can be ,either great or small,", and are displayed in an accompanying navigation window, allowing for either fine- or gross-scrolling.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
21715,no,whether X or Y,living,dead,alive - dead," In other words, anthropometry means the measurement of human beings, ",whether living or dead, or on skeletal material.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
15333,no,between X and Y,warm,cold,cold - hot, He discusses at length the quick and random changes ,between warm and cold," that the Earth's climate sustained, and the notion that some sort of "" switch "" may have controlled these changes.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
45795,no,either X or Y,drunk,flying,drunk - sober," Wish I could have appreciated the country side, but I was ",either drunk or flying, crewchief/doorgun on a Huey.,ERROR,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
21345,no,X or Y,short,weak,long - short," In combination, these institutions are rather like a three-legged stool, in that any one ",short or weak, leg seriously reduces the stability of the stool.,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
39549,no,both X and Y,minor,serious,major - minor," There is mounting evidence that religious involvement may lower the risks of a broad range of delinquent behaviors, including ",both minor and serious, forms of criminal behavior.,IDIOSYNCRATIC,ANTONYM,NOT_ANTONYM,DISAGREEMENT
17198,no,X or Y,pleasant,optimistic,optimistic - pessimistic, His view of humanity is not often ,pleasant or optimistic,", but then the world is full.",NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
24030,no,"not X, but Y",fast,basic,fast - slow, It was ,"not fast, but basic", design elements like round headlamps and a engine in the rear made their way to Porsche's next car.,ERROR,NOT_ANTONYM,ERROR,ERROR
44121,no,either X or Y,easy,enjoyable,difficult - easy," We need to claim these feelings of obligation, to acknowledge them as part of us, and reject the implication that our true selves only impel us toward what is ",either easy or enjoyable,.,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
2027,no,either too X or too Y,poor,busy,poor - rich," "" Look at it this way: being happy and fulfilled are the very things that I think I'm doomed to be ",either too poor or too busy, to ever have.,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
33151,no,X as well as Y,Russian,good,bad - good," Stevens, who already speaks fluent Korean and ",Russian as well as good," Japanese, Spanish and German, is leaving this weekend for a summer at a university in South Korea.",ERROR,NOT_ANTONYM,ERROR,ERROR
39015,no,X and Y,open,public,private - public," Their efforts must be guided by cooperation, solid scientific study, ",open and public," discussions - and, key to the entire process, by thorough and sound community planning.",NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
41817,no,X and Y,residential,urban,rural - urban, This means instructing the computer to do various things that should promote business as well as ,residential and urban," development while facing difficulties like fires, earthquakes, population fluctuations, and downturns in the business cycle.",NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
35490,no,"not X, but Y",right,almighty,right - wrong," The columnist Ming Xing answered, "" Ling, the way you went about hurting the feelings of others is ","not right, but almighty", God will forgive you.,ERROR,NOT_ANTONYM,ERROR,ERROR
2845,no,between X and Y,hard,easy,hard - soft," "" There's more of a distinction ",between hard and easy," days in triathlon than there is in cycling, "" explains Jacobson.",ANTONYM,NOT_ANTONYM,ANTONYM,ANTONYM
11765,no,neither X nor Y,easy,cheap,difficult - easy," Consumer-health advocates are hoping that once trans-fat numbers start appearing on labels, the food industry will be forced to reformulate their products, a process that is ",neither easy nor cheap,.,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
430,no,X rather than Y,reasonable,hard,hard - soft," "" "" Things change "" Kelsey fought to keep her tone ",reasonable rather than hard,.,NOT_ANTONYM,ANTONYM,NOT_ANTONYM,NOT_ANTONYM
2976,no,X and Y,sustainable,major,major - minor," "" This situation is globally non-",sustainable and major, ecological and economic damage is already visible.,ERROR,NOT_ANTONYM,ERROR,ERROR
8270,no,either X or Y,public,personal,private - public, As long as people continue to exploit these big cats for entertainment - ,either public or personal, - the situation will not change.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
18234,no,how X or Y,significant,permanent,permanent - temporary, I do n't know ,how significant or permanent," it is, but I've been very distressed by that fact.",NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
1335,no,either too X or too Y,high,sweet,high - low," "" Her voice was clear but warm and n",either too high or too sweet,.,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
12583,no,from X to Y,healthy,dead,alive - dead," During the mid-1980s, as gay men watched their friends go ",from healthy to dead," in weeks, the "" condom code "" took over, and even in the baths condom use became the expected norm.",NOT_ANTONYM,ANTONYM,ANTONYM,ANTONYM
15317,no,either X or Y,old,harmless,new - old, He did n't look ,either old or harmless, to me.,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
12364,no,X and Y,high,dry,dry - wet, Do n't overwater - the key here is ,high and dry,.,NOT_ANTONYM,IDIOSYNCRATIC,IDIOSYNCRATIC,IDIOSYNCRATIC
18522,no,how X or Y,rickety,short,long - short," I had an overwhelming desire to construct a small metropolis, no matter ",how rickety or short," -- lived, no matter how cheap the materials.",NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
4120,no,more X than Y,pressing,hot,cold - hot, 11 and the Afghan war to causes ,more pressing than hot, tubs and new massage studios.,ERROR,NOT_ANTONYM,ERROR,ERROR
22558,no,more X than Y,active,younger,active - passive," Interestingly, it shows that older House members are ",more active than younger, House members who have left office.,ERROR,NOT_ANTONYM,ERROR,ERROR
15900,no,X rather than Y,empty,dead,alive - dead, He shook brown and withered leaves from bushes and trees so that they would appear only ,empty rather than dead,.,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
30956,no,X and Y alike,retired,active,active - passive," Rumsfeld, other senior officers, ",retired and active alike,", had to be promised anonymity before they would discuss their own views of why the criticism of him was mounting.",ANTONYM,ANTONYM,NOT_ANTONYM,ANTONYM
42736,no,between X and Y,good,great,bad - good, To go that little distance ,between good and great,?,IDIOSYNCRATIC,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
21082,no,both X and Y,hopeless,optimistic,optimistic - pessimistic," In Way's (1998) study, adolescents held ",both hopeless and optimistic, views when they anticipated their futures.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
43326,no,X rather than Y,reactive,active,active - passive," Unlike men, women's patterns of socialization and education emphasized compliance and passivity, attributes bolstered by contemporary perceptions of femininity which presented women as non-threatening, ",reactive rather than active,.,NOT_ANTONYM,ANTONYM,NOT_ANTONYM,NOT_ANTONYM
10329,no,X and Y,confident,optimistic,optimistic - pessimistic," But most of the time, he was ",confident and optimistic,", your basic nice guy.",NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
2210,no,between X and Y,difficult,impossible,difficult - easy," "" Our personal experience is that research that may show the superiority of a single payer system is somewhere ",between difficult and impossible," to fund, "" Himmelstein said.",NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
47359,no,"X, not Y",damp,dry,dry - wet," in "" slightly moist peat moss - not ","damp, not dry",", "" says Stokes.",ERROR,ANTONYM,ERROR,ERROR
1361,no,X and Y,large,strong,large - small," "" His hands were ",large and strong,", an asset for his chosen career.",NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
573,no,X and Y,musical,feminine,feminine - masculine," "" <p> Monica's laughter was ",musical and feminine,", yet I heard a note of cruelty dancing beneath it.",NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
23147,no,X rather than Y,realistic,pessimistic,optimistic - pessimistic, It is ,realistic rather than pessimistic, because pessimism is expecting things to be bad.,NOT_ANTONYM,ANTONYM,NOT_ANTONYM,NOT_ANTONYM
48024,no,X or Y,rich,richer,poor - rich," where any man, ",rich or richer,", is giving any bar wench in any of those dives $100 drink tips and telling her to keep it.",NOT_ANTONYM,NOT_ANTONYM,ERROR,NOT_ANTONYM
47780,no,how X or Y,big,small,large - small, t matter ,how big or small," the lie is, it just shouldn?",ERROR,ANTONYM,ERROR,ERROR
10850,no,X as well as Y,happy,healthy,happy - sad, But which of these meals will keep a guy ,happy as well as healthy,?,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
25868,no,X and Y,blond,short,long - short," Like Daphne, Agatha and Piper were ",blond and short,.,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
3872,no,whether X or Y,visiting,permanent,permanent - temporary, *** Some of the work we do at the Stepfamily Foundation is defining exactly what the job descriptions are for each member of the household and each child ,whether visiting or permanent,.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
23098,no,both X and Y,infuriating,sad,happy - sad, It is ,both infuriating and sad, at the same time.,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
32788,no,"not X, but Y",human,alive,alive - dead," Some psychologists suspect that people will come to view learning robots, or "" growbots, "" as a new kind of social partner - ","not human, but alive", in some respects.,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
30145,no,X or Y,temporary,transient,permanent - temporary," Political Supeilrend: "" CyberMobbing "" The emergence of Web communities, "" smart mobbing, "" and "" swarm "" advocacy are spawning ",temporary or transient, political entities that outflank traditional channels and methods of influence.,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
25791,no,how X or Y,poor,middle,poor - rich, Let's examine six crucial differences between how rich people think and ,how poor or middle, class people think.,ERROR,NOT_ANTONYM,ERROR,ERROR
22222,no,between X and Y,hidden,public,private - public," In this situation, the delineation ",between hidden and public, transcripts was not so distinct.,ANTONYM,ANTONYM,NOT_ANTONYM,ANTONYM
2915,no,both X and Y,fast,elusive,fast - slow," "" They're ",both fast and elusive," and like to move around, "" Conn said.",NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
2318,no,between X and Y,live,dead,alive - dead," "" Rival trainers commonly accuse each other of failure to teach dogs to distinguish ",between live and dead, bugs.,ANTONYM,ANTONYM,ERROR,ANTONYM
27804,no,how X or Y,heavy,old,heavy - light, No matter ,how heavy or old," he got, she would never abandon him.",NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
37839,no,both X and Y,right,left,right - wrong, The researchers indicated that although creative thinking and problem solving required ,both right and left," hemisphere functions, the data showed that the creativity measures correlated significantly and positively (from.",IDIOSYNCRATIC,ANTONYM,ANTONYM,ANTONYM
159,no,X and Y,Old,new,new - old, ,Old and new," pressures of the harsh terrain and climate, population growth, poverty, and unemployment exacerbate issues of poverty and environmental degradation.",ANTONYM,ANTONYM,ERROR,ANTONYM
27459,no,neither X nor Y,hopeful,pessimistic,optimistic - pessimistic, My one quibble about Tree of Life is that it's ,neither hopeful nor pessimistic,", but a carefully balanced tension of theses two states of being, much like life.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
17591,no,X rather than Y,left,right,right - wrong," However, most of the available @ @ @ @ @ @ @ @ @ @ preferentially impaired by ",left rather than right, hemisphere lesions.,IDIOSYNCRATIC,ANTONYM,ANTONYM,ANTONYM
16527,no,more X than Y,gray,light,heavy - light," Her hair, ",more gray than light," brown, was pulled back from her face into one long braid, which was coiled at the back of her head.",ERROR,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
365,no,"X, not Y",asleep,drunk,drunk - sober," "" "" Aye, well, I was ","asleep, not drunk",", "" he responded briefly.",NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
47582,no,"X, not Y",masculine,neuter,feminine - masculine," one -- Greek, "" one man ""; ","masculine, not neuter",", namely "" one new man "" in Christ (Ephesians 2:15).",ERROR,ANTONYM,ERROR,ERROR
30651,no,"X, not Y",wrong,mindless,right - wrong, Regulation must be tethered to human judgments about right and ,"wrong, not mindless", legal compliance.,ERROR,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
1371,no,more X than Y,sad,comic,happy - sad," "" His voice is far ",more sad than comic,.,NOT_ANTONYM,ANTONYM,NOT_ANTONYM,NOT_ANTONYM
21650,no,X or Y,BORING,slow,fast - slow, In my opinion it was NOT ,BORING or slow,", or any of the other negative adjectives used by some reviewers.",NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
738,no,from X to Y,hot,oppressive,cold - hot," "" And one time he asked if we were going to go bankrupt "" June goes ",from hot to oppressive,", the heat taking a toll on Rick and his men.",NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
27904,no,more X than Y,serious,old,new - old," No, he did n't have the energy he once had, and he was more susceptible to colds, but the 64-year-old put his fatigue down to nothing ",more serious than old, age.,ERROR,NOT_ANTONYM,ERROR,ERROR
13904,no,X as well as Y,organizational,heavy,heavy - light," For a decade, the foundation has become increasingly involved in ",organizational as well as heavy, financial commitments to the basic education of Dalton-area adults.,ERROR,NOT_ANTONYM,ERROR,ERROR
28144,no,either too X or too Y,small,short,long - short, Noteworthy @ @ @ @ @ @ @ @ @ @ be ,either too small or too short, of capital to undertake big money-guzzling projects.,ERROR,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
