sent_id,class,pattern,X_found,Y_found,pair,context_pre,costr,context_post,antonymous_value_GG,antonymous_value_LS,antonymous_value_LP,majority_vote
10696,yes,X or Y,drunk,sober,drunk - sober," But they are off-limits for motorists, ",drunk or sober,", and that's nirvana enough.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
1509,yes,neither X nor Y,cold,hot,cold - hot," "" I know thy works, that thou art ",neither cold nor hot,: I would thou wert cold or hot.,ERROR,ANTONYM,ERROR,ERROR
34923,yes,whether X or Y,active,passive,active - passive," The aggressor, ",whether active or passive, @ @ @ @ @ @ @ @ @ @ have to be physical.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
36856,yes,neither X nor Y,male,female,female - male, The male nudes function to tempt ,neither male nor female, viewers but to indicate how the witch perceived the devil as attractive.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
44287,yes,"X, not Y",happy,sad,happy - sad," We were some place doing something, nothing special, not ","happy, not sad",", just together like we used to be.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
22807,yes,either X or Y,high,low,high - low, It can be configured to detect ,either high or low, liquid levels and power failures.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
40209,yes,how X or Y,new,old,new - old," These tips will help you get more use out of your laptop, no matter ",how new or old,.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
30239,yes,X and Y,short,long,long - short, Pretty clearly in the USA monetary policy has been aimed to reduce ,short and long, term interest rates and has been very successful at that.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
32368,yes,X rather than Y,dead,alive,alive - dead, So for people like me who have drunkard fathers who just wishes that we were ,dead rather than alive, cause it will be less expensive.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
3765,yes,both X and Y,optimistic,pessimistic,optimistic - pessimistic, (n4) What ,both optimistic and pessimistic," views share, however, is a conventional notion of self-portraiture as a mere reflection of the artist's inner self.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
41432,yes,X as well as Y,wet,dry,dry - wet," This habitat, called the Florida scrub, is a series of sand ridges, which drain water so quickly and thoroughly that they foster a dry-land habitat during ",wet as well as dry, eras.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
13332,yes,X and Y,permanent,temporary,permanent - temporary," Evoking a wise ethnocentrism,'he cheerily imagines a world in which the glorious hodgepodge of inequalities of ethnic groups -- genetic and environmental, ",permanent and temporary, -- can be not only accepted but celebrated.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
42505,yes,between X and Y,private,public,private - public," Thus immutably bound up with others and the material world through which he moves, Komunyakaa closes his dialogue ",between private and public, history.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
41529,yes,X and Y alike,rural,urban,rural - urban," This is a city of transplants, ",rural and urban alike,.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
1769,yes,how X or Y,large,small,large - small," "" It did not matter ",how large or small," the business, it should be good for society as a whole.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
15684,yes,from X to Y,hard,soft,hard - soft," He looked at her, his eyes immediately going ",from hard to soft, as a slight smile raised his lips.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
33415,yes,X and Y,happy,sad,happy - sad, Suddenly ,happy and sad," at the same time, she brings her arm back and throws it, throws it just as far as she can.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
2730,yes,X rather than Y,old,new,new - old," "" The potentials met with are ",old rather than new," because they are the very same potentials that, at the pre-egoic level, constituted the original environment of the ego's existence.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
27039,yes,between X and Y,dry,wet,dry - wet, Moshe Feinstein 2 which differentiates ,between dry and wet, items.,ANTONYM,ANTONYM,ERROR,ANTONYM
6656,yes,either X or Y,urban,rural,rural - urban, American Jewish history suggests not; @ @ @ @ @ @ @ @ @ @ the paramount goal of ,either urban or rural, dwellers.,ERROR,ANTONYM,ERROR,ERROR
16740,yes,both X and Y,alive,dead,alive - dead," Here's a list, including speakers ",both alive and dead,.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
16437,yes,neither X nor Y,long,short,long - short," Her coat, ",neither long nor short,", was a pleasant honey-brown color, tipped with black, pied with white irregularly on her legs, throat, chest, and a stripe down the middle of her face.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
5426,yes,X and Y alike,male,female,female - male," A superb gene pool, ",male and female alike,", maybe the best gene pool in the world when it came to physical appearance.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
36095,yes,X or Y,temporary,permanent,permanent - temporary, The first is the extent to which the civil liberties abuses are ,temporary or permanent,.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
15583,yes,X and Y,optimistic,pessimistic,optimistic - pessimistic," He is both troubled and enlightened, dramatic and comedic, and ",optimistic and pessimistic,.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
18947,yes,both X and Y,old,new,new - old," I love to make reviews and share some records, ",both old and new,.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
44553,yes,between X and Y,masculine,feminine,feminine - masculine," What can be analyzed, nonetheless, is how cultural codes of the period interpret imagination, categorizing it within different schemata, such as the distinctions ",between masculine and feminine, ways of imagining.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
27027,yes,more X than Y,true,false,false - true," Morgan calls him weird, which may be ",more true than false,", and Rumsfeld informed him that Jefferson used the same type of desk.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
26748,yes,either X or Y,dry,wet,dry - wet, Metal deposition uses ,either dry or wet," methods, and, as with the other processes, involves multiple layers of different metals.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
7106,yes,whether X or Y,public,private,private - public," And in whatever way opened, ",whether public or private,", he gave testimony for his faith and the lordship of his Master.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
27123,yes,X rather than Y,rural,urban,rural - urban, Most of the improvement came in ,rural rather than urban," areas, however, while the number of people living in poverty in urban areas actually increased (see Korzeniewicz 1997, table 5; Morley 1995, 134-50).",ANTONYM,ANTONYM,ANTONYM,ANTONYM
37121,yes,both X and Y,male,female,female - male, The negative automatic thought score ranges for ,both male and female, versions are presented in the factor analysis and domain score section.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
11007,yes,both X and Y,good,bad,bad - good," By doing so, he's gored any number of sacred cows, but he's likewise given us a far more realistic sense of what's possible in cyberspace -- ",both good and bad, -- in the years ahead.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
33275,yes,X and Y,minor,major,major - minor, Students of ,minor and major, seminaries are aspirants to the priesthood.,ANTONYM,ANTONYM,IDIOSYNCRATIC,ANTONYM
40172,yes,more X than Y,cold,hot,cold - hot, These rules are that military operations be confined to Shebaa Farms and that the war remains ,more cold than hot,.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
33881,yes,X rather than Y,bad,good,bad - good," That is true, but that only takes away from its perfection if its over-all state is ",bad rather than good,.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
1152,yes,whether X or Y,good,bad,bad - good," "" For we must all appear before the judgment seat of Christ, that each one may be recompensed for his deeds in the body, according to what he has done, ",whether good or bad,.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
27176,yes,X as well as Y,private,public,private - public, Most states have imposed minimum academic standards on ,private as well as public, schools.,ANTONYM,ANTONYM,IDIOSYNCRATIC,ANTONYM
23408,yes,how X or Y,good,bad,bad - good, It is much easier to say ,how good or bad, Tony Romo is or babble incessantly about Tim Tebow.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
46810,yes,both X and Y,true,false,false - true," Your brain is responsible for most of your feelings, ",both true and false,.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
31095,yes,neither X nor Y,dead,alive,alive - dead, Schrdinger's cat is ,neither dead nor alive, unless we obtain information about her state.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
38520,yes,neither X nor Y,old,new,new - old," The term annoys me, for to us who lived then't was ",neither old nor new,", but simply the world-our world.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
20931,yes,both X and Y,urban,rural,rural - urban, In ,both urban and rural," spheres, Kiwis seem truly nice.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
28978,yes,"X, not Y",new,old,new - old," One should note, though, that McNealy's other sport is hockey, and computer money is ","new, not old",.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
33046,yes,X or Y,large,small,large - small, Spider webs may be ,large or small,"; single-line or muitiline; sheets, funnels, orbs, and many other shapes; sticky or nonsticky -- a kaleidoscope of different designs for catching insects.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
10408,yes,"X, not Y",public,private,private - public, But radio and television in west Germany - which is the system the east Germans must adopt - are primarily ,"public, not private",", and have a structure all their own.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
5618,yes,either too X or too Y,large,small,large - small," According to the 2010 census, there are 5912 people over 18 in San Miguel (which is ",either too large or too small, today).,ANTONYM,ANTONYM,ANTONYM,ANTONYM
22886,yes,from X to Y,poor,rich,poor - rich," It did not address many key issues, such as the world economic system and the problem of financial flows ",from poor to rich, countries.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
8158,yes,either X or Y,permanent,temporary,permanent - temporary," As an orthopedic surgeon, I see patients on a daily basis whose livelihood and quality of life depend upon receiving an implanted orthopedic device, ",either permanent or temporary,.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
36979,yes,whether X or Y,hot,cold,cold - hot," The military/security complex makes billions of dollars in profits from wars, ",whether hot or cold,.,ANTONYM,ANTONYM,IDIOSYNCRATIC,ANTONYM
22009,yes,either X or Y,right,wrong,right - wrong," In the first grade there is little room for divergent thinking, so life boils down to being ",either right or wrong,.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
1059,yes,between X and Y,happy,sad,happy - sad," "" Dyszuk urges parents and kids to explore words like frustrated, nervous and uncomfortable -- after all, there is a wide range of emotions ",between happy and sad,.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
11585,yes,either X or Y,male,female,female - male, Colonies are composed entirely of ,either male or female, polyps.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
14884,yes,more X than Y,passive,active,active - passive, Goodlad (1983) and Sizer (1984) reported that typical classes in all middle school subjects emphasized ,more passive than active, learning and more attention to teaching strategies than to learning strategies.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
749,yes,X rather than Y,hot,cold,cold - hot," "" And they are dead wrong about the idea that favoring ",hot rather than cold, stations will introduce a warm bias into the global temperature anomaly record.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
9091,yes,both X and Y,sad,happy,happy - sad," Because she looks nice, the p2 4 collar part makes me ",both sad and happy,", the way I feel when a timid fat girl tries on a new skirt and smooths out her hips.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
26365,yes,X rather than Y,false,true,false - true," Many desires are only for a seeming good and some goods of order, when looked at from a larger purview are a source of disorder, and some values are ",false rather than true,.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
22275,yes,either X or Y,public,private,private - public," Incentives are important, but well run systems in ",either public or private, channels are critical to deliver the correct medicine to the patient that needs it.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
20751,yes,more X than Y,good,bad,bad - good," If you look at Howard County for the past several years, there is a lot ",more good than bad,.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
20288,yes,between X and Y,old,new,new - old, If for Gehry there is no conflict ,between old and new,", there is some conflict for the Basques trying to recast Basque cultural identity in terms of industries of art and communication.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
17672,yes,between X and Y,urban,rural,rural - urban," However, there is a large variation ",between urban and rural," areas, where health services are particularly poor.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
25203,yes,whether X or Y,long,short,long - short," Its waves, ",whether long or short,", can shift to be longer or shorter.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
2351,yes,"X, not Y",cold,hot,cold - hot," "" She felt the hand holding hers, and it was smooth like a piece of marble, not ","cold, not hot",", not sweaty, but perfect.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
41456,yes,X and Y alike,poor,rich,poor - rich," This heightened sense of the security dilemma prompted the Middle Eastern countries, ",poor and rich alike,", to borrow money to satisfy their growing appetite for advanced weapons.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
33901,yes,both X and Y,soft,hard,hard - soft," That is, Mary's messages contain ",both soft and hard, aspects.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
6526,yes,both X and Y,wet,dry,dry - wet, Although mercury deposition can occur in ,both wet and dry," forms, EPA has concluded that deposition through precipitation is the primary means of transport between the atmosphere and the Earth's surface.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
30629,yes,from X to Y,rural,urban,rural - urban," Regardless of the abundance of imported cheap rice, the sprawling slums continue to be tied to a history of food vulnerability and population movements ",from rural to urban, areas in search of survival.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
34373,yes,X and Y,wet,dry,dry - wet, The @ @ @ @ @ @ @ @ @ @ ,wet and dry,.,ERROR,ANTONYM,ERROR,ERROR
4182,yes,X or Y,short,long,long - short," 1895), having lost his father at an early age, consequently followed his mother as @ @ @ @ @ @ @ @ @ @ lent elsewhere as a hired hand for ",short or long, periods of time.,ERROR,ANTONYM,ERROR,ERROR
35526,yes,both X and Y,short,long,long - short, The company has been performing poorly ,both short and long," term but year after year the CEO "" -- W.",ERROR,ANTONYM,IDIOSYNCRATIC,DISAGREEMENT
12153,yes,either X or Y,long,short,long - short," Depending upon the length of time and resources available, this disciplined study period might be ",either long or short,.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
36224,yes,the very X and the very Y,rich,poor,poor - rich, The gap between ,the very rich and the very poor, is growing.,IDIOSYNCRATIC,ANTONYM,IDIOSYNCRATIC,IDIOSYNCRATIC
11469,yes,X rather than Y,active,passive,active - passive," Citizens are positioned in governmental discourses, therefore, as ",active rather than passive, subjects of governance.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
22805,yes,from X to Y,easy,difficult,difficult - easy, It can be beneficial for organizing reading materials ,from easy to difficult, with a gradual increase of word and sentence length.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
14324,yes,neither X nor Y,passive,active,active - passive, For whatever reason ,neither passive nor active, distributed energy systems have taken off in the U.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
19009,yes,either X or Y,hard,soft,hard - soft," I never tried it but from the picture, it is ",either hard or soft," candy and the flavor is probably chocolate, black sesame or coffee.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
20606,yes,X as opposed to Y,good,bad,bad - good, If we assume that routine visits to the doctor and dentist are indicators of ,good as opposed to bad," health, the results show black children to be in good health.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
4053,yes,X and Y,light,heavy,heavy - light, // There were ,light and heavy," rifles standing upright behind glass in the mahogany gun cabinet, and an empty slot where a double-barreled shotgun had fitted.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
8225,yes,X as well as Y,small,large,large - small, As he did so it struck him that he had begun to imitate the behavior of his wife in ,small as well as large, matters.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
48660,yes,X and Y alike,new,old,new - old,"0 software for use on all iPhones, an incredible amount of new functionality is introduced to the millions of users ",new and old alike,.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
6362,yes,X or Y,good,bad,bad - good, Also like you and I what is posted can and normally will get its own response back ,good or bad,.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
6530,yes,between X and Y,small,large,large - small, Although national and district level plans suggest slight differences in building densities ,between small and large," Arab localities, nevertheless local outline plans apply the same building densities, which effectively convert the villages into urban localities.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
33529,yes,both X and Y,major,minor,major - minor, Symptom scores for ,both major and minor," symptoms indicated that nine patients had improved following antileukotriene therapy; three other patients reported some overall benefit from therapy, despite no improvement in their symptom scores.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
29984,yes,either too X or too Y,long,short,long - short, Photograph // If a shade you like seems ,either too long or too short,", a few tricks can change where it falls on the base.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
22909,yes,X or Y,happy,sad,happy - sad, It does n't matter if the ending is ,happy or sad,.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
45169,yes,between X and Y,fast,slow,fast - slow," When you introduce this new movement, it helps him distinguish ",between fast and slow,.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
551,yes,either X or Y,true,false,false - true," "" 89 For Lindbeck doctrines need @ @ @ @ @ @ @ @ @ @ affirm nothing ",either true or false, regarding the world in which language is used.,ANTONYM,ANTONYM,ERROR,ANTONYM
4437,yes,neither X nor Y,high,low,high - low," <br> "" Sato Kenji, "" he said, his voice ",neither high nor low,", but cultured, clipped, quiet.",,ANTONYM,ANTONYM,ANTONYM
9826,yes,"X, not Y",active,passive,active - passive, But I think it also has to be deliberate; something that's ,"active, not passive",.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
32104,yes,X or Y,dead,alive,alive - dead," Since Grandpa is n't coming home, send the young man to Germany to find him -- ",dead or alive,.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
