sent_id;class;pattern;X_found;Y_found;pair;context_pre;costr;context_post;antonymous_value
20454;no;either X or Y;major;potential;major - minor; I have no idea why Watson is trying to pass of these tweets as ;either major or potential; terrorist threats.;
13742;no;from X to Y;healthy;dead;alive - dead; During the mid-1980s, as gay men watched their friends go ;from healthy to dead;" in weeks, the "" condom code "" took over, and even in the baths condom use became the expected norm.";
2834;no;from X to Y;sad;forceful;happy - sad;" "" She wiped the tears from her face, going ";from sad to forceful; @ @ @ @ @ @ @ @ @ @ and marched to the phone.;
37177;no;X as well as Y;educational;easy;difficult - easy; Thanks for giving the informative, healthy, ;educational as well as easy; guidance on this topic to Ethel.;
4728;no;more X than Y;pressing;hot;cold - hot; 11 and the Afghan war to causes ;more pressing than hot; tubs and new massage studios.;
28441;no;how X or Y;poor;middle;poor - rich; Let's examine six crucial differences between how rich people think and ;how poor or middle; class people think.;
30911;no;from X to Y;small;grand;large - small; Not exactly, and once again there's proof that appearances are deceiving in this visually stimulating book of cleverly related 1950s-style images, constantly zooming ;from small to grand; and from staged to real.;
14835;no;X or Y;rural;suburban;rural - urban; Fewer young people say they wish to return to a ;rural or suburban; community now than ever.;
31032;no;either too X or too Y;small;short;long - short; Noteworthy @ @ @ @ @ @ @ @ @ @ be ;either too small or too short; of capital to undertake big money-guzzling projects.;
15081;no;between X and Y;deep;slow;fast - slow; Fluctuate ;between deep and slow; penetration and quick yet shallow movements where just the tip of his penis enters you.;
23704;no;whether X or Y;living;dead;alive - dead; In other words, anthropometry means the measurement of human beings, ;whether living or dead; or on skeletal material.;
4430;no;from X to Y;governmental;private;private - public; * Globally, this means a transition ;from governmental to private; ownership of airlines, railroads, water, and electricity.;
13489;no;how X or Y;justified;good;bad - good; Do n't just keep doing more of the same, no matter ;how justified or good; it seems.;
37114;no;either too X or too Y;warm;cold;cold - hot; Temperatures fluctuate wildly, and you're often ;either too warm or too cold;.;
23595;no;either X or Y;urban;suburban;rural - urban; In line with this finding, those respondents who had taught in ;either urban or suburban; areas also had more significant multicultural experiences than those who had taught in rural areas.;
36781;no;X, not Y;irrelevant;wrong;right - wrong;" Such work is "" unprofessional "" and therefore ";irrelevant, not wrong;"; it would only be relevant if it misused the latest statistical techniques.";
49980;no;X or Y;masculine;sexier;feminine - masculine;" While I make some exceptions (I've been with 2 "" downlow "" black guys, it was nothing special) I do n't find blacks more ";masculine or sexier;.;
1433;no;more X than Y;common;false;false - true;" "" False negatives (being told your Pap is normal when it's not) are far ";more common than false; positives (being told your Pap is @ @ @ @ @ @ @ @ @ @.;
34040;no;X and Y alike;retired;active;active - passive; Rumsfeld, other senior officers, ;retired and active alike;, had to be promised anonymity before they would discuss their own views of why the criticism of him was mounting.;
46191;no;X rather than Y;hot;spiced;cold - hot; This pepper-rich brew is thick, ultra-meaty and lip- searingly ;hot rather than spiced; with a complex mix.;
26542;no;X and Y;cold;wet;dry - wet; It was early March, ;cold and wet;.;
9106;no;either X or Y;public;personal;private - public; As long as people continue to exploit these big cats for entertainment - ;either public or personal; - the situation will not change.;
25101;no;either X or Y;casual;fast;fast - slow; It had to be something in ;either casual or fast; food or specialty.;
3419;no;both X and Y;fast;elusive;fast - slow;" "" They're ";both fast and elusive;" and like to move around, "" Conn said.";
48572;no;X as well as Y;active;thoughtful;active - passive; We need an ;active as well as thoughtful; president.;
23594;no;X and Y;public;famous;private - public; In light of Frmont's many ;public and famous; accomplishments, the court recommended clemency and, taking this cue, Polk reinstated him.;
44510;no;neither X nor Y;living;dead;alive - dead; They are the Nazgul, Ringwraiths, ;neither living nor dead;.;
32622;no;X and Y;small;rural;rural - urban; Parishes without resident priests, the majority of them ;small and rural;, prize community.;
10083;no;X or Y;false;negative;false - true; Before they even started persecuting the Jews they showed ;false or negative; images about the Jews to help them justify the actions that they did, so I feel that in L.;
667;no;both X and Y;tough;soft;hard - soft;" "" "" I'm ";both tough and soft;", "" says Eve, whose real name is Eve Jihan Jeffers and who says her toughness comes from her mother.";
13192;no;between X and Y;big;small;large - small; Decide on one somewhere in ;between big and small;, with a fine point at the tip.;
42914;no;X, not Y;didactic;fast;fast - slow; The writing is a bit dry, even ;didactic, not fast; food reading, but worth the time.;
6275;no;X or Y;moderate;low;high - low; According to Blair and Conforti, application occurred weekly during times of high disease pressure, and biweekly during ;moderate or low; disease pressure periods.;
32862;no;X and Y;major;supporting;major - minor; Percentage of critical points provided an index of the percentage of ;major and supporting; points presented in the lecture that were included in the students'notes.;
20018;no;how X or Y;significant;permanent;permanent - temporary; I do n't know ;how significant or permanent; it is, but I've been very distressed by that fact.;
24566;no;more X than Y;active;younger;active - passive; Interestingly, it shows that older House members are ;more active than younger; House members who have left office.;
44829;no;either too X or too Y;young;old;new - old; They like to smother people who ca n't defend themselves because they're ;either too young or too old; or incapacitated for some other reason.;
2759;no;between X and Y;live;dead;alive - dead;" "" Rival trainers commonly accuse each other of failure to teach dogs to distinguish ";between live and dead; bugs.;
4257;no;X rather than Y;snarky;good;bad - good; (You're absolutely right that my earlier definitions were ;snarky rather than good;", on a level with "" rockets and chemicals, "" and I apologize.";
4829;no;the very X and the very Y;old;young;new - old; 2) The ignorant and deceived (mostly ;the very old and the very young;) who watch too much liberal TV.;
1461;no;X or Y;major;primary;major - minor;" "" For example, the still lifes are almost always complex arrangements containing a ";major or primary; still life and one or more secondary still lifes within the same painting.;
13354;no;either too X or too Y;passive;pushy;active - passive; Develop methods for being assertive, without being ;either too passive or too pushy;.;
19879;no;both X and Y;Catholic;public;private - public; I chose ;both Catholic and public; schools for my children.;
17329;no;X rather than Y;empty;dead;alive - dead; He shook brown and withered leaves from bushes and trees so that they would appear only ;empty rather than dead;.;
1517;no;X and Y;hearted;optimistic;optimistic - pessimistic;" "" HINT: For some Brothers, nothing is more refreshing than a kind-";hearted and optimistic; woman, according to actor Hill Harper, co-star of television's CSI: NY.;
11590;no;X, not Y;indefinite;temporary;permanent - temporary; But the reduction would be ;indefinite, not temporary;.;
53125;no;X rather than Y;female;black;female - male;'in which the Sidney Poitier character was ;female rather than black;, but an *OK* woman because of her many achievements and general social acceptability.;
5002;no;between X and Y;true;professed;false - true;" 61 The situation was similar to that in Eastern Europe before 1989; the dramatic divergence ";between true and professed; beliefs threatens a huge and uncontrollable explosion.;
28725;no;X or Y;left;right;right - wrong; Locklear has not surrendered a sack in his 542 snaps at ;left or right;" tackle over 32 quarters; Diehl has allowed five sacks in 12-plus quarters at right tackle.";
3906;no;X and Y;young;small;large - small;" "" You wait 30 days to get your money back, but if you're ";young and small; in the business, you've already spent that money on your fabric and labor.;
17557;no;X and Y;masculine;desirable;feminine - masculine; He was far too ;masculine and desirable;, devil take him.;
15999;no;X, not Y;squishy;hard;hard - soft; Geneticists tend to see behavioral research as ;squishy, not hard; science.;
252;no;X or Y;OPTImistic;pessimistic;optimistic - pessimistic; ;OPTImistic or pessimistic;?;
39463;no;between X and Y;local;long;long - short; The distinction ;between local and long; distance service has been abol-ished by ever cheaper mobile phone service, now commonly available for less than ten cents a minute, and headed lower as wireless technology improves.;
14360;no;X as well as Y;abs;slow;fast - slow; Every meal should include lean protein, so that your body wo n't need to break down your muscles for fuel, which would shrink your ;abs as well as slow; down your metabolism.;
28543;no;X and Y;plump;short;long - short; Like Isabella, our brother, Juan, and, to some extent, Maria, Catalina resembled our mother: ;plump and short;, with beautiful pale skin and fair hair, and eyes the color of the sea.;
4466;no;whether X or Y;visiting;permanent;permanent - temporary; *** Some of the work we do at the Stepfamily Foundation is defining exactly what the job descriptions are for each member of the household and each child ;whether visiting or permanent;.;
22489;no;both X and Y;true;untrue;false - true; If the street is busy with cars speeding back and forth, it is not ;both true and untrue; that I can safely step into traffic.;
8522;no;neither X nor Y;wrong;cowardly;right - wrong; Anonymity or the use of a pseudonym is ;neither wrong nor cowardly; but can be useful and is, regardless, any author's perogative.;
5366;no;X or Y;young;old;new - old; @ @ @ @ @ @ @ @ @ @ is that it cares not whether you are ;young or old;.;
17184;no;X, not Y;alive;sick;alive - dead; He overdid it a bit, but I @ @ @ @ @ @ @ @ @ @ ;alive, not sick;, and not in too much trouble.;
14718;no;X or Y;temporary;transitional;permanent - temporary; Far from being a ;temporary or transitional; stage, it appears that many countries are settling into a form of government that mixes a substantial degree of democracy with a substantial degree of illiberalism.;
11908;no;whether X or Y;blithe;sad;happy - sad; But, ;whether blithe or sad;,'t is my belief His absent Brother still was at his heart.;
24301;no;either X or Y;sad;depressed;happy - sad; Indeed I am often down, feeling ;either sad or depressed;, and acting differently will indeed make me feel much much better.;
37346;no;between X and Y;young;old;new - old; That is, I am using synchronic variability ;between young and old; families to approximate the actual dynamic change of a polygynous family as it grows and matures.;
44859;no;more X than Y;profitable;good;bad - good; They make intransigence ;more profitable than good; behavior.;
52504;no;either X or Y;permanent;transitional;permanent - temporary; s Homeless Assistance Programs, supportive housing includes both transitional and permanent supportive housing programs, as well as Safe Havens, which can function as ;either permanent or transitional; housing.;
35737;no;X and Y;new;creative;new - old; So the answer must be that we use already existing people who are living in these communities - in ;new and creative; ways.;
31247;no;either X or Y;bewildered;pessimistic;optimistic - pessimistic; Now, less than a week before it is required to send a report on its findings to Congress, several of the congressional appointees sound ;either bewildered or pessimistic;.;
9073;no;X, not Y;real;true;false - true; As if the comfortable life of the'burbs is somehow fraudulent, false, not ;real, not true;, etc.;
649;no;both X and Y;sweet;high;high - low;" "" "" Fifteen dollars, daddy, "" she said in a voice ";both sweet and high;.;
41728;no;X rather than Y;rich;stolid;poor - rich; The resulting textures are ;rich rather than stolid;, and though Boccherini's melodic invention is less than profound, the music is intricately crafted and rhythmically appealing.;
