class	pattern	X_found	Y_found	pair	query	sent_id	context_pre	costr	context_post	text
no	whether X or Y	blithe	sad	happy - sad	whether (?!happy)(\b\w+) or (\bsad)	10905	 But, 	whether blithe or sad	,'t is my belief His absent Brother still was at his heart.	 But,  whether blithe or sad ,'t is my belief His absent Brother still was at his heart.
no	between X and Y	masculine	neutral	feminine - masculine	between (\bmasculine) and (?!feminine)(\b\w+)	36921	 The means of action sports indicated that these were seen as in 	between masculine and neutral	 sports identified in this study and in previous studies.	 The means of action sports indicated that these were seen as in  between masculine and neutral  sports identified in this study and in previous studies.
no	X or Y	floppy	hard	hard - soft	(?!soft)(\b\w+) or (\bhard)	9473	 Boot sector virus Affects the section of a 	floppy or hard	 disk that contains operating system and file information.	 Boot sector virus Affects the section of a  floppy or hard  disk that contains operating system and file information.
no	either X or Y	great	small	large - small	either (?!large)(\b\w+) or (\bsmall)	40109	 These movements can be 	either great or small	, and are displayed in an accompanying navigation window, allowing for either fine- or gross-scrolling.	 These movements can be  either great or small , and are displayed in an accompanying navigation window, allowing for either fine- or gross-scrolling.
no	whether X or Y	living	dead	alive - dead	whether (?!alive)(\b\w+) or (\bdead)	21715	 In other words, anthropometry means the measurement of human beings, 	whether living or dead	 or on skeletal material.	 In other words, anthropometry means the measurement of human beings,  whether living or dead  or on skeletal material.
no	between X and Y	warm	cold	cold - hot	between (?!hot)(\b\w+) and (\bcold)	15333	 He discusses at length the quick and random changes 	between warm and cold	" that the Earth's climate sustained, and the notion that some sort of "" switch "" may have controlled these changes."	" He discusses at length the quick and random changes  between warm and cold  that the Earth's climate sustained, and the notion that some sort of "" switch "" may have controlled these changes."
no	either X or Y	drunk	flying	drunk - sober	either (\bdrunk) or (?!sober)(\b\w+)	45795	 Wish I could have appreciated the country side, but I was 	either drunk or flying	 crewchief/doorgun on a Huey.	 Wish I could have appreciated the country side, but I was  either drunk or flying  crewchief/doorgun on a Huey.
no	X or Y	short	weak	long - short	(\bshort) or (?!long)(\b\w+)	21345	 In combination, these institutions are rather like a three-legged stool, in that any one 	short or weak	 leg seriously reduces the stability of the stool.	 In combination, these institutions are rather like a three-legged stool, in that any one  short or weak  leg seriously reduces the stability of the stool.
no	both X and Y	minor	serious	major - minor	both (\bminor) and (?!major)(\b\w+)	39549	 There is mounting evidence that religious involvement may lower the risks of a broad range of delinquent behaviors, including 	both minor and serious	 forms of criminal behavior.	 There is mounting evidence that religious involvement may lower the risks of a broad range of delinquent behaviors, including  both minor and serious  forms of criminal behavior.
no	X or Y	pleasant	optimistic	optimistic - pessimistic	(?!pessimistic)(\b\w+) or (\boptimistic)	17198	 His view of humanity is not often 	pleasant or optimistic	, but then the world is full.	 His view of humanity is not often  pleasant or optimistic , but then the world is full.
no	not X, but Y	fast	basic	fast - slow	not (\bfast), but (?!slow)(\b\w+)	24030	 It was 	not fast, but basic	 design elements like round headlamps and a engine in the rear made their way to Porsche's next car.	 It was  not fast, but basic  design elements like round headlamps and a engine in the rear made their way to Porsche's next car.
no	either X or Y	easy	enjoyable	difficult - easy	either (\beasy) or (?!difficult)(\b\w+)	44121	 We need to claim these feelings of obligation, to acknowledge them as part of us, and reject the implication that our true selves only impel us toward what is 	either easy or enjoyable	.	 We need to claim these feelings of obligation, to acknowledge them as part of us, and reject the implication that our true selves only impel us toward what is  either easy or enjoyable .
no	either too X or too Y	poor	busy	poor - rich	either too (\bpoor) or too (?!rich)(\b\w+)	2027	" "" Look at it this way: being happy and fulfilled are the very things that I think I'm doomed to be "	either too poor or too busy	 to ever have.	" "" Look at it this way: being happy and fulfilled are the very things that I think I'm doomed to be  either too poor or too busy  to ever have."
no	X as well as Y	Russian	good	bad - good	(?!bad)(\b\w+) as well as (\bgood)	33151	 Stevens, who already speaks fluent Korean and 	Russian as well as good	 Japanese, Spanish and German, is leaving this weekend for a summer at a university in South Korea.	 Stevens, who already speaks fluent Korean and  Russian as well as good  Japanese, Spanish and German, is leaving this weekend for a summer at a university in South Korea.
no	X and Y	open	public	private - public	(?!private)(\b\w+) and (\bpublic)	39015	 Their efforts must be guided by cooperation, solid scientific study, 	open and public	 discussions - and, key to the entire process, by thorough and sound community planning.	 Their efforts must be guided by cooperation, solid scientific study,  open and public  discussions - and, key to the entire process, by thorough and sound community planning.
no	X and Y	residential	urban	rural - urban	(?!rural)(\b\w+) and (\burban)	41817	 This means instructing the computer to do various things that should promote business as well as 	residential and urban	 development while facing difficulties like fires, earthquakes, population fluctuations, and downturns in the business cycle.	 This means instructing the computer to do various things that should promote business as well as  residential and urban  development while facing difficulties like fires, earthquakes, population fluctuations, and downturns in the business cycle.
no	not X, but Y	right	almighty	right - wrong	not (\bright), but (?!wrong)(\b\w+)	35490	" The columnist Ming Xing answered, "" Ling, the way you went about hurting the feelings of others is "	not right, but almighty	 God will forgive you.	" The columnist Ming Xing answered, "" Ling, the way you went about hurting the feelings of others is  not right, but almighty  God will forgive you."
no	between X and Y	hard	easy	hard - soft	between (\bhard) and (?!soft)(\b\w+)	2845	" "" There's more of a distinction "	between hard and easy	" days in triathlon than there is in cycling, "" explains Jacobson."	" "" There's more of a distinction  between hard and easy  days in triathlon than there is in cycling, "" explains Jacobson."
no	neither X nor Y	easy	cheap	difficult - easy	neither (\beasy) nor (?!difficult)(\b\w+)	11765	 Consumer-health advocates are hoping that once trans-fat numbers start appearing on labels, the food industry will be forced to reformulate their products, a process that is 	neither easy nor cheap	.	 Consumer-health advocates are hoping that once trans-fat numbers start appearing on labels, the food industry will be forced to reformulate their products, a process that is  neither easy nor cheap .
no	X rather than Y	reasonable	hard	hard - soft	(?!soft)(\b\w+) rather than (\bhard)	430	" "" "" Things change "" Kelsey fought to keep her tone "	reasonable rather than hard	.	" "" "" Things change "" Kelsey fought to keep her tone  reasonable rather than hard ."
no	X and Y	sustainable	major	major - minor	(?!minor)(\b\w+) and (\bmajor)	2976	" "" This situation is globally non-"	sustainable and major	 ecological and economic damage is already visible.	" "" This situation is globally non- sustainable and major  ecological and economic damage is already visible."
no	either X or Y	public	personal	private - public	either (\bpublic) or (?!private)(\b\w+)	8270	 As long as people continue to exploit these big cats for entertainment - 	either public or personal	 - the situation will not change.	 As long as people continue to exploit these big cats for entertainment -  either public or personal  - the situation will not change.
no	how X or Y	significant	permanent	permanent - temporary	how (?!temporary)(\b\w+) or (\bpermanent)	18234	 I do n't know 	how significant or permanent	 it is, but I've been very distressed by that fact.	 I do n't know  how significant or permanent  it is, but I've been very distressed by that fact.
no	either too X or too Y	high	sweet	high - low	either too (\bhigh) or too (?!low)(\b\w+)	1335	" "" Her voice was clear but warm and n"	either too high or too sweet	.	" "" Her voice was clear but warm and n either too high or too sweet ."
no	from X to Y	healthy	dead	alive - dead	from (?!alive)(\b\w+) to (\bdead)	12583	 During the mid-1980s, as gay men watched their friends go 	from healthy to dead	" in weeks, the "" condom code "" took over, and even in the baths condom use became the expected norm."	" During the mid-1980s, as gay men watched their friends go  from healthy to dead  in weeks, the "" condom code "" took over, and even in the baths condom use became the expected norm."
no	either X or Y	old	harmless	new - old	either (\bold) or (?!new)(\b\w+)	15317	 He did n't look 	either old or harmless	 to me.	 He did n't look  either old or harmless  to me.
no	X and Y	high	dry	dry - wet	(?!wet)(\b\w+) and (\bdry)	12364	 Do n't overwater - the key here is 	high and dry	.	 Do n't overwater - the key here is  high and dry .
no	how X or Y	rickety	short	long - short	how (?!long)(\b\w+) or (\bshort)	18522	 I had an overwhelming desire to construct a small metropolis, no matter 	how rickety or short	 -- lived, no matter how cheap the materials.	 I had an overwhelming desire to construct a small metropolis, no matter  how rickety or short  -- lived, no matter how cheap the materials.
no	more X than Y	pressing	hot	cold - hot	more (?!cold)(\b\w+) than (\bhot)	4120	 11 and the Afghan war to causes 	more pressing than hot	 tubs and new massage studios.	 11 and the Afghan war to causes  more pressing than hot  tubs and new massage studios.
no	more X than Y	active	younger	active - passive	more (\bactive) than (?!passive)(\b\w+)	22558	 Interestingly, it shows that older House members are 	more active than younger	 House members who have left office.	 Interestingly, it shows that older House members are  more active than younger  House members who have left office.
no	X rather than Y	empty	dead	alive - dead	(?!alive)(\b\w+) rather than (\bdead)	15900	 He shook brown and withered leaves from bushes and trees so that they would appear only 	empty rather than dead	.	 He shook brown and withered leaves from bushes and trees so that they would appear only  empty rather than dead .
no	X and Y alike	retired	active	active - passive	(?!passive)(\b\w+) and (\bactive) alike	30956	 Rumsfeld, other senior officers, 	retired and active alike	, had to be promised anonymity before they would discuss their own views of why the criticism of him was mounting.	 Rumsfeld, other senior officers,  retired and active alike , had to be promised anonymity before they would discuss their own views of why the criticism of him was mounting.
no	between X and Y	good	great	bad - good	between (\bgood) and (?!bad)(\b\w+)	42736	 To go that little distance 	between good and great	?	 To go that little distance  between good and great ?
no	both X and Y	hopeless	optimistic	optimistic - pessimistic	both (?!pessimistic)(\b\w+) and (\boptimistic)	21082	 In Way's (1998) study, adolescents held 	both hopeless and optimistic	 views when they anticipated their futures.	 In Way's (1998) study, adolescents held  both hopeless and optimistic  views when they anticipated their futures.
no	X rather than Y	reactive	active	active - passive	(?!passive)(\b\w+) rather than (\bactive)	43326	 Unlike men, women's patterns of socialization and education emphasized compliance and passivity, attributes bolstered by contemporary perceptions of femininity which presented women as non-threatening, 	reactive rather than active	.	 Unlike men, women's patterns of socialization and education emphasized compliance and passivity, attributes bolstered by contemporary perceptions of femininity which presented women as non-threatening,  reactive rather than active .
no	X and Y	confident	optimistic	optimistic - pessimistic	(?!pessimistic)(\b\w+) and (\boptimistic)	10329	 But most of the time, he was 	confident and optimistic	, your basic nice guy.	 But most of the time, he was  confident and optimistic , your basic nice guy.
no	between X and Y	difficult	impossible	difficult - easy	between (\bdifficult) and (?!easy)(\b\w+)	2210	" "" Our personal experience is that research that may show the superiority of a single payer system is somewhere "	between difficult and impossible	" to fund, "" Himmelstein said."	" "" Our personal experience is that research that may show the superiority of a single payer system is somewhere  between difficult and impossible  to fund, "" Himmelstein said."
no	X, not Y	damp	dry	dry - wet	(?!wet)(\b\w+), not (\bdry)	47359	" in "" slightly moist peat moss - not "	damp, not dry	", "" says Stokes."	" in "" slightly moist peat moss - not  damp, not dry , "" says Stokes."
no	X and Y	large	strong	large - small	(\blarge) and (?!small)(\b\w+)	1361	" "" His hands were "	large and strong	, an asset for his chosen career.	" "" His hands were  large and strong , an asset for his chosen career."
no	X and Y	musical	feminine	feminine - masculine	(?!masculine)(\b\w+) and (\bfeminine)	573	" "" <p> Monica's laughter was "	musical and feminine	, yet I heard a note of cruelty dancing beneath it.	" "" <p> Monica's laughter was  musical and feminine , yet I heard a note of cruelty dancing beneath it."
no	X rather than Y	realistic	pessimistic	optimistic - pessimistic	(?!optimistic)(\b\w+) rather than (\bpessimistic)	23147	 It is 	realistic rather than pessimistic	 because pessimism is expecting things to be bad.	 It is  realistic rather than pessimistic  because pessimism is expecting things to be bad.
no	X or Y	rich	richer	poor - rich	(\brich) or (?!poor)(\b\w+)	48024	 where any man, 	rich or richer	, is giving any bar wench in any of those dives $100 drink tips and telling her to keep it.	 where any man,  rich or richer , is giving any bar wench in any of those dives $100 drink tips and telling her to keep it.
no	how X or Y	big	small	large - small	how (?!large)(\b\w+) or (\bsmall)	47780	 t matter 	how big or small	 the lie is, it just shouldn?	 t matter  how big or small  the lie is, it just shouldn?
no	X as well as Y	happy	healthy	happy - sad	(\bhappy) as well as (?!sad)(\b\w+)	10850	 But which of these meals will keep a guy 	happy as well as healthy	?	 But which of these meals will keep a guy  happy as well as healthy ?
no	X and Y	blond	short	long - short	(?!long)(\b\w+) and (\bshort)	25868	 Like Daphne, Agatha and Piper were 	blond and short	.	 Like Daphne, Agatha and Piper were  blond and short .
no	whether X or Y	visiting	permanent	permanent - temporary	whether (?!temporary)(\b\w+) or (\bpermanent)	3872	 *** Some of the work we do at the Stepfamily Foundation is defining exactly what the job descriptions are for each member of the household and each child 	whether visiting or permanent	.	 *** Some of the work we do at the Stepfamily Foundation is defining exactly what the job descriptions are for each member of the household and each child  whether visiting or permanent .
no	both X and Y	infuriating	sad	happy - sad	both (?!happy)(\b\w+) and (\bsad)	23098	 It is 	both infuriating and sad	 at the same time.	 It is  both infuriating and sad  at the same time.
no	not X, but Y	human	alive	alive - dead	not (?!dead)(\b\w+), but (\balive)	32788	" Some psychologists suspect that people will come to view learning robots, or "" growbots, "" as a new kind of social partner - "	not human, but alive	 in some respects.	" Some psychologists suspect that people will come to view learning robots, or "" growbots, "" as a new kind of social partner -  not human, but alive  in some respects."
no	X or Y	temporary	transient	permanent - temporary	(\btemporary) or (?!permanent)(\b\w+)	30145	" Political Supeilrend: "" CyberMobbing "" The emergence of Web communities, "" smart mobbing, "" and "" swarm "" advocacy are spawning "	temporary or transient	 political entities that outflank traditional channels and methods of influence.	" Political Supeilrend: "" CyberMobbing "" The emergence of Web communities, "" smart mobbing, "" and "" swarm "" advocacy are spawning  temporary or transient  political entities that outflank traditional channels and methods of influence."
no	how X or Y	poor	middle	poor - rich	how (\bpoor) or (?!rich)(\b\w+)	25791	 Let's examine six crucial differences between how rich people think and 	how poor or middle	 class people think.	 Let's examine six crucial differences between how rich people think and  how poor or middle  class people think.
no	between X and Y	hidden	public	private - public	between (?!private)(\b\w+) and (\bpublic)	22222	 In this situation, the delineation 	between hidden and public	 transcripts was not so distinct.	 In this situation, the delineation  between hidden and public  transcripts was not so distinct.
no	both X and Y	fast	elusive	fast - slow	both (\bfast) and (?!slow)(\b\w+)	2915	" "" They're "	both fast and elusive	" and like to move around, "" Conn said."	" "" They're  both fast and elusive  and like to move around, "" Conn said."
no	between X and Y	live	dead	alive - dead	between (?!alive)(\b\w+) and (\bdead)	2318	" "" Rival trainers commonly accuse each other of failure to teach dogs to distinguish "	between live and dead	 bugs.	" "" Rival trainers commonly accuse each other of failure to teach dogs to distinguish  between live and dead  bugs."
no	how X or Y	heavy	old	heavy - light	how (\bheavy) or (?!light)(\b\w+)	27804	 No matter 	how heavy or old	 he got, she would never abandon him.	 No matter  how heavy or old  he got, she would never abandon him.
no	both X and Y	right	left	right - wrong	both (\bright) and (?!wrong)(\b\w+)	37839	 The researchers indicated that although creative thinking and problem solving required 	both right and left	 hemisphere functions, the data showed that the creativity measures correlated significantly and positively (from.	 The researchers indicated that although creative thinking and problem solving required  both right and left  hemisphere functions, the data showed that the creativity measures correlated significantly and positively (from.
no	X and Y	Old	new	new - old	(?!old)(\b\w+) and (\bnew)	159	 	Old and new	 pressures of the harsh terrain and climate, population growth, poverty, and unemployment exacerbate issues of poverty and environmental degradation.	  Old and new  pressures of the harsh terrain and climate, population growth, poverty, and unemployment exacerbate issues of poverty and environmental degradation.
no	neither X nor Y	hopeful	pessimistic	optimistic - pessimistic	neither (?!optimistic)(\b\w+) nor (\bpessimistic)	27459	 My one quibble about Tree of Life is that it's 	neither hopeful nor pessimistic	, but a carefully balanced tension of theses two states of being, much like life.	 My one quibble about Tree of Life is that it's  neither hopeful nor pessimistic , but a carefully balanced tension of theses two states of being, much like life.
no	X rather than Y	left	right	right - wrong	(?!wrong)(\b\w+) rather than (\bright)	17591	 However, most of the available @ @ @ @ @ @ @ @ @ @ preferentially impaired by 	left rather than right	 hemisphere lesions.	 However, most of the available @ @ @ @ @ @ @ @ @ @ preferentially impaired by  left rather than right  hemisphere lesions.
no	more X than Y	gray	light	heavy - light	more (?!heavy)(\b\w+) than (\blight)	16527	 Her hair, 	more gray than light	 brown, was pulled back from her face into one long braid, which was coiled at the back of her head.	 Her hair,  more gray than light  brown, was pulled back from her face into one long braid, which was coiled at the back of her head.
no	X, not Y	asleep	drunk	drunk - sober	(?!sober)(\b\w+), not (\bdrunk)	365	" "" "" Aye, well, I was "	asleep, not drunk	", "" he responded briefly."	" "" "" Aye, well, I was  asleep, not drunk , "" he responded briefly."
no	X, not Y	masculine	neuter	feminine - masculine	(\bmasculine), not (?!feminine)(\b\w+)	47582	" one -- Greek, "" one man ""; "	masculine, not neuter	", namely "" one new man "" in Christ (Ephesians 2:15)."	" one -- Greek, "" one man "";  masculine, not neuter , namely "" one new man "" in Christ (Ephesians 2:15)."
no	X, not Y	wrong	mindless	right - wrong	(\bwrong), not (?!right)(\b\w+)	30651	 Regulation must be tethered to human judgments about right and 	wrong, not mindless	 legal compliance.	 Regulation must be tethered to human judgments about right and  wrong, not mindless  legal compliance.
no	more X than Y	sad	comic	happy - sad	more (\bsad) than (?!happy)(\b\w+)	1371	" "" His voice is far "	more sad than comic	.	" "" His voice is far  more sad than comic ."
no	X or Y	BORING	slow	fast - slow	(?!fast)(\b\w+) or (\bslow)	21650	 In my opinion it was NOT 	BORING or slow	, or any of the other negative adjectives used by some reviewers.	 In my opinion it was NOT  BORING or slow , or any of the other negative adjectives used by some reviewers.
no	from X to Y	hot	oppressive	cold - hot	from (\bhot) to (?!cold)(\b\w+)	738	" "" And one time he asked if we were going to go bankrupt "" June goes "	from hot to oppressive	, the heat taking a toll on Rick and his men.	" "" And one time he asked if we were going to go bankrupt "" June goes  from hot to oppressive , the heat taking a toll on Rick and his men."
no	more X than Y	serious	old	new - old	more (?!new)(\b\w+) than (\bold)	27904	 No, he did n't have the energy he once had, and he was more susceptible to colds, but the 64-year-old put his fatigue down to nothing 	more serious than old	 age.	 No, he did n't have the energy he once had, and he was more susceptible to colds, but the 64-year-old put his fatigue down to nothing  more serious than old  age.
no	X as well as Y	organizational	heavy	heavy - light	(?!light)(\b\w+) as well as (\bheavy)	13904	 For a decade, the foundation has become increasingly involved in 	organizational as well as heavy	 financial commitments to the basic education of Dalton-area adults.	 For a decade, the foundation has become increasingly involved in  organizational as well as heavy  financial commitments to the basic education of Dalton-area adults.
no	either too X or too Y	small	short	long - short	either too (?!long)(\b\w+) or too (\bshort)	28144	 Noteworthy @ @ @ @ @ @ @ @ @ @ be 	either too small or too short	 of capital to undertake big money-guzzling projects.	 Noteworthy @ @ @ @ @ @ @ @ @ @ be  either too small or too short  of capital to undertake big money-guzzling projects.
