yes	X or Y	bad	indifferent	bad - good	(\bbad) or (?!good)(\b\w+)	 " She's confident with me as the manager, and I plan to communicate with her and offer my assessments of what's going on: good, 	bad or indifferent.
yes	X and Y	new	vivid	new - old	(\bnew) and (?!old)(\b\w+)	 Because he has just been told that these places represent something very fundamental about the world he lives in, these places were almost sacred - too 	new and vivid	 for words.
yes	X and Y	good	transcendent	bad - good	(\bgood) and (?!bad)(\b\w+)	 Instead, the incredible vitality of 	good and transcendent	 ideas were ignored in rote favor of names and dates.
yes	X and Y	old	ailing	new - old	(\bold) and (?!new)(\b\w+)	 Key suspects are so 	old and ailing	 that they may not be able to stand trial.
yes	X and Y	simple	easy	difficult - easy	(?!difficult)(\b\w+) and (\beasy)	 " The ideas were so 	simple and easy	 to follow that I took it to the manufacturing floor.
yes	X and Y	large	secretive	large - small	(\blarge) and (?!small)(\b\w+)) Enterprise for comprehensive coverage by its five-member news staff of the 	large and secretive	 Church Universal and Triumphant and its damaging impact on an area adjacent to Yellowstone National Park.
yes	how X or Y	good	famous	bad - good	how (\bgood) or (?!bad)(\b\w+)	 Not to make money, because that just ai n't going to happen no matter 	how good or famous	 you are.
yes	X or Y	good	famous	bad - good	(\bgood) or (?!bad)(\b\w+)	 Not to make money, because that just ai n't going to happen no matter how 	good or famous	 you are.
yes	both X and Y	urban	rural	rural - urban	both (urban) and (rural)	 There are wealthy students and poor students, blacks and whites, Hispanics and Asians, kids from 	both urban and rural	 backgrounds.
yes	X and Y	urban	rural	rural - urban	(urban) and (rural)	 There are wealthy students and poor students, blacks and whites, Hispanics and Asians, kids from both 	urban and rural	 backgrounds.
yes	X and Y	small	environmental	large - small	(\bsmall) and (?!large)(\b\w+)	 Bikers, however, contend that the risk of injury is 	small and environmental	 impact is minimal.
yes	X and Y	NBA	good	bad - good	(?!bad)(\b\w+) and (\bgood)	 It's not bad overseas, there were a lot of ex-	NBA and good	 college players.
yes	X and Y	small	unintrusive	large - small	(\bsmall) and (?!large)(\b\w+)	 Climbers contend the protective devices applied with power drills are so 	small and unintrusive	 as to be invisible to people on the ground.
yes	X and Y	large	profitable	large - small	(\blarge) and (?!small)(\b\w+)	 aid and foreign loans to restart production and a 	large and profitable	 market for Nicaragua's traditional agricultural export crops.
yes	X or Y	old	young	new - old	(\bold) or (?!new)(\b\w+)	 Public hospitals were open but one said it would limit treatment to the very 	old or young, pregnant women and emergency cases.
yes	X and Y	right	religious	right - wrong	(\bright) and (?!wrong)(\b\w+)	 Liberal lawmakers charged that Shamir's Likud Bloc used bribery to forge the coalition of nine small far-	right and religious	 parties, and the rival Labor Party said the new government can not bring peace.
yes	X or Y	hot	real	cold - hot	(\bhot) or (?!cold)(\b\w+)	 It's been either real 	hot or real	 cold.
yes	between X and Y	rich	poor	poor - rich	between (rich) and (poor)	 Differences 	between rich and poor	 have never sat well with the Russians.
yes	X and Y	rich	poor	poor - rich	(rich) and (poor)	 Differences between 	rich and poor	 have never sat well with the Russians.
yes	X and Y	Quick	good	bad - good	(?!bad)(\b\w+) and (\bgood)	 	Quick and good	 football.
yes	X and Y	Tall	long	long - short	(?!short)(\b\w+) and (\blong)	 	Tall and long	 arms.
yes	X or Y	good	bad	bad - good	(good) or (bad)	 If I have anything to say about you, 	good or bad, I'm going to say it to your face and not in the paper.
yes	X and Y	good	bad	bad - good	(good) and (bad)	 If it had n't been for all the things that happened to me - 	good and bad	 - I could not run this race track.
yes	X and Y	alive	well	alive - dead	(\balive) and (?!dead)(\b\w+)	 " The most recent outbreak of violence is merely an indication that the intifida is 	alive and well	 - contrary to predictions about its demise, " said Abdeen Jabara, president of the American-Arab Anti-Discrimination Commitee.
yes	X and Y	large	small	large - small	(large) and (small)	 IBM now owns pieces of more than two dozen software firms, 	large and small, hoping it does n't miss out on any new markets.
yes	X and Y	new	existing	new - old	(\bnew) and (?!old)(\b\w+)	 Realtors and builders also blame high interest rates for slower sales of 	new and existing	 homes.
yes	X and Y	long	hard	hard - soft	(?!soft)(\b\w+) and (\bhard)	 They have to work 	long and hard	 to earn an " A.
yes	X and Y	long	hard	long - short	(\blong) and (?!short)(\b\w+)	 They have to work 	long and hard	 to earn an " A.
yes	X and Y	long	complicated	long - short	(\blong) and (?!short)(\b\w+)	 He's working to have Cheyenne returned to the United States to testify, but the process is 	long and complicated.
yes	X and Y	large	small	large - small	(large) and (small)	 The Value Line composite index, which includes hundreds of stocks 	large and small	 @ @ @ @ @ @ @ @ @ @ stocks alone, as measured by the NASDAQ composite are down 20.
yes	X or Y	right	wrong	right - wrong	(right) or (wrong)	 timing the market absolutely 	right or wrong	 each year.
yes	X and Y	suburban	urban	rural - urban	(?!rural)(\b\w+) and (\burban)	 The bad news for hunters is that as we become more and more of a 	suburban and urban	 society, rural traditions are shared by fewer people.
yes	X and Y	dry	flavorless	dry - wet	(\bdry) and (?!wet)(\b\w+)	 Cook it and it turns out 	dry and flavorless.
yes	X and Y	short	spiky	long - short	(\bshort) and (?!long)(\b\w+)	 His hair is 	short and spiky; he is tan and clean looking.
yes	X and Y	new	different	new - old	(\bnew) and (?!old)(\b\w+)	 What we need is completely 	new and different	 ways of treating this disease.
yes	X and Y	high	mighty	high - low	(\bhigh) and (?!low)(\b\w+)	 We were pretty 	high and mighty.
yes	X and Y	unhappy	pessimistic	optimistic - pessimistic	(?!optimistic)(\b\w+) and (\bpessimistic)	 Educated people who have at last gained some of the freedom and reform they have long sought seem more 	unhappy and pessimistic	 than ever.
yes	X or Y	comfortable	easy	difficult - easy	(?!difficult)(\b\w+) or (\beasy)	 " I do n't want the pursuit of a more 	comfortable or easy	 life to get in the way of growth.
yes	X and Y	cold	wet	cold - hot	(\bcold) and (?!hot)(\b\w+), it was 	cold and wet.
yes	X and Y	cold	wet	dry - wet	(?!dry)(\b\w+) and (\bwet), it was 	cold and wet.
yes	X and Y	rich	poor	poor - rich	(rich) and (poor)	 The overall tax burden -- federal, state and local -- ceased being progressive, so 	rich and poor	 now give about the same percentage of their income to tax collectors.
yes	X and Y	enormous	public	private - public	(?!private)(\b\w+) and (\bpublic)	 Grant's casualties had been 	enormous and public	 patience was fading.
yes	X and Y	environmental	public	private - public	(?!private)(\b\w+) and (\bpublic)	 " This in turn created a major 	environmental and public	 health hazard.
yes	X and Y	large	small	large - small	(large) and (small)	 They took a dozen objects -- major works by masters and minor works as well, pieces 	large and small.
yes	X and Y	new	nifty	new - old	(\bnew) and (?!old)(\b\w+)	 Buyers cruise the @ @ @ @ @ @ @ @ @ @ the stores, " it's called) in search of the 	new and nifty.
yes	X or Y	wrong	right	right - wrong	(wrong) or (right)	 The press is trained to get their headline; somebody being 	wrong or right	 and get as explicit language as possible.
yes	X and Y	new	expanded	new - old	(\bnew) and (?!old)(\b\w+)	 Consumer demand is the driving force behind the development of 	new and expanded	 services and enhanced quality.
yes	X and Y	good	economical	bad - good	(\bgood) and (?!bad)(\b\w+)	 Then, if it is 	good and economical, we buy it.
yes	between X and Y	high	low	high - low	between (high) and (low)	 Even though its National Health Service offers free care at the time of service, Great Britain also has a great disparity in infant deaths 	between high and low	 socioeconomic groups.
yes	X and Y	high	low	high - low	(high) and (low)	 Even though its National Health Service offers free care at the time of service, Great Britain also has a great disparity in infant deaths between 	high and low	 socioeconomic groups.
yes	X and Y	high	mighty	high - low	(\bhigh) and (?!low)(\b\w+)	 Heads nodded and little glances of satisfaction were exchanged by the 	high and mighty.
yes	X and Y	difficult	abrasive	difficult - easy	(\bdifficult) and (?!easy)(\b\w+)	 Often regarded as 	difficult and abrasive, he had the virtue of being obsessed with books, and was devoted for three decades to a publishing house he did n't even own.
yes	X and Y	large	prosperous	large - small	(\blarge) and (?!small)(\b\w+)	 " We did not have the temptation that you have in a 	large and prosperous	 house to be more generous with yourself and others, " says Wolff.
yes	X and Y	costly	difficult	difficult - easy	(?!easy)(\b\w+) and (\bdifficult)	 Local elected officials, fearing the regulations would be too 	costly and difficult	 to implement, asked him to oppose them.
yes	either X or Y	bewildered	pessimistic	optimistic - pessimistic	either (?!optimistic)(\b\w+) or (\bpessimistic)	 Now, less than a week before it is required to send a report on its findings to Congress, several of the congressional appointees sound 	either bewildered or pessimistic.
yes	X or Y	bewildered	pessimistic	optimistic - pessimistic	(?!optimistic)(\b\w+) or (\bpessimistic)	 Now, less than a week before it is required to send a report on its findings to Congress, several of the congressional appointees sound either 	bewildered or pessimistic.
yes	X and Y	clean	sober	drunk - sober	(?!drunk)(\b\w+) and (\bsober)	 " We want them to begin to recognize that they have some potential and that they can take charge of their lives and develop relationships with people who are 	clean and sober.
yes	X and Y	urban	rural	rural - urban	(urban) and (rural)	 Only a very few use the word poverty to describe both the 	urban and rural	 legacy of collectivization, but there is no other word for it.
yes	X and Y	wet	sullen	dry - wet	(\bwet) and (?!dry)(\b\w+)	 Ged crouched among the dripping bushes 	wet and sullen, and wondered what was the good of having power if you were too wise to use it.
yes	X and Y	light	fun	heavy - light	(\blight) and (?!heavy)(\b\w+)	 " And later, when I met June Scobee the wife of flight commander Dick Scobee, she told me that Onizuka was very 	light and fun	 and the type who told lots of jokes.
yes	X and Y	hot	energetic	cold - hot	(\bhot) and (?!cold)(\b\w+)	 " The music is very 	hot and energetic	 and at the same time very complex and sophisticated.
yes	X and Y	hard	heavy	hard - soft	(\bhard) and (?!soft)(\b\w+)	 Rain continued 	hard and heavy	 for five days, causing floods on the river and its tributaries upstream from Lake Texoma.
yes	X and Y	hard	heavy	heavy - light	(?!light)(\b\w+) and (\bheavy)	 Rain continued 	hard and heavy	 for five days, causing floods on the river and its tributaries upstream from Lake Texoma.
yes	X and Y	old	untended	new - old	(\bold) and (?!new)(\b\w+)	 On the other side, in Little River County, the levees were 	old and untended.
yes	X or Y	small	troubled	large - small	(\bsmall) or (?!large)(\b\w+)	 " By one informal estimate, credit-tightening is affecting about one-fourth of the Washington area's businesses -- probably real estate firms and 	small or troubled	 enterprises in other industries.
yes	X or Y	hot	cold	cold - hot	(hot) or (cold)	 The pie can be served 	hot or cold, and can be frozen for later use.
yes	X or Y	bad	misleading	bad - good	(\bbad) or (?!good)(\b\w+)	 " These programs give the industries an @ @ @ @ @ @ @ @ @ @ and counteract 	bad or misleading	 information.
yes	X and Y	frustrating	sad	happy - sad	(?!happy)(\b\w+) and (\bsad)	 " But it's also been the most 	frustrating and sad.
yes	X and Y	sad	unfortunate	happy - sad	(\bsad) and (?!happy)(\b\w+)	 Dinkins said such protests would be " 	sad and unfortunate	 and tactically very, very unwise " because some blacks might take " great umbrage.
yes	X and Y	high	aggravated	high - low	(\bhigh) and (?!low)(\b\w+)	 (After this highly publicized case, the Georgia legislature reclassified hazing as a " 	high and aggravated	 " misdemeanor, punishable by 12 months in prison or a $ 5,000 fine.
yes	X and Y	private	corporate	private - public	(\bprivate) and (?!public)(\b\w+)	 Lots of houses sitting unsold, but more than 400 takeoffs and landings by 	private and corporate	 jets and helicopters at East Hampton's miniature airport one recent Sunday.
yes	X or Y	Alive	dead	alive - dead	(?!alive)(\b\w+) or (\bdead)	 Hicks how many cows she has, she replies: " 	Alive or dead?
yes	X and Y	old	wise	new - old	(\bold) and (?!new)(\b\w+)	 Part of it is an element of the unknown -- these things were used by people who were 	old and wise	 and had great knowledge.
yes	X and Y	good	tired	bad - good	(\bgood) and (?!bad)(\b\w+)	 I mean, at some point you get 	good and tired	 of it.
yes	X and Y	rich	poor	poor - rich	(rich) and (poor)	 This loose confederation unites East and West, 	rich and poor, traditional U.
yes	X and Y	small	insignificant	large - small	(\bsmall) and (?!large)(\b\w+)'This is my attempt at protest, however 	small and insignificant.
yes	both X and Y	public	private	private - public	both (public) and (private)	 @ @ @ @ @ @ @ @ @ @ things up for your kid, " says one mother who has tried 	both public and private	 eduation.
yes	X and Y	public	private	private - public	(public) and (private)	 @ @ @ @ @ @ @ @ @ @ things up for your kid, " says one mother who has tried both 	public and private	 eduation.
yes	X and Y	cheap	easy	difficult - easy	(?!difficult)(\b\w+) and (\beasy)	 Our 	cheap and easy	 oil has long since been found and burned; America is punctured by 600,000 wells compared to 6,000 in the Middle East.
yes	X and Y	rich	splendiferous	poor - rich	(\brich) and (?!poor)(\b\w+)	 And in elegant Vienna, the most regal of Europe's capitals, it's wonderfully easy to imagine you hold claim to a 	rich and splendiferous	 throne.
yes	X and Y	rich	poor	poor - rich	(rich) and (poor)	 The data he collected shows the gap between the 	rich and poor	 increased dramatically during the 1980s.
yes	X or Y	driving	bad	bad - good	(?!good)(\b\w+) or (\bbad)	 We are no longer up against bad 	driving or bad	 engineering.
yes	X and Y	rural	agricultural	rural - urban	(\brural) and (?!urban)(\b\w+)	 People come here because it's 	rural and agricultural, and that could be ruined.
yes	X and Y	phony	soft	hard - soft	(?!hard)(\b\w+) and (\bsoft)	 He has little use for most color photographs in newspapers, calling them " 	phony and soft.
yes	X and Y	short	airy	long - short	(\bshort) and (?!long)(\b\w+)	 In many cases, 	short and airy	 sounds like it's going to be cheaper.
