sent_id;class;pattern;X_found;Y_found;pair;context_pre;costr;context_post;antonymous_value
44682;no;X and Y;passive;irresponsible;active - passive; They drew on this narrative to defend voluntary testing and to challenge the suggestion that HIV-positive women were being ;passive and irresponsible;.;
23190;no;X and Y;active;responsible;active - passive; In addition, Vatican II determined that the church's subjectivity is realized as a communio of subjects, all of whom, according to their calling and appointment, play an ;active and responsible; part.;
33890;no;X and Y;active;savvy;active - passive; Richard Lugar's wife, Charlene, are the most ;active and savvy; political wives on the campaign trail, maintaining their own speaking schedules.;
53145;no;X and Y;young;active;active - passive;") "" Loulou was ";young and active;.;
30262;no;X and Y;passive;weak;active - passive; My only cristicism is that if you are a male, and you have those problems of being too ;passive and weak;" and "" nice "", you need more than this book.";
38646;no;X and Y;passive;dependent;active - passive; The association of lower levels of traditional feminine behavior being associated with more sexual activity may also be a reflection of being less ;passive and dependent; and more direct in sexual requests.;
52974;no;X and Y;adequate;active;active - passive; with any State which establishes and maintains an ;adequate and active; program for the conservation of endangered species and threatened species.;
51922;no;X and Y;positive;active;active - passive; failing as it does to accord sorrow, pain, and death any ;positive and active; attention whatever, is formally less complete than systems that try at least to include these elements in their scope.;
54133;no;X and Y;open;active;active - passive;com account was ;open and active;"; but, despite having the same background as Bianca, I received no phone calls.";
37301;no;X and Y;strong;active;active - passive; That is because unions are ;strong and active; - they regularly bring the whole of France to a halt.;
26048;no;X and Y;active;powerful;active - passive; It seems as much a difference of language and style as it is of substance, the culture shock caused by introducing an ;active and powerful; leader to a world that never really wanted one.;
51422;no;X and Y;active;excited;active - passive; You've created A+, and it's already, even when it's still settling into its place, a fantastic and much needed thing that is making some people, me included, finally feel welcome and ;active and excited;.;
17538;no;X and Y;active;insistent;active - passive; He was amazed that the most ;active and insistent; member of the board, who supported making the investment and taking the risk, was a member of the Deutsche Bank.;
34975;no;X and Y;numb;passive;active - passive; She was ;numb and passive;, sad and irritable.;
45591;no;X and Y;active;inventive;active - passive; This difference may not only reflect differences in the media but also the quarter-century that separates them in time, a period in which camera work in all the relevant media became notably more ;active and inventive;.;
5937;no;X and Y;active;healthy;active - passive;" A number of statistics are frequently cited: "" More than 700 million people world-wide do not get enough food for an ";active and healthy; life.;
25449;no;X and Y;active;productive;active - passive; It is another ;active and productive; chapter, servicing the entire State of Oregon, plus these counties in Washington State: Clark, Cowlitz, Klickitat and Skamania.;
3660;no;X and Y;active;engaged;active - passive;" "" We know him well as the leader of one of the most ";active and engaged; Corporate Members of our Society, and know that he brings vision as well as valuable experience to the position.;
6612;no;X and Y;active;confident;active - passive; After four months, they were more ;active and confident;, with fewer limps and hobbles, says study author Kristin Baker, a researcher at Tufts University in Boston.;
51524;no;X and Y;curious;active;active - passive; Your son's shin bruises may simply mean he's ;curious and active;, both of which are very good.;
44651;no;X and Y;healthy;active;active - passive; They did make it, he is a very ;healthy and active; 15 year old and she even went on to have another perfect pregnancy that resulted in another perfect boy who is now 14 years old!;
33564;no;X and Y;active;important;active - passive; Rather, readers are ;active and important; participants in the meaning-making process.;
40885;no;X and Y;active;independent;active - passive; The national labor, youth, and women's organizations, not to mention the several nominal political parties, may well be encouraged to take a more ;active and independent; tack.;
54002;no;X and Y;honest;active;active - passive;As nation we are looking forward to any ;honest and active; politician in the state of Pakistan.;
2761;no;X and Y;active;open;active - passive;" "" Rock-and-roll services What is important is an ";active and open; expression of faith through a dramatic service that features a rock band and singing.;
2744;no;X and Y;active;critical;active - passive;" "" Relying on that suggestion is to view students as mere passive receptacles who are incapable of autonomous thought, rather than ";active and critical; agents in the learning process.;
54186;no;X and Y;healthy;active;active - passive;html This Kids Health Web site tells kids what foods they should avoid, and what foods they should eat to stay ;healthy and active;.;
33827;no;X and Y;active;engaged;active - passive; Responsible for choosing the nominee would be those most familiar with party goals and the complexities of the political process, campaign politics, and presidential responsibilities -- logically, ;active and engaged; party leaders.;
23260;no;X and Y;active;healthy;active - passive; In all three cases, the longer-lived creatures are just as ;active and healthy; throughout their lives as their ordinary counterparts.;
19809;no;X and Y;active;healthy;active - passive; I bet you've got a family, friends and many other ;active and healthy; relationships.;
20260;no;X and Y;active;athletic;active - passive; I found it to be rather interesting and amusing the perspective of an ;active and athletic; teen.;
31152;no;X and Y;active;free;active - passive; Now it's not possible to do that completely, but we really do de-emphasize those things in favor of ;active and free; exchange of ideas.;
28935;no;X and Y;current;active;active - passive; Maintain ;current and active; knowledge in the expertise area in order to bring examples and ideas to students.;
5267;no;X and Y;passive;stupid;active - passive; @ @ @ @ @ @ @ @ @ @ I'm a woman I'm too ;passive and stupid; to do something about it?;
5906;no;X and Y;active;confrontational;active - passive; A more ;active and confrontational; style of working became more common in the practice of the clinics.;
50166;no;X and Y;active;helpful;active - passive; While you ca n't use points to buy or redeem anything, they do allow everyone to recognize how ;active and helpful; you've been.;
35937;no;X and Y;active;independent;active - passive; Some adults at the age of eighty have very ;active and independent; lives, while others need assisted care.;
24034;no;X and Y;infrared;active;active - passive; In the long term, stopping cruise missiles will require a new generation of passive ;infrared and active; radar detection equipment.;
39712;no;X and Y;active;dynamic;active - passive; The fetus is not an inert being, but an ;active and dynamic; creature, responding and adapting as it readies itself for life in the particular world it will enter.;
25141;no;X and Y;active;variable;active - passive; It has changed the way I read, which I should point out is an ;active and variable; process.;
31645;no;X and Y;passive;unassertive;active - passive; On the other hand, if he continues to be ;passive and unassertive; as a result of self-doubt, he is not dynamic enough.;
41681;no;X and Y;widespread;active;active - passive; The rest of his book is an attempt to paint a picture alleging a ;widespread and active; Satanic underground.;
23984;no;X and Y;aware;active;active - passive; In the end, the ethical organization must be a socially and politically ;aware and active; organization as well.;
21225;no;X and Y;healthy;active;active - passive; I think that expecting to save $100 per month on health costs from being ;healthy and active;, compared to being sedentary and possibly in the obese category is a very conservative estimate.;
9887;no;X and Y;active;competing;active - passive; Because both of a bilingual person's language systems are always ;active and competing;, that person uses these control mechanisms every time she or he speaks or listens.;
42394;no;X and Y;passive;unassuming;active - passive; The television is still the idiot box, but a ;passive and unassuming; one at that.;
22019;no;X and Y;humble;passive;active - passive; I've always been a very ;humble and passive; person but this is the ONLY person I've ever met that can make me this angry.;
17696;no;X and Y;active;athletic;active - passive; He'd gone from being my very ;active and athletic; dad to being a man who had problems thinking, and he spent all of his time lying in our living room because he could n't walk.;
42989;no;X and Y;active;healthy;active - passive; Their girls are now 9 and ;active and healthy;.;
51119;no;X and Y;active;playful;active - passive; You encouraged children's ;active and playful; hands.;
986;no;X and Y;open;active;active - passive;" "" Also, many ";open and active; atheists have developed thick skins because of insults they have endured from theocrats.;
3972;no;X and Y;healthy;active;active - passive;" "" promoting health and wellness with activities that encourage children to lead ";healthy and active; lives and follow the First Lady's'Let's Move!;
51164;no;X and Y;active;precise;active - passive; You have to be all ;active and precise; while making a decision for your future business plan.;
34462;no;X and Y;squirmy;active;active - passive; She also finds that it helps to teach @ @ @ @ @ @ @ @ @ @ once the baby becomes more ;squirmy and active;.;
17690;no;X and Y;active;dangerous;active - passive; He'd acquired jowls and put on about thirty pounds since Delehanty had last seen him, but he still looked ;active and dangerous;.;
37645;no;X and Y;actual;active;active - passive; The ;actual and active; purity and holiness of his disciples are represented by baptism.;
6680;no;X and Y;active;available;active - passive; After your trial-enrollment expires, in order to keep your website ;active and available; on the internet, you agree that your card will be charged $29.;
39718;no;X and Y;intelligent;active;active - passive; The few who claim they like ;intelligent and active; women are also @ @ @ @ @ @ @ @ @ @ in their kitchens.;
5837;no;X and Y;active;responsible;active - passive; A life which is too busy, ;active and responsible; with some thrills is recommended.;
8118;no;X and Y;busy;active;active - passive; And that's why the pro-Israel Lobby, both Jewish and Christian wings, is so ;busy and active;.;
27884;no;X and Y;young;active;active - passive; John Chubb and Terry Moe are still ;young and active;" and remain major players in the school choice movement; last I heard, they haven?";
52017;no;X and Y;healthy;active;active - passive; her history was straightforward: a ;healthy and active; woman, flu-like illness for about a week, development of abrupt leg weakness, and progression during the ensuing 18 hours.;
24372;no;X and Y;active;vigilant;active - passive; Industry self-regulators and the Federal Communications Commission and the Federal Trade Commission are ;active and vigilant; participants in the protection of commercial communication, and where violations of public trust occur, action has been brought to bear.;
48902;no;X and Y;correct;active;active - passive; Website addresses cited were all ;correct and active; as of August 2004.;
36638;no;X and Y;active;interested;active - passive; Students learn healthy lifestyles as well as enjoy an exercise program designed to keep them ;active and interested; in maintaining good health.;
32676;no;X and Y;connected;active;active - passive; Participatory programming highlights alternative narratives, activates communities and reverses the role of the visitors from consumer to producer, which in turn engenders more ;connected and active; communities.;
6166;no;X and Y;task;active;active - passive; A well behaved, on-;task and active; student was desired.;
1167;no;X and Y;active;powerful;active - passive;" "" Being good "" can be a very ";active and powerful; force.;
10561;no;X and Y;active;inactive;active - passive; Box ii marks an area with many small interspersed ;active and inactive; TF binding regions.;
7486;no;X and Y;active;healthy;active - passive; An avid downhill ski racer and sports enthusiast, Hughes'lifestyle was ;active and healthy;, but his lifetime of exposure to the sun was not.;
19554;no;X and Y;dull;passive;active - passive; I always against to student orientation which makes new students become ;dull and passive;.;
33842;no;X and Y;active;ongoing;active - passive; Retiring your ruck will also give you and other users to more easily sort through the rucks that are ;active and ongoing;.;
14056;no;X and Y;active;perspicacious;active - passive; Equipped with a critical grasp of their tradition's complex and holistic social vision, Catholics should be ;active and perspicacious; collaborators in contemporary movements for economic justice.;
48586;no;X and Y;alert;active;active - passive; We need to remain ;alert and active;.;
22865;no;X and Y;observant;active;active - passive; Im hoping some of the more ;observant and active; elders will join in as the time approaches when we must end this democracy.;
37189;no;X and Y;retired;active;active - passive; Thanks to the generous hearts of local volunteers -- lay and professional, ;retired and active; -- the dental needs of those who live or work in Pickens County are addressed.;
8044;no;X and Y;passive;quivering;active - passive; And she lay down with her face hidden, ;passive and quivering;.;
36306;no;X and Y;active;outspoken;active - passive; Soon our vulnerable youth thinks of himself as gay, identifies with other gay males, and usually comes under the influence of the more ;active and outspoken; members of the gay community.;
24885;no;X and Y;active;effective;active - passive; It can not be assumed that all who escaped from the Holocaust took ;active and effective; action and all who were caught in it were passive.;
2695;no;X and Y;vocal;active;active - passive;" "" Poetry is not silent and passive but ";vocal and active;.;
43898;no;X and Y;passive;receptive;active - passive; Therefore, maintaining a ;passive and receptive;" mode, You can watch the secret of life; Maintaining an active and attentive mode, You can perceive the rhythm of life.";
39857;no;X and Y;active;independent;active - passive; The former are ;active and independent;"; the latter are passive and controlled.";
31736;no;X and Y;open;active;active - passive; Once the pipeline has been normalized for ;open and active; opportunities you'll have better visibility into the value of your pipeline.;
21047;no;X and Y;active;reserve;active - passive; I served 23 years ;active and reserve; and the V.;
6019;no;X and Y;active;persistent;active - passive;" A report last year from the Office of the National Counterintelligence Executive found that the Chinese are the "" world's most ";active and persistent; perpetrators of economic espionage.;
48177;no;X and Y;active;involved;active - passive; We are ;active and involved; in the community.;
32214;no;X and Y;dependent;passive;active - passive; Other managers are committed to the organization, but they tend to be ;dependent and passive;.;
35765;no;X and Y;active;interesting;active - passive; So this time I am going to try to sidestep the whole break and plan something ;active and interesting; instead.;
50009;no;X and Y;passive;anonymous;active - passive; While earlier technological improvements in communication, such as the telephone, still allowed those who used them to function as subjects, radio had an inherent tendency to reduce its audience to a ;passive and anonymous; mass.;
50587;no;X and Y;appropriate;active;active - passive; Without ;appropriate and active; forest-cultivation efforts, the collection of such products would be far less productive.;
45471;no;X and Y;active;cooperative;active - passive; This approach presumes much initiative coming from the region itself, with the United States playing an ;active and cooperative; role.;
50339;no;X and Y;active;unsettled;active - passive; Wind that has picked up significantly since yesterday indicates that a more ;active and unsettled; system is moving in.;
16157;no;X and Y;active;challenging;active - passive; God was ;active and challenging;, ever ready to demonstrate His omnipotence.;
41769;no;X and Y;angry;active;active - passive; The right wing talk radio callers have been more ;angry and active; than ever, too regarding national elections.;
25997;no;X and Y;active;occasional;active - passive; It receives about 100 calls per day from about 3000 ;active and occasional; users and has approximately 5000 computer files that can be accessed.;
14740;no;X and Y;active;vivid;active - passive; Farther than this, in very many cases, the imagination in disease is far more ;active and vivid; than it is in health.;
1057;no;X and Y;healthy;active;active - passive;" "" And, for every kit @ @ @ @ @ @ @ @ @ @ donated to the Whole Kids Foundation to encourage a ";healthy and active; lifestyle amongst kids.;
18874;no;X and Y;sustained;active;active - passive; His trot is free, supple, regular, ;sustained and active;.;
34040;no;X and Y alike;retired;active;active - passive; Rumsfeld, other senior officers, ;retired and active alike;, had to be promised anonymity before they would discuss their own views of why the criticism of him was mounting.;
48572;no;X as well as Y;active;thoughtful;active - passive; We need an ;active as well as thoughtful; president.;
52168;no;X or Y;intransitive;passive;active - passive; is not ;intransitive or passive;, but with an indefinite plur.;
1;no;X or Y;Active;passive;active - passive; ;Active or passive; stretching can also preserve or increase joint range of motion.;
45606;no;X or Y;passive;inactive;active - passive; This does not mean that they are ;passive or inactive;, but their marginal presence conditions their actions and responses.;
14362;no;X or Y;retired;active;active - passive; Every military person, ;retired or active; duty, every peacekeeper and every citizen should be a member.;
8752;no;X or Y;enthusiastic;passive;active - passive; Are you ;enthusiastic or passive;?;
53434;no;X or Y;active;fit;active - passive;, 2001) in that the interaction term was predictive of positive affect/energy for the ;active or fit; participants.;
6700;no;X or Y;passive;assertive;active - passive; Again, and I ca n't stress this enough, when the time comes, you will have to decide for yourself whether being ;passive or assertive; will help.;
12445;no;X or Y;passive;dull;active - passive;" Children with this key resource often are stereotyped as "" good, "" and deficit labeling earmarks them as ";passive or dull;.;
4142;no;X or Y;active;inactive;active - passive; (Figures omitted) The amount of variability whether a star is ;active or inactive;, only the average level of calcium flux.;
45503;no;X or Y;active;retired;active - passive; This board, which he describes here, is an independent group composed of a few members of ;active or retired; law enforcement who are appointed by an Attorney General.;
28161;no;X or Y;active;creative;active - passive;" Kids may also resort more to "" TV when they're lonely or bored, rather than doing something more ";active or creative;.;
32276;no;X or Y;active;retired;active - passive; Others, many of them played by ;active or retired; real-life wrestlers, he refers to without affectation as''Brother.;
23921;no;X or Y;passive;neutral;active - passive; In the United States, most professional journalists see themselves as ;passive or neutral;, confining themselves to the function of a neutral broker between politics and the audience.;
47337;no;X or Y;cognitive;active;active - passive; Total scores on avoidance coping were significantly higher among participants who reported engaging in UAI during the preceding six months, but there were no differences on either active ;cognitive or active; behavioral coping total scores.;
38625;no;X or Y;active;tacit;active - passive; The army's reputation is further sullied by ;active or tacit; collaboration with the paramilitary death squads.;
38197;no;X or Y;active;inactive;active - passive;" The Measurement of Habitual Physical Activity questionnaire (Baecke, Burema, &; Frijter, 1982) was given to the active participants in order to screen and then classify participants as either aerobically ";active or inactive;.;
23234;no;X or Y;active;concerned;active - passive; In addition, the teachers expressed confidence in their ability to identify both the most and least environmentally ;active or concerned; students.;
51823;no;X or Y;active;emeritus;active - passive; citizen) must be @ @ @ @ @ @ @ @ @ @ supporting references from three additional ;active or emeritus; Academy members.;
30067;no;X or Y;subtle;passive;active - passive; My @ @ @ @ @ @ @ @ @ @, any controlling or agressive behaviour wouldnt be ;subtle or passive; - it'd be right in his face and he'd damn well know about it.;
33164;no;X or Y;active;latent;active - passive; Politics is about change, or to speak frankly, let us say revolution -- large or small, ;active or latent;.;
6902;no;X or Y;passive;inherent;active - passive; All reactors have some elements of inherent safety as mentioned above, but in some recent designs the ;passive or inherent; features substitute for active systems in cooling etc.;
22663;no;X or Y;scared;passive;active - passive; If you do n't do anything, you may be seen as ;scared or passive; aggressive.;
27272;no;X or Y;active;inactive;active - passive; It's calibrated for adults and children who are moderately ;active or inactive;, and athletic adults who are very physically fit.;
19485;no;X or Y;passive;silent;active - passive; Husbands and wives who might once have been ;passive or silent; about spending, saving, and investing are realizing the value of negotiating.;
6657;no;X or Y;passive;forced;active - passive; After the first 21 days, material was put into static piles on top of plastic pipes, giving the operators the option of doing ;passive or forced; aeration.;
44164;no;X or Y;sedentary;active;active - passive; These multiple aspects of activity are exemplified by choices of ;sedentary or active; pursuits and capacity to gear activity to various situational demands.;
4159;no;X or Y;active;foreign;active - passive; (In Belarus there are 1,115 officially registered associations not controlled by the Government, only a handful of which are politically ;active or foreign; sponsored.;
31325;no;X or Y;weak;passive;active - passive; Obama often seemed ;weak or passive; in his first term.;
22750;no;X or Y;mobile;active;active - passive; If you suffer from sore, irritated important joints and locate on your own a lot less ;mobile or active; because of it, you may have joint disease.;
23358;no;X or Y;fit;active;active - passive; In contrast, within the exercise sessions, unfit or inactive participants report less positive affect compared to ;fit or active; participants as would be predicted by Solomon's theory (1980).;
30826;no;X or Y;passive;hapless;active - passive; Nor are we suggesting that the Chumash were ;passive or hapless; victims of an evil empire.;
54139;no;X or Y;active;current;active - passive;com is a business that matches job seekers that hold ;active or current; Department of Defense, Department of State, and Department of Energy security clearances to hiring employers and recruiters looking for skilled cleared candidates.;
11460;no;X or Y;passive;blameless;active - passive; But that is n't to say that Tessa was entirely ;passive or blameless; in these events either.;
44603;no;X or Y;aggressive;passive;active - passive; They can win or lose, be honored or despised, be ;aggressive or passive;, foolish or canny.;
5291;no;X or Y;latent;active;active - passive; @ @ @ @ @ @ @ @ @ @ a reservoir which, being fed by each human mind, becomes a ;latent or active; inuence for good--or the reverse.;
46362;no;X or Y;passive;supportive;active - passive; This time was described as ;passive or supportive; rather than active or directive (p.;
39007;no;X or Y;active;individual;active - passive;" The characters in her narrative are homeless Jews and hospitable Scandinavians; the Germans appear only as part of the background, never as ";active or individual; persecutors.;
12516;no;X or Y;active;successful;active - passive; City has n't been as ;active or successful; as it should in developing a better transportation system.;
46510;no;X or Y;passive;submissive;active - passive; This would include things as admitting to one's vulnerability, asking for help, adjusting the work-life balance more towards life, not focusing on being a success object, adopting a ;passive or submissive; role in relationships, etc.;
15402;no;X or Y;active;hereditary;active - passive; For many devotees, Muslim identity in the Sudan consists of an ;active or hereditary; membership to a Sufi movement, which venerates its founder and his successors, called sheikhs.;
37071;no;X or Y;active;concerned;active - passive; Teachers were also asked to name up to l0 children at the other end of the continuum -- those who were least environmentally ;active or concerned;.;
8991;no;X or Y;real;active;active - passive; As an identifiable individual, the self is not substantively ;real or active; in the causal and constitutive processes of the world -- whether that world is described in linguistic, psychological, social-historical, or materialistic terms.;
43873;no;X or Y;active;resigned;active - passive; Therefore @ @ @ @ @ @ @ @ @ @ secure the ;active or resigned; acceptance of the majority of the citizens.;
2786;no;X or Y;passive;restful;active - passive;" "" She continued her walking that had become nearly ";passive or restful; someway he could not put his finger on @ @ @ @ @ @ @ @ @ @ could not understand.;
12136;no;X or Y;uninformed;passive;active - passive; Bypass can only be a wakeup call to the patient with heart disease and for the ;uninformed or passive; patient, the call can come too late.;
26059;no;X or Y;active;curious;active - passive; It seems more a word of caution to priests who may be tempted by sexually ;active or curious; youth.;
5570;no;X or Y;powerless;passive;active - passive; A ;powerless or passive; spectator.;
45568;no;X or Y;stactic;active;active - passive; This cranky hamstring ache does not respond to ;stactic or active; isolated stretching.;
4855;no;X or Y;reserve;active;active - passive; 22 We would not expect the attitudes of these soldiers, who had been peacekeeping participants, to reflect the attitudes of soldiers, ;reserve or active;, who had not been participants.;
24322;no;X or Y;reflective;passive;active - passive; Indeed, females can be more ;reflective or passive;", and males more antagonistic (Cramer, 1979; Erikson, 1964; Freud, 1933; Levit, 1991).";
51822;no;X or Y;active;reserve;active - passive; citizen while serving in the ;active or reserve; components of the U.;
44042;no;X or Y;active;inactive;active - passive; These cyclic fluctuations in temperature then set the timing of cells and, ultimately, tissues and organs, to be ;active or inactive;.;
33288;no;X or Y;static;passive;active - passive; Prior to 1788 however, it should not be assumed that the Aborigines lived in a ;static or passive; relationship with the land during the many thousands of years when the Aboriginal vision predominated.;
32161;no;X or Y;active;chronic;active - passive; Oral form should be used cautiously in patients with ;active or chronic; liver or kidney disease and has the potential for increasing levels or effects of several other concurrently administered drugs.;
53469;no;X or Y;passive;relational;active - passive;, aggressive, ;passive or relational;), child in bullying role and child in victim role are recorded.;
10472;no;X or Y;active;recent;active - passive; Both are areas of ;active or recent; volcanism of unique magma chemistry.;
19194;no;X or Y;passive;thermal;active - passive; However I noticed that you only address PV @ @ @ @ @ @ @ @ @ @ not include ;passive or thermal;, even if it is only for heating buildings and water?;
29451;no;X or Y;manipulative;passive;active - passive; Men are n't as ;manipulative or passive; aggressive as women.;
39454;no;X or Y;active;retired;active - passive; The discounted present value of these claims owned by ;active or retired; workers is $5.;
17241;no;X or Y;active;participatory;active - passive; He received poor student evaluations at the University of Chicago, and the faculty there do not remember his being ;active or participatory;.;
32673;no;X or Y;active;inactive;active - passive; Participants were required to meet stringent requirements for being classified as either as an aerobically ;active or inactive; to help ensure fitness level differences.;
15008;no;X or Y;active;inactive;active - passive; First, it's clear that such an approach leads to the optimization of pure predictive performance and can not provide insight into why the model makes an ;active or inactive; call.;
30264;no;X or Y;unexpected;passive;active - passive; My only suggestion in the first line is to substitute the active verb recovered with something that conveys the ;unexpected or passive; popping in of a long lost memory.;
