class	pattern	X_found	Y_found	pair	query	sent_id	context_pre	costr	context_post	text
no	X and Y	active	stranger	active - passive	(\bactive) and (?!passive)(\b\w+)	40044	 These graves dated from the time of Kingdoms, and some from the Years of Brass prior to that, when the mines beneath the city were 	active and stranger	 things had walked the streets than did today.	 These graves dated from the time of Kingdoms, and some from the Years of Brass prior to that, when the mines beneath the city were  active and stranger  things had walked the streets than did today.
no	X and Y	active	vivid	active - passive	(\bactive) and (?!passive)(\b\w+)	13502	 Farther than this, in very many cases, the imagination in disease is far more 	active and vivid	 than it is in health.	 Farther than this, in very many cases, the imagination in disease is far more  active and vivid  than it is in health.
no	X and Y	present	active	active - passive	(?!passive)(\b\w+) and (\bactive)	41780	 This love, he taught, is a visible sign that the Holy Spirit is indeed 	present and active	, and it is absolutely essential for the health of the Church.	 This love, he taught, is a visible sign that the Holy Spirit is indeed  present and active , and it is absolutely essential for the health of the Church.
no	X and Y	active	inventive	active - passive	(\bactive) and (?!passive)(\b\w+)	35706	 The day was going to be full enough without his having to worry about the antics of two 	active and inventive	 little boys.	 The day was going to be full enough without his having to worry about the antics of two  active and inventive  little boys.
no	X and Y	behavioral	active	active - passive	(?!passive)(\b\w+) and (\bactive)	5663	 Active 	behavioral and active	 cognitive coping methods involve problem-solving @ @ @ @ @ @ @ @ @ @ avoiding, or denying distress, without any attempt to resolve the problem associated with it.	 Active  behavioral and active  cognitive coping methods involve problem-solving @ @ @ @ @ @ @ @ @ @ avoiding, or denying distress, without any attempt to resolve the problem associated with it.
no	X and Y	active	welcome	active - passive	(\bactive) and (?!passive)(\b\w+)	12973	 Even if Democrats @ @ @ @ @ @ @ @ @ @ come, it is a major progressive victory just to have these groups playing a more 	active and welcome	 role in the process.	 Even if Democrats @ @ @ @ @ @ @ @ @ @ come, it is a major progressive victory just to have these groups playing a more  active and welcome  role in the process.
no	X and Y	active	athletic	active - passive	(\bactive) and (?!passive)(\b\w+)	18457	 I found it to be rather interesting and amusing the perspective of an 	active and athletic	 teen.	 I found it to be rather interesting and amusing the perspective of an  active and athletic  teen.
no	X and Y	active	retired	active - passive	(\bactive) and (?!passive)(\b\w+)	13122	 Events include a ceremony to honor 	active and retired	 military, live music by King Midas on the development?	 Events include a ceremony to honor  active and retired  military, live music by King Midas on the development?
no	X and Y	dynamic	active	active - passive	(?!passive)(\b\w+) and (\bactive)	38531	 The thematic organizer is a 	dynamic and active	 instead of mechanical and static organizer.	 The thematic organizer is a  dynamic and active  instead of mechanical and static organizer.
no	X and Y	interested	active	active - passive	(?!passive)(\b\w+) and (\bactive)	41963	 This reinforces the need to identify those who are 	interested and active	, survey their scholarly needs, and work with them to establish and promote a fostering environment for scholarship.	 This reinforces the need to identify those who are  interested and active , survey their scholarly needs, and work with them to establish and promote a fostering environment for scholarship.
no	X and Y	active	imaginative	active - passive	(\bactive) and (?!passive)(\b\w+)	21783	 In realizing that one could not take all memory-claims at face value, Freud effectively discovered that the mind is 	active and imaginative	 in the organization of its own experience.	 In realizing that one could not take all memory-claims at face value, Freud effectively discovered that the mind is  active and imaginative  in the organization of its own experience.
no	X and Y	dependent	passive	active - passive	(?!active)(\b\w+) and (\bpassive)	29256	 Other managers are committed to the organization, but they tend to be 	dependent and passive	.	 Other managers are committed to the organization, but they tend to be  dependent and passive .
no	X and Y	active	retired	active - passive	(\bactive) and (?!passive)(\b\w+)	7728	 Another 376,790 direct campaign mailers were sent to USW 	active and retired	 members who resided in the battleground states.	 Another 376,790 direct campaign mailers were sent to USW  active and retired  members who resided in the battleground states.
no	X and Y	fun	active	active - passive	(?!passive)(\b\w+) and (\bactive)	24341	 It was still 	fun and active	, so we figured it would eat when it got hungry, but a couple of mornings later he found it dead.	 It was still  fun and active , so we figured it would eat when it got hungry, but a couple of mornings later he found it dead.
no	X and Y	present	active	active - passive	(?!passive)(\b\w+) and (\bactive)	28929	 One of the issues was that an athletic trainer from the school was 	present and active	 at offseason games.	 One of the issues was that an athletic trainer from the school was  present and active  at offseason games.
no	X and Y	gossipy	passive	active - passive	(?!active)(\b\w+) and (\bpassive)	20107	" I've seen comments here that basically say "" women tend to be "	gossipy and passive	 aggressive, they cry, they display gendered behavior and I'm just not into that.	" I've seen comments here that basically say "" women tend to be  gossipy and passive  aggressive, they cry, they display gendered behavior and I'm just not into that."
no	X and Y	diverse	active	active - passive	(?!passive)(\b\w+) and (\bactive)	4867	 A 	diverse and active	 market for various types of providers and treatments emerges.	 A  diverse and active  market for various types of providers and treatments emerges.
no	X and Y	active	independent	active - passive	(\bactive) and (?!passive)(\b\w+)	22333	 Indeed, proper health habits and appropriate medical help can already offer the great majority of persons the possibility of 	active and independent	 life well into their eighties.	 Indeed, proper health habits and appropriate medical help can already offer the great majority of persons the possibility of  active and independent  life well into their eighties.
no	X and Y	inert	passive	active - passive	(?!active)(\b\w+) and (\bpassive)	38484	 The teacher is the authority, the students 	inert and passive	 respondents thereto.	 The teacher is the authority, the students  inert and passive  respondents thereto.
no	X and Y	passive	stupid	active - passive	(\bpassive) and (?!active)(\b\w+)	4628	 @ @ @ @ @ @ @ @ @ @ I'm a woman I'm too 	passive and stupid	 to do something about it?	 @ @ @ @ @ @ @ @ @ @ I'm a woman I'm too  passive and stupid  to do something about it?
no	X and Y	active	healthy	active - passive	(\bactive) and (?!passive)(\b\w+)	38603	 The trait-pairs young and fertile (potent), 	active and healthy	, attractive and sexually responsive represented the male strategy.	 The trait-pairs young and fertile (potent),  active and healthy , attractive and sexually responsive represented the male strategy.
no	X and Y	task	active	active - passive	(?!passive)(\b\w+) and (\bactive)	5486	 A well behaved, on-	task and active	 student was desired.	 A well behaved, on- task and active  student was desired.
no	X and Y	active	total	active - passive	(\bactive) and (?!passive)(\b\w+)	32103	 Since Eve first ate from the fruit of the tree of the knowledge of good and evil, we have been in 	active and total	 disobedience to God.	 Since Eve first ate from the fruit of the tree of the knowledge of good and evil, we have been in  active and total  disobedience to God.
no	X and Y	active	creative	active - passive	(\bactive) and (?!passive)(\b\w+)	30571	" Recapitulating and expanding on his earlier "" The Great Code, "" Frye's new Words with Power shows how the Bible "" demands the "	active and creative	 response that the imagination makes to literature and mythology.	" Recapitulating and expanding on his earlier "" The Great Code, "" Frye's new Words with Power shows how the Bible "" demands the  active and creative  response that the imagination makes to literature and mythology."
no	X and Y	active	open	active - passive	(\bactive) and (?!passive)(\b\w+)	2320	" "" Rock-and-roll services What is important is an "	active and open	 expression of faith through a dramatic service that features a rock band and singing.	" "" Rock-and-roll services What is important is an  active and open  expression of faith through a dramatic service that features a rock band and singing."
no	X and Y	present	active	active - passive	(?!passive)(\b\w+) and (\bactive)	41769	 This life-force is the communion of the Trinity at work in the world, God ever 	present and active	 through the Word and the Spirit.	 This life-force is the communion of the Trinity at work in the world, God ever  present and active  through the Word and the Spirit.
no	X and Y	active	agentless	active - passive	(\bactive) and (?!passive)(\b\w+)	2396	" "" Shots rang out "" and "" mistakes arose "" are "	active and agentless	.	" "" Shots rang out "" and "" mistakes arose "" are  active and agentless ."
no	X and Y	active	fair	active - passive	(\bactive) and (?!passive)(\b\w+)	2358	" "" She is an "	active and fair	 listener and tough-minded and competitive.	" "" She is an  active and fair  listener and tough-minded and competitive."
no	X and Y	present	active	active - passive	(?!passive)(\b\w+) and (\bactive)	2929	" "" This God is always "	present and active	, often surprisingly so.	" "" This God is always  present and active , often surprisingly so."
no	X and Y	energetic	active	active - passive	(?!passive)(\b\w+) and (\bactive)	5394	 A small price to pay for an 	energetic and active	 old age.	 A small price to pay for an  energetic and active  old age.
no	X and Y	active	involved	active - passive	(\bactive) and (?!passive)(\b\w+)	20073	 I've been politically 	active and involved	 in the Palestinian-Israeli crisis for a while, so @ @ @ @ @ @ @ @ @ @ a dialogue, and that continued through the film.	 I've been politically  active and involved  in the Palestinian-Israeli crisis for a while, so @ @ @ @ @ @ @ @ @ @ a dialogue, and that continued through the film.
no	X and Y	active	interesting	active - passive	(\bactive) and (?!passive)(\b\w+)	32486	 So this time I am going to try to sidestep the whole break and plan something 	active and interesting	 instead.	 So this time I am going to try to sidestep the whole break and plan something  active and interesting  instead.
no	X and Y	active	interested	active - passive	(\bactive) and (?!passive)(\b\w+)	41421	 This forum is a distilled environment of 	active and interested	 people, but its very hard to put in dent in mainstream media representations of **33;4073;TOOLONG.	 This forum is a distilled environment of  active and interested  people, but its very hard to put in dent in mainstream media representations of **33;4073;TOOLONG.
no	X and Y	actual	active	active - passive	(?!passive)(\b\w+) and (\bactive)	34156	 The 	actual and active	 purity and holiness of his disciples are represented by baptism.	 The  actual and active  purity and holiness of his disciples are represented by baptism.
no	X and Y	active	reflective	active - passive	(\bactive) and (?!passive)(\b\w+)	25717	 Learn to practice 	active and reflective	 listening rather than selective listening.	 Learn to practice  active and reflective  listening rather than selective listening.
no	X and Y	active	loyal	active - passive	(\bactive) and (?!passive)(\b\w+)	30309	 Profit and an 	active and loyal	 customer base are key.	 Profit and an  active and loyal  customer base are key.
no	X and Y	active	comfortable	active - passive	(\bactive) and (?!passive)(\b\w+)	33681	 Technology will allow them to look forward to 	active and comfortable	 retirements in their 80s.	 Technology will allow them to look forward to  active and comfortable  retirements in their 80s.
no	X and Y	looking	active	active - passive	(?!passive)(\b\w+) and (\bactive)	14883	 Good-	looking and active	 in the local football club, he was highly popular among the boys and girls of Medjugorje.	 Good- looking and active  in the local football club, he was highly popular among the boys and girls of Medjugorje.
no	X and Y	active	powerful	active - passive	(\bactive) and (?!passive)(\b\w+)	23826	 It seems as much a difference of language and style as it is of substance, the culture shock caused by introducing an 	active and powerful	 leader to a world that never really wanted one.	 It seems as much a difference of language and style as it is of substance, the culture shock caused by introducing an  active and powerful  leader to a world that never really wanted one.
no	X and Y	visible	active	active - passive	(?!passive)(\b\w+) and (\bactive)	32731	 Some of the caucus's most 	visible and active	 members were conservatives like Rep.	 Some of the caucus's most  visible and active  members were conservatives like Rep.
no	X and Y	thoughtful	active	active - passive	(?!passive)(\b\w+) and (\bactive)	44643	 What is the evidence that 	thoughtful and active	 engagement between a pro-evolution debater and an evolution doubter can change minds?	 What is the evidence that  thoughtful and active  engagement between a pro-evolution debater and an evolution doubter can change minds?
no	X and Y	active	healthy	active - passive	(\bactive) and (?!passive)(\b\w+)	27416	 My husband, teenage daughter and I were all 	active and healthy	, and I navely thought getting health insurance would be simple.	 My husband, teenage daughter and I were all  active and healthy , and I navely thought getting health insurance would be simple.
no	X and Y	active	persistent	active - passive	(\bactive) and (?!passive)(\b\w+)	48386	) once again reveals 	active and persistent	 gender discrimination in international sports.	) once again reveals  active and persistent  gender discrimination in international sports.
no	X and Y	open	active	active - passive	(?!passive)(\b\w+) and (\bactive)	49078	com account was 	open and active	; but, despite having the same background as Bianca, I received no phone calls.	com account was  open and active ; but, despite having the same background as Bianca, I received no phone calls.
no	X and Y	passive	submissive	active - passive	(\bpassive) and (?!active)(\b\w+)	34517	 The Eastern peoples remained 	passive and submissive	" far longer than their Central European and Catholic counterparts; they were "" medieval, "" according to the best new book on the subject, rather than modernizing."	" The Eastern peoples remained  passive and submissive  far longer than their Central European and Catholic counterparts; they were "" medieval, "" according to the best new book on the subject, rather than modernizing."
no	X and Y	active	aggressive	active - passive	(\bactive) and (?!passive)(\b\w+)	16258	 He's another sophomore, but he has enormous potential because of how 	active and aggressive	 he is.	 He's another sophomore, but he has enormous potential because of how  active and aggressive  he is.
no	X and Y	active	fit	active - passive	(\bactive) and (?!passive)(\b\w+)	32119	 Since a child's lifestyle has a profound impact on their fitness levels when they become an adult, investigations to identify possible relationships which may lead to more 	active and fit	 children should be undertaken (Perry et.	 Since a child's lifestyle has a profound impact on their fitness levels when they become an adult, investigations to identify possible relationships which may lead to more  active and fit  children should be undertaken (Perry et.
no	X and Y	warm	active	active - passive	(?!passive)(\b\w+) and (\bactive)	13454	 Faith in women's instinct, their natural instinct, something 	warm and active	 and straightforward.	 Faith in women's instinct, their natural instinct, something  warm and active  and straightforward.
no	X and Y	full	active	active - passive	(?!passive)(\b\w+) and (\bactive)	13374	 Expeditions into the Dry Wastes since that time @ @ @ @ @ @ @ @ @ @ agricultural centers that suggest a 	full and active	 farm culture.	 Expeditions into the Dry Wastes since that time @ @ @ @ @ @ @ @ @ @ agricultural centers that suggest a  full and active  farm culture.
no	X and Y	active	reserve	active - passive	(\bactive) and (?!passive)(\b\w+)	5552	 About five percent of 	active and reserve	 armed US forces are there (about 100,000).	 About five percent of  active and reserve  armed US forces are there (about 100,000).
no	X and Y	active	inactive	active - passive	(\bactive) and (?!passive)(\b\w+)	15485	 He has advised clerks to form two lines for 	active and inactive	 voters, but stressed that everyone who shows up to a polling place before 8 p.	 He has advised clerks to form two lines for  active and inactive  voters, but stressed that everyone who shows up to a polling place before 8 p.
no	X and Y	informed	active	active - passive	(?!passive)(\b\w+) and (\bactive)	27666	 Nevertheless, when he assumed the Presidency in 1901, he became the first Chief Executive to play an 	informed and active	 role in the conservation movement.	 Nevertheless, when he assumed the Presidency in 1901, he became the first Chief Executive to play an  informed and active  role in the conservation movement.
no	X and Y	active	constructive	active - passive	(\bactive) and (?!passive)(\b\w+)	3771	 (n43)'Amr Khalid, a Birmingham-based Egyptian television preacher who remains influential despite his lack of formal religious training, calls on Muslim immigrants to become an 	active and constructive	 part of their adopted non-Muslim societies.	 (n43)'Amr Khalid, a Birmingham-based Egyptian television preacher who remains influential despite his lack of formal religious training, calls on Muslim immigrants to become an  active and constructive  part of their adopted non-Muslim societies.
no	X and Y	active	bold	active - passive	(\bactive) and (?!passive)(\b\w+)	46292	 Yet the system has remained 	active and bold	 in its efforts to establish the pre-eminence of the rule of law in the country.	 Yet the system has remained  active and bold  in its efforts to establish the pre-eminence of the rule of law in the country.
no	X and Y	retired	active	active - passive	(?!passive)(\b\w+) and (\bactive)	33773	 Thanks to the generous hearts of local volunteers -- lay and professional, 	retired and active	 -- the dental needs of those who live or work in Pickens County are addressed.	 Thanks to the generous hearts of local volunteers -- lay and professional,  retired and active  -- the dental needs of those who live or work in Pickens County are addressed.
no	X and Y	open	active	active - passive	(?!passive)(\b\w+) and (\bactive)	7065	 And how much money is loosened up simply by the fact that more people are out and about and more businesses are staying 	open and active	, creating a generally more bustling economy?	 And how much money is loosened up simply by the fact that more people are out and about and more businesses are staying  open and active , creating a generally more bustling economy?
no	X and Y	passive	obedient	active - passive	(\bpassive) and (?!active)(\b\w+)	38979	 The young girl in fact is, or rather was, required to be 	passive and obedient	 and cater to the expectations of her environment.	 The young girl in fact is, or rather was, required to be  passive and obedient  and cater to the expectations of her environment.
no	X and Y	active	vibrant	active - passive	(\bactive) and (?!passive)(\b\w+)	23860	 It should portray the importance of dads and moms and even grandparents (who are typically 	active and vibrant	 Boomers totally immersed in raising their grandchildren).	 It should portray the importance of dads and moms and even grandparents (who are typically  active and vibrant  Boomers totally immersed in raising their grandchildren).
no	X and Y	active	efficient	active - passive	(\bactive) and (?!passive)(\b\w+)	47040	 as things, 	active and efficient	, which are of themselves part of the passion.	 as things,  active and efficient , which are of themselves part of the passion.
no	X and Y	mature	active	active - passive	(?!passive)(\b\w+) and (\bactive)	27143	 Most of these changes are positive and speak of a more 	mature and active	 society.	 Most of these changes are positive and speak of a more  mature and active  society.
no	X and Y	healthy	active	active - passive	(?!passive)(\b\w+) and (\bactive)	34692	 The New York commercial property market is 	healthy and active	.	 The New York commercial property market is  healthy and active .
no	X and Y	incredible	active	active - passive	(?!passive)(\b\w+) and (\bactive)	943	" "" But this is a whole new world that no one ever sees; and it's even more "	incredible and active	 than what you can see on land.	" "" But this is a whole new world that no one ever sees; and it's even more  incredible and active  than what you can see on land."
no	X and Y	active	intelligent	active - passive	(\bactive) and (?!passive)(\b\w+)	12014	 Dalmatians are extremely 	active and intelligent	 animals and make good bird dogs, trail hounds, and retrievers.	 Dalmatians are extremely  active and intelligent  animals and make good bird dogs, trail hounds, and retrievers.
no	X and Y	quick	active	active - passive	(?!passive)(\b\w+) and (\bactive)	30144	 Polio or accidents had paralyzed others, but left their minds 	quick and active	.	 Polio or accidents had paralyzed others, but left their minds  quick and active .
no	X and Y	active	outspoken	active - passive	(\bactive) and (?!passive)(\b\w+)	10556	 But the gist of it is that he suddenly became much more 	active and outspoken	 this year.	 But the gist of it is that he suddenly became much more  active and outspoken  this year.
no	X and Y	active	responsive	active - passive	(\bactive) and (?!passive)(\b\w+)	29111	 Opposition for opposition's sake is a poor substitute for 	active and responsive	 politics.	 Opposition for opposition's sake is a poor substitute for  active and responsive  politics.
no	X and Y	lifelong	active	active - passive	(?!passive)(\b\w+) and (\bactive)	11067	 By teaching what is teachable and assessing what is measurable, music educators will empower students to develop a 	lifelong and active	 relationship with music.	 By teaching what is teachable and assessing what is measurable, music educators will empower students to develop a  lifelong and active  relationship with music.
no	X and Y	active	persistent	active - passive	(\bactive) and (?!passive)(\b\w+)	47602	 out 	active and persistent	 independence, and without activity for the com?	 out  active and persistent  independence, and without activity for the com?
no	X and Y	energetic	active	active - passive	(?!passive)(\b\w+) and (\bactive)	9446	 Bloomberg's campaign aides, advisers to the Lamont campaign say they have an 	energetic and active	 base that is more likely to go to the polls.	 Bloomberg's campaign aides, advisers to the Lamont campaign say they have an  energetic and active  base that is more likely to go to the polls.
no	X and Y	observant	active	active - passive	(?!passive)(\b\w+) and (\bactive)	20887	 Im hoping some of the more 	observant and active	 elders will join in as the time approaches when we must end this democracy.	 Im hoping some of the more  observant and active  elders will join in as the time approaches when we must end this democracy.
no	X and Y	healthy	active	active - passive	(?!passive)(\b\w+) and (\bactive)	4531	 <p> It helps to have miles of walking and biking paths and a local government that tries to make it easy for citizens to be 	healthy and active	.	 <p> It helps to have miles of walking and biking paths and a local government that tries to make it easy for citizens to be  healthy and active .
no	X and Y	active	vigorous	active - passive	(\bactive) and (?!passive)(\b\w+)	21968	 In the current framing, it would involve an 	active and vigorous	 policing of the borders and immigration, and enhanced surveillance and espionage.	 In the current framing, it would involve an  active and vigorous  policing of the borders and immigration, and enhanced surveillance and espionage.
no	X and Y	active	involved	active - passive	(\bactive) and (?!passive)(\b\w+)	8506	 Askevold suggested e-mailing lan Murray @ @ @ @ @ @ @ @ @ @ was already professionally 	active and involved	 in exhibitions at NSCAD.	 Askevold suggested e-mailing lan Murray @ @ @ @ @ @ @ @ @ @ was already professionally  active and involved  in exhibitions at NSCAD.
no	X and Y	active	productive	active - passive	(\bactive) and (?!passive)(\b\w+)	23296	 It is another 	active and productive	 chapter, servicing the entire State of Oregon, plus these counties in Washington State: Clark, Cowlitz, Klickitat and Skamania.	 It is another  active and productive  chapter, servicing the entire State of Oregon, plus these counties in Washington State: Clark, Cowlitz, Klickitat and Skamania.
no	X and Y	active	effective	active - passive	(\bactive) and (?!passive)(\b\w+)	5534	 ATFP has been 	active and effective	 in helping to secure continued American aid to the PA following the UN membership bid last September.	 ATFP has been  active and effective  in helping to secure continued American aid to the PA following the UN membership bid last September.
no	X and Y	visible	active	active - passive	(?!passive)(\b\w+) and (\bactive)	31029	 Sandstone canyons etched over eons and slowly expanding Badwater Basin-created as two mountain ranges separate themselves from each other-make geology a 	visible and active	 presence here.	 Sandstone canyons etched over eons and slowly expanding Badwater Basin-created as two mountain ranges separate themselves from each other-make geology a  visible and active  presence here.
no	X and Y	lean	active	active - passive	(?!passive)(\b\w+) and (\bactive)	27417	 My husband, two kids (9 &; 11), and I are all naturally 	lean and active	 with a slender athletic build.	 My husband, two kids (9 &; 11), and I are all naturally  lean and active  with a slender athletic build.
no	X and Y	shy	passive	active - passive	(?!active)(\b\w+) and (\bpassive)	31114	 Scientists say the attacks, by a normally 	shy and passive	 creature, are another indication that the natural balance of the Borneo's rainforest is skewed, after decades of logging.	 Scientists say the attacks, by a normally  shy and passive  creature, are another indication that the natural balance of the Borneo's rainforest is skewed, after decades of logging.
no	X and Y	active	athletic	active - passive	(\bactive) and (?!passive)(\b\w+)	16213	 He'd gone from being my very 	active and athletic	 dad to being a man who had problems thinking, and he spent all of his time lying in our living room because he could n't walk.	 He'd gone from being my very  active and athletic  dad to being a man who had problems thinking, and he spent all of his time lying in our living room because he could n't walk.
no	X and Y	passive	unskilled	active - passive	(\bpassive) and (?!active)(\b\w+)	32601	 Society finds it strange for a man to be 	passive and unskilled	 in any form of combat or defense.	 Society finds it strange for a man to be  passive and unskilled  in any form of combat or defense.
no	X and Y	active	affective	active - passive	(\bactive) and (?!passive)(\b\w+)	14125	 For many children from diverse populations, learning is an 	active and affective	 process (Gay, 2000).	 For many children from diverse populations, learning is an  active and affective  process (Gay, 2000).
no	X and Y	passive	dynamic	active - passive	(\bpassive) and (?!active)(\b\w+)	5376	 A significant improvement came with the application of steam distillation to fire debris analysis and this was followed by 	passive and dynamic	 headspace method 1 2.	 A significant improvement came with the application of steam distillation to fire debris analysis and this was followed by  passive and dynamic  headspace method 1 2.
no	X and Y	active	dynamic	active - passive	(\bactive) and (?!passive)(\b\w+)	36045	 The fetus is not an inert being, but an 	active and dynamic	 creature, responding and adapting as it readies itself for life in the particular world it will enter.	 The fetus is not an inert being, but an  active and dynamic  creature, responding and adapting as it readies itself for life in the particular world it will enter.
no	X and Y	inquisitive	active	active - passive	(?!passive)(\b\w+) and (\bactive)	19352	 I think one is more inclined to be more curious, 	inquisitive and active	 in the experience.	 I think one is more inclined to be more curious,  inquisitive and active  in the experience.
no	X and Y	active	healthy	active - passive	(\bactive) and (?!passive)(\b\w+)	5268	" A number of statistics are frequently cited: "" More than 700 million people world-wide do not get enough food for an "	active and healthy	 life.	" A number of statistics are frequently cited: "" More than 700 million people world-wide do not get enough food for an  active and healthy  life."
no	X and Y	active	insistent	active - passive	(\bactive) and (?!passive)(\b\w+)	16074	 He was amazed that the most 	active and insistent	 member of the board, who supported making the investment and taking the risk, was a member of the Deutsche Bank.	 He was amazed that the most  active and insistent  member of the board, who supported making the investment and taking the risk, was a member of the Deutsche Bank.
no	X and Y	active	retired	active - passive	(\bactive) and (?!passive)(\b\w+)	27005	 Moreover, the automakers remain liable for billions of dollars in health care costs, both for their 	active and retired	 workers.	 Moreover, the automakers remain liable for billions of dollars in health care costs, both for their  active and retired  workers.
no	X and Y	active	varied	active - passive	(\bactive) and (?!passive)(\b\w+)	41219	 This @ @ @ @ @ @ @ @ @ @ 	active and varied	 life.	 This @ @ @ @ @ @ @ @ @ @  active and varied  life.
no	X and Y	active	effective	active - passive	(\bactive) and (?!passive)(\b\w+)	4275	 3 -- The Waioli @ @ @ @ @ @ @ @ @ @ precisely the kind of place in which Jackson found both symbolic landscape elements and an 	active and effective	 community.	 3 -- The Waioli @ @ @ @ @ @ @ @ @ @ precisely the kind of place in which Jackson found both symbolic landscape elements and an  active and effective  community.
