class	pattern	X_found	Y_found	pair	query	sent_id	context_pre	costr	context_post	text
yes	X and Y	active	passive	active - passive	(active) and (passive)	35117	 The background of Luxembourg's fears is the regulation in the treaty of Maastricht which ensures for EC citizens the 	active and passive	 vote in municipal and European elections in the country of residence.	 The background of Luxembourg's fears is the regulation in the treaty of Maastricht which ensures for EC citizens the  active and passive  vote in municipal and European elections in the country of residence.
yes	X and Y	active	passive	active - passive	(active) and (passive)	2727	" "" The participles express the permanence of the situation, and the combination of the "	active and passive	 in the emphatic?	" "" The participles express the permanence of the situation, and the combination of the  active and passive  in the emphatic?"
yes	X and Y	active	passive	active - passive	(active) and (passive)	37567	 The press, the parliaments, and the cabinet meetings of Central Europe are full of new words: share, bond, ESOP (Employee Stock Ownership Program), limited company, holding company, mutual fund, pension fund, public offering, 	active and passive	 investor.	 The press, the parliaments, and the cabinet meetings of Central Europe are full of new words: share, bond, ESOP (Employee Stock Ownership Program), limited company, holding company, mutual fund, pension fund, public offering,  active and passive  investor.
yes	X and Y	active	passive	active - passive	(active) and (passive)	37049	 The most important and direct reason, however, remains the 	active and passive	 resistance among the rank and file members of the armed forces against carrying out coup orders.	 The most important and direct reason, however, remains the  active and passive  resistance among the rank and file members of the armed forces against carrying out coup orders.
yes	X and Y	active	passive	active - passive	(active) and (passive)	8061	" As William Ralph Inge, the English essayist, wrote early in the last century, "" all of nature is a conjugation of the verb to eat, in the "	active and passive	.	" As William Ralph Inge, the English essayist, wrote early in the last century, "" all of nature is a conjugation of the verb to eat, in the  active and passive ."
yes	X and Y	active	passive	active - passive	(active) and (passive)	13461	 Familiar to one another after having lived in the same troop for 7 years, they took turns at adopting 	active and passive	 roles in successive greetings.	 Familiar to one another after having lived in the same troop for 7 years, they took turns at adopting  active and passive  roles in successive greetings.
yes	X and Y	passive	active	active - passive	(passive) and (active)	39844	 Therefore the frequent Western association of yin and yang with 	passive and active	 behavior, respectively, does not seem to be consistent with Chinese thought.	 Therefore the frequent Western association of yin and yang with  passive and active  behavior, respectively, does not seem to be consistent with Chinese thought.
yes	X and Y	passive	active	active - passive	(passive) and (active)	3578	 (Here are two that I used to help teach tenth graders about 	passive and active	 voice and verb tense and verb agreement.	 (Here are two that I used to help teach tenth graders about  passive and active  voice and verb tense and verb agreement.
yes	X and Y	active	passive	active - passive	(active) and (passive)	45094	 When the two triangles are interlaced, it represents the union of the 	active and passive	 forces in nature; it represents the male and female elements.	 When the two triangles are interlaced, it represents the union of the  active and passive  forces in nature; it represents the male and female elements.
yes	X and Y	active	passive	active - passive	(active) and (passive)	29278	 Other therapy forms (especially 	active and passive	 physical modalities) had been tried by 85.	 Other therapy forms (especially  active and passive  physical modalities) had been tried by 85.
yes	X and Y	active	passive	active - passive	(active) and (passive)	3738	 (n2) Other known risk factors include 	active and passive	 smoking, exposure to certain chemical agents (e.	 (n2) Other known risk factors include  active and passive  smoking, exposure to certain chemical agents (e.
yes	X and Y	active	passive	active - passive	(active) and (passive)	39916	 These apparatus include 	active and passive	 solar energies, photovoltaics, wind turbine, and alternative fuels.	 These apparatus include  active and passive  solar energies, photovoltaics, wind turbine, and alternative fuels.
yes	X and Y	active	passive	active - passive	(active) and (passive)	29648	 Parks and recreation: We need more 	active and passive	 recreation.	 Parks and recreation: We need more  active and passive  recreation.
yes	X and Y	active	passive	active - passive	(active) and (passive)	41677	 This is particularly true for the second and third points of the hypothesis, those having to do with sanctifying grace and the habit of charity as created participations, respectively, of 	active and passive	 spiration.	 This is particularly true for the second and third points of the hypothesis, those having to do with sanctifying grace and the habit of charity as created participations, respectively, of  active and passive  spiration.
yes	X and Y	active	passive	active - passive	(active) and (passive)	13113	 Even with the computer synthesizing both the 	active and passive	 signals, he was almost impossible to see.	 Even with the computer synthesizing both the  active and passive  signals, he was almost impossible to see.
yes	X and Y	active	passive	active - passive	(active) and (passive)	29647	 Parks and recreation facilities, developed with a balance of 	active and passive	 programming.	 Parks and recreation facilities, developed with a balance of  active and passive  programming.
yes	X and Y	active	passive	active - passive	(active) and (passive)	23497	 It is simpler than present PWRs, combines 	active and passive	 @ @ @ @ @ @ @ @ @ @ gigawatt days per tonne (GWd/t) burn-up.	 It is simpler than present PWRs, combines  active and passive  @ @ @ @ @ @ @ @ @ @ gigawatt days per tonne (GWd/t) burn-up.
yes	X and Y	active	passive	active - passive	(active) and (passive)	48462	, 1997) are again improving our understanding of how 	active and passive	 tension components within muscles contribute to movement.	, 1997) are again improving our understanding of how  active and passive  tension components within muscles contribute to movement.
yes	X and Y	active	passive	active - passive	(active) and (passive)	27960	 Nonetheless, the incidence of intrauterine HBV infection remains as high as 43% when maternal serum HBV DNA exceeds 10 8 copies/ml 30, even with prompt administration of 	active and passive	 vaccination.	 Nonetheless, the incidence of intrauterine HBV infection remains as high as 43% when maternal serum HBV DNA exceeds 10 8 copies/ml 30, even with prompt administration of  active and passive  vaccination.
yes	X and Y	active	passive	active - passive	(active) and (passive)	8703	 At the time, he introduced the 	active and passive	 solar paths.	 At the time, he introduced the  active and passive  solar paths.
yes	X and Y	active	passive	active - passive	(active) and (passive)	14998	 Grunig has characterized these respective groups as 	active and passive	 publics.	 Grunig has characterized these respective groups as  active and passive  publics.
yes	X and Y	active	passive	active - passive	(active) and (passive)	35980	 The extent to which students learned 	active and passive	 facts was evaluated on paper posttests administered after the completion of each module.	 The extent to which students learned  active and passive  facts was evaluated on paper posttests administered after the completion of each module.
yes	X and Y	active	passive	active - passive	(active) and (passive)	44000	 We have investigated a number of 	active and passive	 @ @ @ @ @ @ @ @ @ @ paper.	 We have investigated a number of  active and passive  @ @ @ @ @ @ @ @ @ @ paper.
yes	X or Y	active	passive	active - passive	(active) or (passive)	3961	" // "" I'm fairly sure, "" said Phil Hoskins, director of the Department of Community Affairs, "" there's no county in the metro area more committed to acquiring parkland for "	active or passive	 parks.	" // "" I'm fairly sure, "" said Phil Hoskins, director of the Department of Community Affairs, "" there's no county in the metro area more committed to acquiring parkland for  active or passive  parks."
yes	X or Y	active	passive	active - passive	(active) or (passive)	6506	 Although initial setbacks associated with unanticipated aseptic meningo-encephalitis have slowed development of immunotherapeutic approaches, 	active or passive	 immunization against A?	 Although initial setbacks associated with unanticipated aseptic meningo-encephalitis have slowed development of immunotherapeutic approaches,  active or passive  immunization against A?
yes	X or Y	passive	active	active - passive	(passive) or (active)	12754	 Either 	passive or active	 tags could be confirmed in a short-notice inspection.	 Either  passive or active  tags could be confirmed in a short-notice inspection.
yes	X or Y	active	passive	active - passive	(active) or (passive)	45930	 With the 	active or passive	 cooperation of many Democratic and Republican politicians, media moguls, industrial interests, and conservative think tanks, the administration is mounting a deliberate (e.	 With the  active or passive  cooperation of many Democratic and Republican politicians, media moguls, industrial interests, and conservative think tanks, the administration is mounting a deliberate (e.
yes	X or Y	active	passive	active - passive	(active) or (passive)	45331	 Whether the attentional manipulation is generated internally or externally, or is 	active or passive	, does not appear to be a factor.	 Whether the attentional manipulation is generated internally or externally, or is  active or passive , does not appear to be a factor.
yes	X or Y	active	passive	active - passive	(active) or (passive)	32582	 So, whether using 	active or passive	 techniques, scientists are ultimately concerned with the physics of extracting a signal that propagates in a lossy, dynamic waveguide from noise influenced by that same waveguide's complexity.	 So, whether using  active or passive  techniques, scientists are ultimately concerned with the physics of extracting a signal that propagates in a lossy, dynamic waveguide from noise influenced by that same waveguide's complexity.
yes	X or Y	active	passive	active - passive	(active) or (passive)	22973	 It follows that 	active or passive	 resistance to the challenge of critical thinking is the common, not the rare, case.	 It follows that  active or passive  resistance to the challenge of critical thinking is the common, not the rare, case.
yes	X or Y	active	passive	active - passive	(active) or (passive)	29116	 Optical tracking that uses 	active or passive	 markers placed at reproducible locations on the patient's skin surface is another option.	 Optical tracking that uses  active or passive  markers placed at reproducible locations on the patient's skin surface is another option.
yes	X or Y	passive	active	active - passive	(passive) or (active)	7067	 And how the Middle East evolves depends very heavily on the degree to which America chooses to play a 	passive or active	 role.	 And how the Middle East evolves depends very heavily on the degree to which America chooses to play a  passive or active  role.
yes	X or Y	active	passive	active - passive	(active) or (passive)	48513	, barrier to autointegration factor (BAF) protein (32) and topoisomerase II (20) -- but whether by an 	active or passive	 transport process remains unclear.	, barrier to autointegration factor (BAF) protein (32) and topoisomerase II (20) -- but whether by an  active or passive  transport process remains unclear.
yes	X or Y	active	passive	active - passive	(active) or (passive)	11717	" Consequently they are stated as "" shall "" or "" must "" rules, depending whether the verb is in the "	active or passive	 voice.	" Consequently they are stated as "" shall "" or "" must "" rules, depending whether the verb is in the  active or passive  voice."
yes	X or Y	active	passive	active - passive	(active) or (passive)	21518	 In general use, this term is considered as synonymous with rahm, although rhim can only be active whereas rahm may have an 	active or passive	 meaning.	 In general use, this term is considered as synonymous with rahm, although rhim can only be active whereas rahm may have an  active or passive  meaning.
yes	X or Y	active	passive	active - passive	(active) or (passive)	30415	 Questions remain as to whether LC8 is playing an 	active or passive	 role in apoptosis.	 Questions remain as to whether LC8 is playing an  active or passive  role in apoptosis.
yes	X or Y	active	passive	active - passive	(active) or (passive)	39210	 Then there is sentence structure: preference for 	active or passive	 voice, degree of use of dependent clauses, rate of pronoun-for-noun substitutions.	 Then there is sentence structure: preference for  active or passive  voice, degree of use of dependent clauses, rate of pronoun-for-noun substitutions.
yes	X or Y	passive	active	active - passive	(passive) or (active)	8244	 As in the case of pronatalist policies, such conversion may be 	passive or active	.	 As in the case of pronatalist policies, such conversion may be  passive or active .
yes	X or Y	active	passive	active - passive	(active) or (passive)	14139	 For me, link attraction tactics are 	active or passive	, and at times, both.	 For me, link attraction tactics are  active or passive , and at times, both.
yes	X rather than Y	active	passive	active - passive	(active) rather than (passive)	39014	 Their discoveries about their response to the study of history resulted from their efforts at informal writing, which forced them to be 	active rather than passive	 learners.	 Their discoveries about their response to the study of history resulted from their efforts at informal writing, which forced them to be  active rather than passive  learners.
yes	X rather than Y	passive	active	active - passive	(passive) rather than (active)	32773	 Some people believe that older adults are frail, have no desire or capacity for musical learning or relearning, prefer 	passive rather than active	 involvement, and prefer sedate musical styles over others.	 Some people believe that older adults are frail, have no desire or capacity for musical learning or relearning, prefer  passive rather than active  involvement, and prefer sedate musical styles over others.
yes	X rather than Y	passive	active	active - passive	(passive) rather than (active)	3601	 (Most seem to take a laissez faire stance on religion, and are therefore 	passive rather than active	 accommodationists.	 (Most seem to take a laissez faire stance on religion, and are therefore  passive rather than active  accommodationists.
yes	X rather than Y	active	passive	active - passive	(active) rather than (passive)	29588	 PSI methods would provide 	active rather than passive	 learning and would emphasize learning rather than teaching strategies.	 PSI methods would provide  active rather than passive  learning and would emphasize learning rather than teaching strategies.
yes	X rather than Y	active	passive	active - passive	(active) rather than (passive)	20135	 IRI requires that children be 	active rather than passive	 recipients of information.	 IRI requires that children be  active rather than passive  recipients of information.
yes	X rather than Y	active	passive	active - passive	(active) rather than (passive)	9128	 Because there are no other trainees to hide behind, learners are forced to be 	active rather than passive	, and you are assured the trainee actually will perform later as desired.	 Because there are no other trainees to hide behind, learners are forced to be  active rather than passive , and you are assured the trainee actually will perform later as desired.
yes	X rather than Y	active	passive	active - passive	(active) rather than (passive)	6539	 Although part of the involvement effect is likely due to the interactive, and therefore 	active rather than passive	, nature of high-presence media, there seems to be more at work.	 Although part of the involvement effect is likely due to the interactive, and therefore  active rather than passive , nature of high-presence media, there seems to be more at work.
yes	X rather than Y	active	passive	active - passive	(active) rather than (passive)	40017	 These environments are characterized by the inclusion of student input in decision making processes, 	active rather than passive	 student learning, and flexibility in timelines for learning.	 These environments are characterized by the inclusion of student input in decision making processes,  active rather than passive  student learning, and flexibility in timelines for learning.
yes	X rather than Y	passive	active	active - passive	(passive) rather than (active)	16788	 Hers was the kind of consciousness that is not consciousness as intellectuals define it, but is 	passive rather than active	.	 Hers was the kind of consciousness that is not consciousness as intellectuals define it, but is  passive rather than active .
yes	X rather than Y	passive	active	active - passive	(passive) rather than (active)	27177	 Most students in a survey class usually expect to be 	passive rather than active	 participants.	 Most students in a survey class usually expect to be  passive rather than active  participants.
yes	X rather than Y	active	passive	active - passive	(active) rather than (passive)	34860	 The ability to control the learning experience makes the student an 	active rather than passive	 learner.	 The ability to control the learning experience makes the student an  active rather than passive  learner.
yes	X rather than Y	active	passive	active - passive	(active) rather than (passive)	11469	 Citizens are positioned in governmental discourses, therefore, as 	active rather than passive	 subjects of governance.	 Citizens are positioned in governmental discourses, therefore, as  active rather than passive  subjects of governance.
yes	X rather than Y	active	passive	active - passive	(active) rather than (passive)	22530	 Instructional television was used to teach critical thinking, motivate student learning, and sharpen perceptual skills @ @ @ @ @ @ @ @ @ @ elicit student participation, reinforcing 	active rather than passive	 viewing habits.	 Instructional television was used to teach critical thinking, motivate student learning, and sharpen perceptual skills @ @ @ @ @ @ @ @ @ @ elicit student participation, reinforcing  active rather than passive  viewing habits.
yes	X, not Y	active	passive	active - passive	(active), not (passive)	11762	 Constructivist learning is about being 	active, not passive	 (Marlowe &; Page, 2005).	 Constructivist learning is about being  active, not passive  (Marlowe &; Page, 2005).
yes	X, not Y	active	passive	active - passive	(active), not (passive)	9826	 But I think it also has to be deliberate; something that's 	active, not passive	.	 But I think it also has to be deliberate; something that's  active, not passive .
yes	between X and Y	active	passive	active - passive	between (active) and (passive)	7708	 Andrew wants to talk about the difference 	between active and passive	 love.	 Andrew wants to talk about the difference  between active and passive  love.
yes	between X and Y	active	passive	active - passive	between (active) and (passive)	28963	 One problem that it faces, however, is that it is unclear whether we can make sense of the distinction Brady draws 	between active and passive	 evaluative attitudes, at least in the epistemic sphere.	 One problem that it faces, however, is that it is unclear whether we can make sense of the distinction Brady draws  between active and passive  evaluative attitudes, at least in the epistemic sphere.
yes	between X and Y	active	passive	active - passive	between (active) and (passive)	1385	" "" Honey, see if you have time to call the caterers about Saturday, and let's get someone out here to fix that toilet and someone to teach Charlie the difference "	between active and passive	 voice.	" "" Honey, see if you have time to call the caterers about Saturday, and let's get someone out here to fix that toilet and someone to teach Charlie the difference  between active and passive  voice."
yes	between X and Y	active	passive	active - passive	between (active) and (passive)	39035	 Their grammars often force the speaker to attend to nuances of difference 	between active and passive	 much more than a European languages does, etc.	 Their grammars often force the speaker to attend to nuances of difference  between active and passive  much more than a European languages does, etc.
yes	between X and Y	active	passive	active - passive	between (active) and (passive)	17989	 I assume you understand the difference 	between active and passive	 surveillance.	 I assume you understand the difference  between active and passive  surveillance.
yes	between X and Y	passive	active	active - passive	between (passive) and (active)	26941	 More precisely, we can point to the distinction 	between passive and active	 ways of expressing the connection between the knower and the known.	 More precisely, we can point to the distinction  between passive and active  ways of expressing the connection between the knower and the known.
yes	between X and Y	active	passive	active - passive	between (active) and (passive)	21842	 In some settings where a distinction 	between active and passive	 roles is especially important, for example, sexual practices may be developed exclusively along these lines (Arboleda, 1987; Carrier, 1976; Lancaster, 1988).	 In some settings where a distinction  between active and passive  roles is especially important, for example, sexual practices may be developed exclusively along these lines (Arboleda, 1987; Carrier, 1976; Lancaster, 1988).
yes	between X and Y	active	passive	active - passive	between (active) and (passive)	36086	 The first distinction is 	between active and passive	 conception and is exemplified in De festis of Benedict XIV, in which the pope comments on the doctrine of the Immaculate Conception.	 The first distinction is  between active and passive  conception and is exemplified in De festis of Benedict XIV, in which the pope comments on the doctrine of the Immaculate Conception.
yes	both X and Y	active	passive	active - passive	both (active) and (passive)	47148	 detailed inspection, BB K9 inspections and monitors 	both active and passive	 and you ca n't see a physical bug anywhere think mites as a very possible answer.	 detailed inspection, BB K9 inspections and monitors  both active and passive  and you ca n't see a physical bug anywhere think mites as a very possible answer.
yes	both X and Y	active	passive	active - passive	both (active) and (passive)	7766	 Antecedent upper respiratory tract infection, household crowding, and 	both active and passive	 smoking also are also associated with increased risk.	 Antecedent upper respiratory tract infection, household crowding, and  both active and passive  smoking also are also associated with increased risk.
yes	both X and Y	active	passive	active - passive	both (active) and (passive)	34356	 The 27 subjects involved in rimming (oral-anal contact) did not use protection other than washing, except for one subject who used plastic wrap or latex for 	both active and passive	 rimming.	 The 27 subjects involved in rimming (oral-anal contact) did not use protection other than washing, except for one subject who used plastic wrap or latex for  both active and passive  rimming.
yes	both X and Y	passive	active	active - passive	both (passive) and (active)	6560	 Although the answer must be qualified, including 	both passive and active	 facts in training increased training efficiency.	 Although the answer must be qualified, including  both passive and active  facts in training increased training efficiency.
yes	both X and Y	active	passive	active - passive	both (active) and (passive)	47534	 n99 At the same time, the ether exhibited 	both active and passive	" functions that led Newton to believe that "" the aether is but a vehicle to some more active spirit."	" n99 At the same time, the ether exhibited  both active and passive  functions that led Newton to believe that "" the aether is but a vehicle to some more active spirit."
yes	both X and Y	passive	active	active - passive	both (passive) and (active)	17122	 His plans for the new public green space were ambitious, incorporating 	both passive and active	 recreation into its development (Baltimore News 1898).	 His plans for the new public green space were ambitious, incorporating  both passive and active  recreation into its development (Baltimore News 1898).
yes	both X and Y	active	passive	active - passive	both (active) and (passive)	26752	 Methodology/Principal Findings Personal space was evaluated as the comfort interpersonal distance between participant and experimenter during 	both active and passive	 approach tasks.	 Methodology/Principal Findings Personal space was evaluated as the comfort interpersonal distance between participant and experimenter during  both active and passive  approach tasks.
yes	both X and Y	active	passive	active - passive	both (active) and (passive)	21817	 In simple terms, this means that each space has to have the vital presence of 	both active and passive	 energies in order to sustain good feng shui energy.	 In simple terms, this means that each space has to have the vital presence of  both active and passive  energies in order to sustain good feng shui energy.
yes	both X and Y	active	passive	active - passive	both (active) and (passive)	42554	 Thus, in 1975, the Commission on Medical Ethics of the Health Council advised that, for newborns, 	both active and passive	 euthanasia should be permissible under certain conditions.	 Thus, in 1975, the Commission on Medical Ethics of the Health Council advised that, for newborns,  both active and passive  euthanasia should be permissible under certain conditions.
yes	either X or Y	active	passive	active - passive	either (active) or (passive)	30749	 Resistance, 	either active or passive	, serves as a defensive response to the perceived threat imposed by the principal's evaluation.	 Resistance,  either active or passive , serves as a defensive response to the perceived threat imposed by the principal's evaluation.
yes	either X or Y	active	passive	active - passive	either (active) or (passive)	27890	 No state in the United States allows active euthanasia, although Oregon has a law that allows physician-assisted suicide, which is distinguishable from 	either active or passive	 euthanasia.	 No state in the United States allows active euthanasia, although Oregon has a law that allows physician-assisted suicide, which is distinguishable from  either active or passive  euthanasia.
yes	from X to Y	passive	active	active - passive	from (passive) to (active)	11276	 Cautiously, he flipped his cyberneurons'reception settings 	from passive to active	, and for the first time in, like, ages, really listened to what the beach was saying.	 Cautiously, he flipped his cyberneurons'reception settings  from passive to active , and for the first time in, like, ages, really listened to what the beach was saying.
yes	from X to Y	passive	active	active - passive	from (passive) to (active)	22775	 It begins with the shift 	from passive to active	 learning, from observing to experiencing, through creative acts.	 It begins with the shift  from passive to active  learning, from observing to experiencing, through creative acts.
yes	from X to Y	passive	active	active - passive	from (passive) to (active)	2769	" "" The technology is going "	from passive to active	", "" notes Professor Brian Stonehill, who created the media studies program at Pomona College in Claremont, Calif."	" "" The technology is going  from passive to active , "" notes Professor Brian Stonehill, who created the media studies program at Pomona College in Claremont, Calif."
yes	from X to Y	passive	active	active - passive	from (passive) to (active)	11437	 Christabel Bielenberg moved 	from passive to active	 resistance as Hitler seized power and the Nazi dictatorship clamped down.	 Christabel Bielenberg moved  from passive to active  resistance as Hitler seized power and the Nazi dictatorship clamped down.
yes	more X than Y	passive	active	active - passive	more (passive) than (active)	14884	 Goodlad (1983) and Sizer (1984) reported that typical classes in all middle school subjects emphasized 	more passive than active	 learning and more attention to teaching strategies than to learning strategies.	 Goodlad (1983) and Sizer (1984) reported that typical classes in all middle school subjects emphasized  more passive than active  learning and more attention to teaching strategies than to learning strategies.
yes	neither X nor Y	active	passive	active - passive	neither (active) nor (passive)	39902	" These "" neuter "" women were neither masculine nor feminine, "	neither active nor passive	, neither within nor without their culture; they stood on the margin of these dualities both within and without their works.	" These "" neuter "" women were neither masculine nor feminine,  neither active nor passive , neither within nor without their culture; they stood on the margin of these dualities both within and without their works."
yes	neither X nor Y	passive	active	active - passive	neither (passive) nor (active)	14324	 For whatever reason 	neither passive nor active	 distributed energy systems have taken off in the U.	 For whatever reason  neither passive nor active  distributed energy systems have taken off in the U.
yes	whether X or Y	passive	active	active - passive	whether (passive) or (active)	42653	 To assert that the screeners are highly trained and do not engaged in this type of discrimination, 	whether passive or active	, is unsupportable because there is no data.	 To assert that the screeners are highly trained and do not engaged in this type of discrimination,  whether passive or active , is unsupportable because there is no data.
yes	whether X or Y	active	passive	active - passive	whether (active) or (passive)	34923	 The aggressor, 	whether active or passive	 @ @ @ @ @ @ @ @ @ @ have to be physical.	 The aggressor,  whether active or passive  @ @ @ @ @ @ @ @ @ @ have to be physical.
yes	X and Y	dead	alive	alive - dead	(dead) and (alive)	16620	 Her sister Agata, who has lost count of the number of children, 	dead and alive	, to whom she has given birth, has become an old woman at the age of thirty.	 Her sister Agata, who has lost count of the number of children,  dead and alive , to whom she has given birth, has become an old woman at the age of thirty.
yes	X and Y	alive	dead	alive - dead	(alive) and (dead)	29192	 Or, in the picture of the famous Schrdinger cat, asking whether the cat is alive or dead immediately destroys the quantum superposition of the 	alive and dead	 states.	 Or, in the picture of the famous Schrdinger cat, asking whether the cat is alive or dead immediately destroys the quantum superposition of the  alive and dead  states.
yes	X and Y	alive	dead	alive - dead	(alive) and (dead)	1210	" "" He compares himself to Priam: "" Romans, of five and twenty valiant sons, /Half of @ @ @ @ @ @ @ @ @ @ remains, "	alive and dead	!	" "" He compares himself to Priam: "" Romans, of five and twenty valiant sons, /Half of @ @ @ @ @ @ @ @ @ @ remains,  alive and dead !"
yes	X and Y	dead	alive	alive - dead	(dead) and (alive)	33432	 Suicide is n't only for select members, it involves everyone 	dead and alive	.	 Suicide is n't only for select members, it involves everyone  dead and alive .
yes	X and Y	alive	dead	alive - dead	(alive) and (dead)	19003	 I never had the thought that people who were professional musicians (four of Mother's brothers and her sister Anna, too), 	alive and dead	, were suspicious characters or unseemly or unworthy of respect.	 I never had the thought that people who were professional musicians (four of Mother's brothers and her sister Anna, too),  alive and dead , were suspicious characters or unseemly or unworthy of respect.
yes	X and Y	dead	alive	alive - dead	(dead) and (alive)	17188	 His tragicomic letters to Prime Minister Eshkol and to his old antagonist Benya, which he writes but never mails, are reminiscent of the letters that Bellow's Moses Herzog sends to numerous personalities, 	dead and alive	.	 His tragicomic letters to Prime Minister Eshkol and to his old antagonist Benya, which he writes but never mails, are reminiscent of the letters that Bellow's Moses Herzog sends to numerous personalities,  dead and alive .
yes	X and Y	alive	dead	alive - dead	(alive) and (dead)	23897	 It strikes me as greedy, like wanting to be 	alive and dead	 at the same time.	 It strikes me as greedy, like wanting to be  alive and dead  at the same time.
